NodeName,NumCores,PartitioningHeuristic
worker0,10,bestfit
worker1,10,bestfit
worker2,10,bestfit
worker3,10,bestfit
worker4,10,bestfit
worker5,10,bestfit
worker6,10,bestfit
worker7,10,bestfit
worker8,10,bestfit
worker9,10,bestfit
worker10,10,bestfit
worker11,10,bestfit
worker12,10,bestfit
worker13,10,bestfit
worker14,10,bestfit
worker15,10,bestfit
worker16,10,bestfit
worker17,10,bestfit
worker18,10,bestfit
worker19,10,bestfit
worker20,10,bestfit
worker21,10,bestfit
worker22,10,bestfit
worker23,10,bestfit
worker24,10,bestfit
worker25,10,bestfit
worker26,10,bestfit
worker27,10,bestfit
worker28,10,bestfit
worker29,10,bestfit
worker30,10,bestfit
worker31,10,bestfit
worker32,10,bestfit
worker33,10,bestfit
worker34,10,bestfit
worker35,10,bestfit
worker36,10,bestfit
worker37,10,bestfit
worker38,10,bestfit
worker39,10,bestfit
worker40,10,bestfit
worker41,10,bestfit
worker42,10,bestfit
worker43,10,bestfit
worker44,10,bestfit
worker45,10,bestfit
worker46,10,bestfit
worker47,10,bestfit
worker48,10,bestfit
worker49,10,bestfit
worker50,10,bestfit
worker51,10,bestfit
worker52,10,bestfit
worker53,10,bestfit
worker54,10,bestfit
worker55,10,bestfit
worker56,10,bestfit
worker57,10,bestfit
worker58,10,bestfit
worker59,10,bestfit
worker60,10,bestfit
worker61,10,bestfit
worker62,10,bestfit
worker63,10,bestfit
worker64,10,bestfit
worker65,10,bestfit
worker66,10,bestfit
worker67,10,bestfit
worker68,10,bestfit
worker69,10,bestfit
worker70,10,bestfit
worker71,10,bestfit
worker72,10,bestfit
worker73,10,bestfit
worker74,10,bestfit
worker75,10,bestfit
worker76,10,bestfit
worker77,10,bestfit
worker78,10,bestfit
worker79,10,bestfit
worker80,10,bestfit
worker81,10,bestfit
worker82,10,bestfit
worker83,10,bestfit
worker84,10,bestfit
worker85,10,bestfit
worker86,10,bestfit
worker87,10,bestfit
worker88,10,bestfit
worker89,10,bestfit
worker90,10,bestfit
worker91,10,bestfit
worker92,10,bestfit
worker93,10,bestfit
worker94,10,bestfit
worker95,10,bestfit
worker96,10,bestfit
worker97,10,bestfit
worker98,10,bestfit
worker99,10,bestfit
