NodeName,NumCores,PartitioningHeuristic
worker0,15,bestfit
worker1,15,bestfit
worker2,15,bestfit
worker3,15,bestfit
worker4,15,bestfit
worker5,15,bestfit
worker6,15,bestfit
worker7,15,bestfit
worker8,15,bestfit
worker9,15,bestfit
worker10,15,bestfit
worker11,15,bestfit
worker12,15,bestfit
worker13,15,bestfit
worker14,15,bestfit
worker15,15,bestfit
worker16,15,bestfit
worker17,15,bestfit
worker18,15,bestfit
worker19,15,bestfit
worker20,15,bestfit
worker21,15,bestfit
worker22,15,bestfit
worker23,15,bestfit
worker24,15,bestfit
worker25,15,bestfit
worker26,15,bestfit
worker27,15,bestfit
worker28,15,bestfit
worker29,15,bestfit
worker30,15,bestfit
worker31,15,bestfit
worker32,15,bestfit
worker33,15,bestfit
worker34,15,bestfit
worker35,15,bestfit
worker36,15,bestfit
worker37,15,bestfit
worker38,15,bestfit
worker39,15,bestfit
worker40,15,bestfit
worker41,15,bestfit
worker42,15,bestfit
worker43,15,bestfit
worker44,15,bestfit
worker45,15,bestfit
worker46,15,bestfit
worker47,15,bestfit
worker48,15,bestfit
worker49,15,bestfit
worker50,15,bestfit
worker51,15,bestfit
worker52,15,bestfit
worker53,15,bestfit
worker54,15,bestfit
worker55,15,bestfit
worker56,15,bestfit
worker57,15,bestfit
worker58,15,bestfit
worker59,15,bestfit
worker60,15,bestfit
worker61,15,bestfit
worker62,15,bestfit
worker63,15,bestfit
worker64,15,bestfit
worker65,15,bestfit
worker66,15,bestfit
worker67,15,bestfit
worker68,15,bestfit
worker69,15,bestfit
worker70,15,bestfit
worker71,15,bestfit
worker72,15,bestfit
worker73,15,bestfit
worker74,15,bestfit
worker75,15,bestfit
worker76,15,bestfit
worker77,15,bestfit
worker78,15,bestfit
worker79,15,bestfit
worker80,15,bestfit
worker81,15,bestfit
worker82,15,bestfit
worker83,15,bestfit
worker84,15,bestfit
worker85,15,bestfit
worker86,15,bestfit
worker87,15,bestfit
worker88,15,bestfit
worker89,15,bestfit
worker90,15,bestfit
worker91,15,bestfit
worker92,15,bestfit
worker93,15,bestfit
worker94,15,bestfit
worker95,15,bestfit
worker96,15,bestfit
worker97,15,bestfit
worker98,15,bestfit
worker99,15,bestfit
