NodeName,NumCores,PartitioningHeuristic
worker0,20,firstfit
worker1,20,firstfit
worker2,20,firstfit
worker3,20,firstfit
worker4,20,firstfit
worker5,20,firstfit
worker6,20,firstfit
worker7,20,firstfit
worker8,20,firstfit
worker9,20,firstfit
worker10,20,firstfit
worker11,20,firstfit
worker12,20,firstfit
worker13,20,firstfit
worker14,20,firstfit
worker15,20,firstfit
worker16,20,firstfit
worker17,20,firstfit
worker18,20,firstfit
worker19,20,firstfit
worker20,20,firstfit
worker21,20,firstfit
worker22,20,firstfit
worker23,20,firstfit
worker24,20,firstfit
worker25,20,firstfit
worker26,20,firstfit
worker27,20,firstfit
worker28,20,firstfit
worker29,20,firstfit
worker30,20,firstfit
worker31,20,firstfit
worker32,20,firstfit
worker33,20,firstfit
worker34,20,firstfit
worker35,20,firstfit
worker36,20,firstfit
worker37,20,firstfit
worker38,20,firstfit
worker39,20,firstfit
worker40,20,firstfit
worker41,20,firstfit
worker42,20,firstfit
worker43,20,firstfit
worker44,20,firstfit
worker45,20,firstfit
worker46,20,firstfit
worker47,20,firstfit
worker48,20,firstfit
worker49,20,firstfit
worker50,20,firstfit
worker51,20,firstfit
worker52,20,firstfit
worker53,20,firstfit
worker54,20,firstfit
worker55,20,firstfit
worker56,20,firstfit
worker57,20,firstfit
worker58,20,firstfit
worker59,20,firstfit
worker60,20,firstfit
worker61,20,firstfit
worker62,20,firstfit
worker63,20,firstfit
worker64,20,firstfit
worker65,20,firstfit
worker66,20,firstfit
worker67,20,firstfit
worker68,20,firstfit
worker69,20,firstfit
worker70,20,firstfit
worker71,20,firstfit
worker72,20,firstfit
worker73,20,firstfit
worker74,20,firstfit
worker75,20,firstfit
worker76,20,firstfit
worker77,20,firstfit
worker78,20,firstfit
worker79,20,firstfit
worker80,20,firstfit
worker81,20,firstfit
worker82,20,firstfit
worker83,20,firstfit
worker84,20,firstfit
worker85,20,firstfit
worker86,20,firstfit
worker87,20,firstfit
worker88,20,firstfit
worker89,20,firstfit
worker90,20,firstfit
worker91,20,firstfit
worker92,20,firstfit
worker93,20,firstfit
worker94,20,firstfit
worker95,20,firstfit
worker96,20,firstfit
worker97,20,firstfit
worker98,20,firstfit
worker99,20,firstfit
