NodeName,NumCores,PartitioningHeuristic
worker0,10,worstfit
worker1,10,worstfit
worker2,10,worstfit
worker3,10,worstfit
worker4,10,worstfit
worker5,10,worstfit
worker6,10,worstfit
worker7,10,worstfit
worker8,10,worstfit
worker9,10,worstfit
worker10,10,worstfit
worker11,10,worstfit
worker12,10,worstfit
worker13,10,worstfit
worker14,10,worstfit
worker15,10,worstfit
worker16,10,worstfit
worker17,10,worstfit
worker18,10,worstfit
worker19,10,worstfit
worker20,10,worstfit
worker21,10,worstfit
worker22,10,worstfit
worker23,10,worstfit
worker24,10,worstfit
worker25,10,worstfit
worker26,10,worstfit
worker27,10,worstfit
worker28,10,worstfit
worker29,10,worstfit
worker30,10,worstfit
worker31,10,worstfit
worker32,10,worstfit
worker33,10,worstfit
worker34,10,worstfit
worker35,10,worstfit
worker36,10,worstfit
worker37,10,worstfit
worker38,10,worstfit
worker39,10,worstfit
worker40,10,worstfit
worker41,10,worstfit
worker42,10,worstfit
worker43,10,worstfit
worker44,10,worstfit
worker45,10,worstfit
worker46,10,worstfit
worker47,10,worstfit
worker48,10,worstfit
worker49,10,worstfit
worker50,10,worstfit
worker51,10,worstfit
worker52,10,worstfit
worker53,10,worstfit
worker54,10,worstfit
worker55,10,worstfit
worker56,10,worstfit
worker57,10,worstfit
worker58,10,worstfit
worker59,10,worstfit
worker60,10,worstfit
worker61,10,worstfit
worker62,10,worstfit
worker63,10,worstfit
worker64,10,worstfit
worker65,10,worstfit
worker66,10,worstfit
worker67,10,worstfit
worker68,10,worstfit
worker69,10,worstfit
worker70,10,worstfit
worker71,10,worstfit
worker72,10,worstfit
worker73,10,worstfit
worker74,10,worstfit
worker75,10,worstfit
worker76,10,worstfit
worker77,10,worstfit
worker78,10,worstfit
worker79,10,worstfit
worker80,10,worstfit
worker81,10,worstfit
worker82,10,worstfit
worker83,10,worstfit
worker84,10,worstfit
worker85,10,worstfit
worker86,10,worstfit
worker87,10,worstfit
worker88,10,worstfit
worker89,10,worstfit
worker90,10,worstfit
worker91,10,worstfit
worker92,10,worstfit
worker93,10,worstfit
worker94,10,worstfit
worker95,10,worstfit
worker96,10,worstfit
worker97,10,worstfit
worker98,10,worstfit
worker99,10,worstfit
