NodeName,NumCores,PartitioningHeuristic
worker0,8,bestfit
worker1,8,bestfit
worker2,8,bestfit
worker3,8,bestfit
worker4,8,bestfit
worker5,8,bestfit
worker6,8,bestfit
worker7,8,bestfit
worker8,8,bestfit
worker9,8,bestfit
worker10,8,bestfit
worker11,8,bestfit
worker12,8,bestfit
worker13,8,bestfit
worker14,8,bestfit
worker15,8,bestfit
worker16,8,bestfit
worker17,8,bestfit
worker18,8,bestfit
worker19,8,bestfit
worker20,8,bestfit
worker21,8,bestfit
worker22,8,bestfit
worker23,8,bestfit
worker24,8,bestfit
worker25,8,bestfit
worker26,8,bestfit
worker27,8,bestfit
worker28,8,bestfit
worker29,8,bestfit
worker30,8,bestfit
worker31,8,bestfit
worker32,8,bestfit
worker33,8,bestfit
worker34,8,bestfit
worker35,8,bestfit
worker36,8,bestfit
worker37,8,bestfit
worker38,8,bestfit
worker39,8,bestfit
worker40,8,bestfit
worker41,8,bestfit
worker42,8,bestfit
worker43,8,bestfit
worker44,8,bestfit
worker45,8,bestfit
worker46,8,bestfit
worker47,8,bestfit
worker48,8,bestfit
worker49,8,bestfit
worker50,8,bestfit
worker51,8,bestfit
worker52,8,bestfit
worker53,8,bestfit
worker54,8,bestfit
worker55,8,bestfit
worker56,8,bestfit
worker57,8,bestfit
worker58,8,bestfit
worker59,8,bestfit
worker60,8,bestfit
worker61,8,bestfit
worker62,8,bestfit
worker63,8,bestfit
worker64,8,bestfit
worker65,8,bestfit
worker66,8,bestfit
worker67,8,bestfit
worker68,8,bestfit
worker69,8,bestfit
worker70,8,bestfit
worker71,8,bestfit
worker72,8,bestfit
worker73,8,bestfit
worker74,8,bestfit
worker75,8,bestfit
worker76,8,bestfit
worker77,8,bestfit
worker78,8,bestfit
worker79,8,bestfit
worker80,8,bestfit
worker81,8,bestfit
worker82,8,bestfit
worker83,8,bestfit
worker84,8,bestfit
worker85,8,bestfit
worker86,8,bestfit
worker87,8,bestfit
worker88,8,bestfit
worker89,8,bestfit
worker90,8,bestfit
worker91,8,bestfit
worker92,8,bestfit
worker93,8,bestfit
worker94,8,bestfit
worker95,8,bestfit
worker96,8,bestfit
worker97,8,bestfit
worker98,8,bestfit
worker99,8,bestfit
worker100,8,bestfit
worker101,8,bestfit
worker102,8,bestfit
worker103,8,bestfit
worker104,8,bestfit
worker105,8,bestfit
worker106,8,bestfit
worker107,8,bestfit
worker108,8,bestfit
worker109,8,bestfit
worker110,8,bestfit
worker111,8,bestfit
worker112,8,bestfit
worker113,8,bestfit
worker114,8,bestfit
worker115,8,bestfit
worker116,8,bestfit
worker117,8,bestfit
worker118,8,bestfit
worker119,8,bestfit
worker120,8,bestfit
worker121,8,bestfit
worker122,8,bestfit
worker123,8,bestfit
worker124,8,bestfit
worker125,8,bestfit
worker126,8,bestfit
worker127,8,bestfit
worker128,8,bestfit
worker129,8,bestfit
worker130,8,bestfit
worker131,8,bestfit
worker132,8,bestfit
worker133,8,bestfit
worker134,8,bestfit
worker135,8,bestfit
worker136,8,bestfit
worker137,8,bestfit
worker138,8,bestfit
worker139,8,bestfit
worker140,8,bestfit
worker141,8,bestfit
worker142,8,bestfit
worker143,8,bestfit
worker144,8,bestfit
worker145,8,bestfit
worker146,8,bestfit
worker147,8,bestfit
worker148,8,bestfit
worker149,8,bestfit
worker150,8,bestfit
worker151,8,bestfit
worker152,8,bestfit
worker153,8,bestfit
worker154,8,bestfit
worker155,8,bestfit
worker156,8,bestfit
worker157,8,bestfit
worker158,8,bestfit
worker159,8,bestfit
worker160,8,bestfit
worker161,8,bestfit
worker162,8,bestfit
worker163,8,bestfit
worker164,8,bestfit
worker165,8,bestfit
worker166,8,bestfit
worker167,8,bestfit
worker168,8,bestfit
worker169,8,bestfit
worker170,8,bestfit
worker171,8,bestfit
worker172,8,bestfit
worker173,8,bestfit
worker174,8,bestfit
worker175,8,bestfit
worker176,8,bestfit
worker177,8,bestfit
worker178,8,bestfit
worker179,8,bestfit
worker180,8,bestfit
worker181,8,bestfit
worker182,8,bestfit
worker183,8,bestfit
worker184,8,bestfit
worker185,8,bestfit
worker186,8,bestfit
worker187,8,bestfit
worker188,8,bestfit
worker189,8,bestfit
worker190,8,bestfit
worker191,8,bestfit
worker192,8,bestfit
worker193,8,bestfit
worker194,8,bestfit
worker195,8,bestfit
worker196,8,bestfit
worker197,8,bestfit
worker198,8,bestfit
worker199,8,bestfit
worker200,8,bestfit
worker201,8,bestfit
worker202,8,bestfit
worker203,8,bestfit
worker204,8,bestfit
worker205,8,bestfit
worker206,8,bestfit
worker207,8,bestfit
worker208,8,bestfit
worker209,8,bestfit
worker210,8,bestfit
worker211,8,bestfit
worker212,8,bestfit
worker213,8,bestfit
worker214,8,bestfit
worker215,8,bestfit
worker216,8,bestfit
worker217,8,bestfit
worker218,8,bestfit
worker219,8,bestfit
worker220,8,bestfit
worker221,8,bestfit
worker222,8,bestfit
worker223,8,bestfit
worker224,8,bestfit
worker225,8,bestfit
worker226,8,bestfit
worker227,8,bestfit
worker228,8,bestfit
worker229,8,bestfit
worker230,8,bestfit
worker231,8,bestfit
worker232,8,bestfit
worker233,8,bestfit
worker234,8,bestfit
worker235,8,bestfit
worker236,8,bestfit
