NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain5_worker0,8,bestfit,MaxMax
domain5_worker1,8,bestfit,MaxMax
domain5_worker2,8,bestfit,MaxMax
domain5_worker3,8,bestfit,MaxMax
domain5_worker4,8,bestfit,MaxMax
domain5_worker5,8,bestfit,MaxMax
domain5_worker6,8,bestfit,MaxMax
domain5_worker7,8,bestfit,MaxMax
domain5_worker8,8,bestfit,MaxMax
domain5_worker9,8,bestfit,MaxMax
domain5_worker10,8,bestfit,MaxMax
domain5_worker11,8,bestfit,MaxMax
domain5_worker12,8,bestfit,MaxMax
domain5_worker13,8,bestfit,MaxMax
domain5_worker14,8,bestfit,MaxMax
domain5_worker15,8,bestfit,MaxMax
domain5_worker16,8,bestfit,MaxMax
domain5_worker17,8,bestfit,MaxMax
domain5_worker18,8,bestfit,MaxMax
domain5_worker19,8,bestfit,MaxMax
domain5_worker20,8,bestfit,MaxMax
domain5_worker21,8,bestfit,MaxMax
domain5_worker22,8,bestfit,MaxMax
domain5_worker23,8,bestfit,MaxMax
domain5_worker24,8,bestfit,MaxMax
domain5_worker25,8,bestfit,MaxMax
domain5_worker26,8,bestfit,MaxMax
domain5_worker27,8,bestfit,MaxMax
domain5_worker28,8,bestfit,MaxMax
domain5_worker29,8,bestfit,MaxMax
domain5_worker30,8,bestfit,MaxMax
domain5_worker31,8,bestfit,MaxMax
domain5_worker32,8,bestfit,MaxMax
domain5_worker33,8,bestfit,MaxMax
domain5_worker34,8,bestfit,MaxMax
domain5_worker35,8,bestfit,MaxMax
domain5_worker36,8,bestfit,MaxMax
domain5_worker37,8,bestfit,MaxMax
domain5_worker38,8,bestfit,MaxMax
domain5_worker39,8,bestfit,MaxMax
domain5_worker40,8,bestfit,MaxMax
domain5_worker41,8,bestfit,MaxMax
