NodeName,NumCores,PartitioningHeuristic
domain3_worker0,20,bestfit
domain3_worker1,20,bestfit
domain3_worker2,20,bestfit
domain3_worker3,20,bestfit
domain3_worker4,20,bestfit
domain3_worker5,20,bestfit
domain3_worker6,20,bestfit
domain3_worker7,20,bestfit
domain3_worker8,20,bestfit
domain3_worker9,20,bestfit
domain3_worker10,20,bestfit
domain3_worker11,20,bestfit
domain3_worker12,20,bestfit
domain3_worker13,20,bestfit
domain3_worker14,20,bestfit
domain3_worker15,20,bestfit
domain3_worker16,20,bestfit
domain3_worker17,20,bestfit
domain3_worker18,20,bestfit
domain3_worker19,20,bestfit
