NodeName,NumCores,PartitioningHeuristic
domain3_worker0,15,firstfit
domain3_worker1,15,firstfit
domain3_worker2,15,firstfit
domain3_worker3,15,firstfit
domain3_worker4,15,firstfit
domain3_worker5,15,firstfit
domain3_worker6,15,firstfit
domain3_worker7,15,firstfit
domain3_worker8,15,firstfit
domain3_worker9,15,firstfit
domain3_worker10,15,firstfit
domain3_worker11,15,firstfit
domain3_worker12,15,firstfit
domain3_worker13,15,firstfit
domain3_worker14,15,firstfit
domain3_worker15,15,firstfit
domain3_worker16,15,firstfit
domain3_worker17,15,firstfit
domain3_worker18,15,firstfit
domain3_worker19,15,firstfit
