NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain1_worker0,8,worstfit,MaxMax
domain1_worker1,8,worstfit,MaxMax
domain1_worker2,8,worstfit,MaxMax
domain1_worker3,8,worstfit,MaxMax
domain1_worker4,8,worstfit,MaxMax
domain1_worker5,8,worstfit,MaxMax
domain1_worker6,8,worstfit,MaxMax
domain1_worker7,8,worstfit,MaxMax
domain1_worker8,8,worstfit,MaxMax
domain1_worker9,8,worstfit,MaxMax
domain1_worker10,8,worstfit,MaxMax
domain1_worker11,8,worstfit,MaxMax
domain1_worker12,8,worstfit,MaxMax
domain1_worker13,8,worstfit,MaxMax
domain1_worker14,8,worstfit,MaxMax
domain1_worker15,8,worstfit,MaxMax
domain1_worker16,8,worstfit,MaxMax
domain1_worker17,8,worstfit,MaxMax
domain1_worker18,8,worstfit,MaxMax
domain1_worker19,8,worstfit,MaxMax
domain1_worker20,8,worstfit,MaxMax
domain1_worker21,8,worstfit,MaxMax
domain1_worker22,8,worstfit,MaxMax
domain1_worker23,8,worstfit,MaxMax
domain1_worker24,8,worstfit,MaxMax
domain1_worker25,8,worstfit,MaxMax
domain1_worker26,8,worstfit,MaxMax
domain1_worker27,8,worstfit,MaxMax
domain1_worker28,8,worstfit,MaxMax
domain1_worker29,8,worstfit,MaxMax
domain1_worker30,8,worstfit,MaxMax
domain1_worker31,8,worstfit,MaxMax
domain1_worker32,8,worstfit,MaxMax
domain1_worker33,8,worstfit,MaxMax
domain1_worker34,8,worstfit,MaxMax
domain1_worker35,8,worstfit,MaxMax
domain1_worker36,8,worstfit,MaxMax
domain1_worker37,8,worstfit,MaxMax
domain1_worker38,8,worstfit,MaxMax
