NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain9_worker0,16,worstfit,MinMin
domain9_worker1,8,worstfit,MinMin
domain9_worker2,8,worstfit,MinMin
domain9_worker3,8,worstfit,MinMin
domain9_worker4,8,worstfit,MinMin
domain9_worker5,8,worstfit,MinMin
domain9_worker6,8,worstfit,MinMin
domain9_worker7,8,worstfit,MinMin
domain9_worker8,8,worstfit,MinMin
domain9_worker9,8,worstfit,MinMin
domain9_worker10,8,worstfit,MinMin
domain9_worker11,8,worstfit,MinMin
domain9_worker12,8,worstfit,MinMin
domain9_worker13,8,worstfit,MinMin
domain9_worker14,8,worstfit,MinMin
domain9_worker15,8,worstfit,MinMin
domain9_worker16,8,worstfit,MinMin
domain9_worker17,8,worstfit,MinMin
domain9_worker18,8,worstfit,MinMin
domain9_worker19,8,worstfit,MinMin
domain9_worker20,8,worstfit,MinMin
domain9_worker21,8,worstfit,MinMin
domain9_worker22,8,worstfit,MinMin
domain9_worker23,8,worstfit,MinMin
domain9_worker24,8,worstfit,MinMin
domain9_worker25,8,worstfit,MinMin
domain9_worker26,8,worstfit,MinMin
domain9_worker27,8,worstfit,MinMin
domain9_worker28,8,worstfit,MinMin
domain9_worker29,8,worstfit,MinMin
domain9_worker30,8,worstfit,MinMin
