NodeName,NumCores,PartitioningHeuristic
domain2_worker0,15,worstfit
domain2_worker1,15,worstfit
domain2_worker2,15,worstfit
domain2_worker3,15,worstfit
domain2_worker4,15,worstfit
domain2_worker5,15,worstfit
domain2_worker6,15,worstfit
domain2_worker7,15,worstfit
domain2_worker8,15,worstfit
domain2_worker9,15,worstfit
domain2_worker10,15,worstfit
domain2_worker11,15,worstfit
domain2_worker12,15,worstfit
domain2_worker13,15,worstfit
domain2_worker14,15,worstfit
domain2_worker15,15,worstfit
domain2_worker16,15,worstfit
domain2_worker17,15,worstfit
domain2_worker18,15,worstfit
domain2_worker19,15,worstfit
