NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain9_worker0_r,16,bestfit,MaxMax
domain9_worker1_r,16,bestfit,MaxMax
domain9_worker2_r,16,bestfit,MaxMax
domain9_worker3_r,16,bestfit,MaxMax
domain9_worker4_r,16,bestfit,MaxMax
domain9_worker5_r,16,bestfit,MaxMax
domain9_worker6_r,16,bestfit,MaxMax
domain9_worker7_r,16,bestfit,MaxMax
domain9_worker8_r,16,bestfit,MaxMax
domain9_worker9_r,16,bestfit,MaxMax
domain9_worker10_r,16,bestfit,MaxMax
domain9_worker11_r,16,bestfit,MaxMax
domain9_worker12_r,16,bestfit,MaxMax
domain9_worker13_r,16,bestfit,MaxMax
domain9_worker14_r,16,bestfit,MaxMax
domain9_worker15_r,16,bestfit,MaxMax
domain9_worker16_r,16,bestfit,MaxMax
domain9_worker17_r,16,bestfit,MaxMax
domain9_worker18_r,16,bestfit,MaxMax
domain9_worker19_r,16,bestfit,MaxMax
