NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain1_worker0,16,worstfit,MaxMax
domain1_worker1,16,worstfit,MaxMax
domain1_worker2,16,worstfit,MaxMax
domain1_worker3,16,worstfit,MaxMax
domain1_worker4,16,worstfit,MaxMax
domain1_worker5,16,worstfit,MaxMax
domain1_worker6,16,worstfit,MaxMax
domain1_worker7,16,worstfit,MaxMax
domain1_worker8,16,worstfit,MaxMax
domain1_worker9,16,worstfit,MaxMax
domain1_worker10,16,worstfit,MaxMax
domain1_worker11,16,worstfit,MaxMax
domain1_worker12,16,worstfit,MaxMax
domain1_worker13,16,worstfit,MaxMax
domain1_worker14,16,worstfit,MaxMax
domain1_worker15,16,worstfit,MaxMax
domain1_worker16,16,worstfit,MaxMax
domain1_worker17,16,worstfit,MaxMax
domain1_worker18,16,worstfit,MaxMax
domain1_worker19,16,worstfit,MaxMax
domain1_worker20,16,worstfit,MaxMax
domain1_worker21,16,worstfit,MaxMax
domain1_worker22,16,worstfit,MaxMax
domain1_worker23,16,worstfit,MaxMax
domain1_worker24,16,worstfit,MaxMax
