NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain0_worker0_r,20,worstfit,MinMin
domain0_worker1_r,20,worstfit,MinMin
domain0_worker2_r,20,worstfit,MinMin
domain0_worker3_r,20,worstfit,MinMin
domain0_worker4_r,20,worstfit,MinMin
domain0_worker5_r,20,worstfit,MinMin
domain0_worker6_r,20,worstfit,MinMin
domain0_worker7_r,20,worstfit,MinMin
domain0_worker8_r,20,worstfit,MinMin
domain0_worker9_r,20,worstfit,MinMin
domain0_worker10_r,20,worstfit,MinMin
domain0_worker11_r,20,worstfit,MinMin
domain0_worker12_r,20,worstfit,MinMin
domain0_worker13_r,20,worstfit,MinMin
domain0_worker14_r,20,worstfit,MinMin
domain0_worker15_r,20,worstfit,MinMin
domain0_worker16_r,20,worstfit,MinMin
domain0_worker17_r,20,worstfit,MinMin
domain0_worker18_r,20,worstfit,MinMin
