NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain3_worker0_r,24,bestfit,MinMin
domain3_worker1_r,24,bestfit,MinMin
domain3_worker2_r,24,bestfit,MinMin
domain3_worker3_r,24,bestfit,MinMin
domain3_worker4_r,24,bestfit,MinMin
domain3_worker5_r,24,bestfit,MinMin
domain3_worker6_r,24,bestfit,MinMin
domain3_worker7_r,24,bestfit,MinMin
domain3_worker8_r,24,bestfit,MinMin
domain3_worker9_r,24,bestfit,MinMin
domain3_worker10_r,24,bestfit,MinMin
domain3_worker11_r,24,bestfit,MinMin
domain3_worker12_r,24,bestfit,MinMin
domain3_worker13_r,24,bestfit,MinMin
domain3_worker14_r,24,bestfit,MinMin
domain3_worker15_r,24,bestfit,MinMin
domain3_worker16_r,24,bestfit,MinMin
domain3_worker17_r,24,bestfit,MinMin
domain3_worker18_r,24,bestfit,MinMin
