NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain7_worker0_r,24,worstfit,MaxMax
domain7_worker1_r,24,worstfit,MaxMax
domain7_worker2_r,24,worstfit,MaxMax
domain7_worker3_r,24,worstfit,MaxMax
domain7_worker4_r,24,worstfit,MaxMax
domain7_worker5_r,24,worstfit,MaxMax
domain7_worker6_r,24,worstfit,MaxMax
domain7_worker7_r,24,worstfit,MaxMax
domain7_worker8_r,24,worstfit,MaxMax
domain7_worker9_r,24,worstfit,MaxMax
domain7_worker10_r,24,worstfit,MaxMax
domain7_worker11_r,24,worstfit,MaxMax
domain7_worker12_r,24,worstfit,MaxMax
domain7_worker13_r,24,worstfit,MaxMax
domain7_worker14_r,24,worstfit,MaxMax
domain7_worker15_r,24,worstfit,MaxMax
domain7_worker16_r,24,worstfit,MaxMax
domain7_worker17_r,24,worstfit,MaxMax
