NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain8_worker0_a,8,worstfit,MinMin
domain8_worker1_a,8,worstfit,MinMin
domain8_worker2_a,8,worstfit,MinMin
domain8_worker3_a,8,worstfit,MinMin
domain8_worker4_a,8,worstfit,MinMin
domain8_worker5_a,8,worstfit,MinMin
domain8_worker6_a,8,worstfit,MinMin
domain8_worker7_a,8,worstfit,MinMin
domain8_worker8_a,8,worstfit,MinMin
domain8_worker9_a,8,worstfit,MinMin
domain8_worker10_a,8,worstfit,MinMin
domain8_worker11_a,8,worstfit,MinMin
domain8_worker12_a,8,worstfit,MinMin
