NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain4_worker0_a,8,bestfit,MaxMax
domain4_worker1_a,8,bestfit,MaxMax
domain4_worker2_a,8,bestfit,MaxMax
domain4_worker3_a,8,bestfit,MaxMax
domain4_worker4_a,8,bestfit,MaxMax
domain4_worker5_a,8,bestfit,MaxMax
domain4_worker6_a,8,bestfit,MaxMax
domain4_worker7_a,8,bestfit,MaxMax
domain4_worker8_a,8,bestfit,MaxMax
domain4_worker9_a,8,bestfit,MaxMax
domain4_worker10_a,8,bestfit,MaxMax
domain4_worker11_a,8,bestfit,MaxMax
domain4_worker12_a,8,bestfit,MaxMax
domain4_worker13_a,8,bestfit,MaxMax
