NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain8_worker0_r,8,worstfit,MinMin
domain8_worker1_r,8,worstfit,MinMin
domain8_worker2_r,8,worstfit,MinMin
domain8_worker3_r,8,worstfit,MinMin
domain8_worker4_r,8,worstfit,MinMin
domain8_worker5_r,8,worstfit,MinMin
domain8_worker6_r,8,worstfit,MinMin
domain8_worker7_r,8,worstfit,MinMin
domain8_worker8_r,8,worstfit,MinMin
domain8_worker9_r,8,worstfit,MinMin
domain8_worker10_r,8,worstfit,MinMin
domain8_worker11_r,8,worstfit,MinMin
domain8_worker12_r,8,worstfit,MinMin
domain8_worker13_r,8,worstfit,MinMin
domain8_worker14_r,8,worstfit,MinMin
domain8_worker15_r,8,worstfit,MinMin
domain8_worker16_r,8,worstfit,MinMin
domain8_worker17_r,8,worstfit,MinMin
domain8_worker18_r,8,worstfit,MinMin
domain8_worker19_r,8,worstfit,MinMin
domain8_worker20_r,8,worstfit,MinMin
domain8_worker21_r,8,worstfit,MinMin
domain8_worker22_r,8,worstfit,MinMin
domain8_worker23_r,8,worstfit,MinMin
domain8_worker24_r,8,worstfit,MinMin
domain8_worker25_r,8,worstfit,MinMin
domain8_worker26_r,8,worstfit,MinMin
domain8_worker27_r,8,worstfit,MinMin
domain8_worker28_r,8,worstfit,MinMin
domain8_worker29_r,8,worstfit,MinMin
domain8_worker30_r,8,worstfit,MinMin
domain8_worker31_r,8,worstfit,MinMin
domain8_worker32_r,8,worstfit,MinMin
domain8_worker33_r,8,worstfit,MinMin
domain8_worker34_r,8,worstfit,MinMin
domain8_worker35_r,8,worstfit,MinMin
domain8_worker36_r,8,worstfit,MinMin
domain8_worker37_r,8,worstfit,MinMin
domain8_worker38_r,8,worstfit,MinMin
domain8_worker39_r,8,worstfit,MinMin
domain8_worker40_r,8,worstfit,MinMin
domain8_worker41_r,8,worstfit,MinMin
domain8_worker42_r,8,worstfit,MinMin
domain8_worker43_r,8,worstfit,MinMin
domain8_worker44_r,8,worstfit,MinMin
domain8_worker45_r,8,worstfit,MinMin
domain8_worker46_r,8,worstfit,MinMin
domain8_worker47_r,8,worstfit,MinMin
domain8_worker48_r,8,worstfit,MinMin
domain8_worker49_r,8,worstfit,MinMin
domain8_worker50_r,8,worstfit,MinMin
domain8_worker51_r,8,worstfit,MinMin
domain8_worker52_r,8,worstfit,MinMin
domain8_worker53_r,8,worstfit,MinMin
domain8_worker54_r,8,worstfit,MinMin
domain8_worker55_r,8,worstfit,MinMin
domain8_worker56_r,8,worstfit,MinMin
domain8_worker57_r,8,worstfit,MinMin
domain8_worker58_r,8,worstfit,MinMin
domain8_worker59_r,8,worstfit,MinMin
domain8_worker60_r,8,worstfit,MinMin
domain8_worker61_r,8,worstfit,MinMin
