NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain1_worker0_a,8,worstfit,MaxMax
domain1_worker1_a,8,worstfit,MaxMax
domain1_worker2_a,8,worstfit,MaxMax
domain1_worker3_a,8,worstfit,MaxMax
domain1_worker4_a,8,worstfit,MaxMax
domain1_worker5_a,8,worstfit,MaxMax
domain1_worker6_a,8,worstfit,MaxMax
domain1_worker7_a,8,worstfit,MaxMax
domain1_worker8_a,8,worstfit,MaxMax
domain1_worker9_a,8,worstfit,MaxMax
domain1_worker10_a,8,worstfit,MaxMax
domain1_worker11_a,8,worstfit,MaxMax
domain1_worker12_a,8,worstfit,MaxMax
domain1_worker13_a,8,worstfit,MaxMax
domain1_worker14_a,8,worstfit,MaxMax
domain1_worker15_a,8,worstfit,MaxMax
