NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain5_worker0_a,8,worstfit,MinMin
domain5_worker1_a,8,worstfit,MinMin
domain5_worker2_a,8,worstfit,MinMin
domain5_worker3_a,8,worstfit,MinMin
domain5_worker4_a,8,worstfit,MinMin
domain5_worker5_a,8,worstfit,MinMin
domain5_worker6_a,8,worstfit,MinMin
domain5_worker7_a,8,worstfit,MinMin
domain5_worker8_a,8,worstfit,MinMin
domain5_worker9_a,8,worstfit,MinMin
domain5_worker10_a,8,worstfit,MinMin
domain5_worker11_a,8,worstfit,MinMin
domain5_worker12_a,8,worstfit,MinMin
domain5_worker13_a,8,worstfit,MinMin
domain5_worker14_a,8,worstfit,MinMin
domain5_worker15_a,8,worstfit,MinMin
