NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain0_worker0_r,8,bestfit,MaxMax
domain0_worker1_r,8,bestfit,MaxMax
domain0_worker2_r,8,bestfit,MaxMax
domain0_worker3_r,8,bestfit,MaxMax
domain0_worker4_r,8,bestfit,MaxMax
domain0_worker5_r,8,bestfit,MaxMax
domain0_worker6_r,8,bestfit,MaxMax
domain0_worker7_r,8,bestfit,MaxMax
domain0_worker8_r,8,bestfit,MaxMax
domain0_worker9_r,8,bestfit,MaxMax
domain0_worker10_r,8,bestfit,MaxMax
domain0_worker11_r,8,bestfit,MaxMax
domain0_worker12_r,8,bestfit,MaxMax
domain0_worker13_r,8,bestfit,MaxMax
domain0_worker14_r,8,bestfit,MaxMax
domain0_worker15_r,8,bestfit,MaxMax
domain0_worker16_r,8,bestfit,MaxMax
domain0_worker17_r,8,bestfit,MaxMax
domain0_worker18_r,8,bestfit,MaxMax
domain0_worker19_r,8,bestfit,MaxMax
domain0_worker20_r,8,bestfit,MaxMax
domain0_worker21_r,8,bestfit,MaxMax
domain0_worker22_r,8,bestfit,MaxMax
domain0_worker23_r,8,bestfit,MaxMax
domain0_worker24_r,8,bestfit,MaxMax
domain0_worker25_r,8,bestfit,MaxMax
domain0_worker26_r,8,bestfit,MaxMax
domain0_worker27_r,8,bestfit,MaxMax
domain0_worker28_r,8,bestfit,MaxMax
domain0_worker29_r,8,bestfit,MaxMax
domain0_worker30_r,8,bestfit,MaxMax
domain0_worker31_r,8,bestfit,MaxMax
domain0_worker32_r,8,bestfit,MaxMax
domain0_worker33_r,8,bestfit,MaxMax
domain0_worker34_r,8,bestfit,MaxMax
domain0_worker35_r,8,bestfit,MaxMax
domain0_worker36_r,8,bestfit,MaxMax
domain0_worker37_r,8,bestfit,MaxMax
domain0_worker38_r,8,bestfit,MaxMax
domain0_worker39_r,8,bestfit,MaxMax
domain0_worker40_r,8,bestfit,MaxMax
domain0_worker41_r,8,bestfit,MaxMax
domain0_worker42_r,8,bestfit,MaxMax
domain0_worker43_r,8,bestfit,MaxMax
domain0_worker44_r,8,bestfit,MaxMax
domain0_worker45_r,8,bestfit,MaxMax
domain0_worker46_r,8,bestfit,MaxMax
domain0_worker47_r,8,bestfit,MaxMax
domain0_worker48_r,8,bestfit,MaxMax
domain0_worker49_r,8,bestfit,MaxMax
domain0_worker50_r,8,bestfit,MaxMax
domain0_worker51_r,8,bestfit,MaxMax
domain0_worker52_r,8,bestfit,MaxMax
domain0_worker53_r,8,bestfit,MaxMax
domain0_worker54_r,8,bestfit,MaxMax
domain0_worker55_r,8,bestfit,MaxMax
domain0_worker56_r,8,bestfit,MaxMax
domain0_worker57_r,8,bestfit,MaxMax
domain0_worker58_r,8,bestfit,MaxMax
domain0_worker59_r,8,bestfit,MaxMax
domain0_worker60_r,8,bestfit,MaxMax
domain0_worker61_r,8,bestfit,MaxMax
domain0_worker62_r,8,bestfit,MaxMax
domain0_worker63_r,8,bestfit,MaxMax
domain0_worker64_r,8,bestfit,MaxMax
domain0_worker65_r,8,bestfit,MaxMax
domain0_worker66_r,8,bestfit,MaxMax
domain0_worker67_r,8,bestfit,MaxMax
domain0_worker68_r,8,bestfit,MaxMax
domain0_worker69_r,8,bestfit,MaxMax
domain0_worker70_r,8,bestfit,MaxMax
domain0_worker71_r,8,bestfit,MaxMax
domain0_worker72_r,8,bestfit,MaxMax
domain0_worker73_r,8,bestfit,MaxMax
domain0_worker74_r,8,bestfit,MaxMax
domain0_worker75_r,8,bestfit,MaxMax
domain0_worker76_r,8,bestfit,MaxMax
domain0_worker77_r,8,bestfit,MaxMax
domain0_worker78_r,8,bestfit,MaxMax
domain0_worker79_r,8,bestfit,MaxMax
domain0_worker80_r,8,bestfit,MaxMax
domain0_worker81_r,8,bestfit,MaxMax
