NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain5_worker0_r,8,bestfit,MinMin
domain5_worker1_r,8,bestfit,MinMin
domain5_worker2_r,8,bestfit,MinMin
domain5_worker3_r,8,bestfit,MinMin
domain5_worker4_r,8,bestfit,MinMin
domain5_worker5_r,8,bestfit,MinMin
domain5_worker6_r,8,bestfit,MinMin
domain5_worker7_r,8,bestfit,MinMin
domain5_worker8_r,8,bestfit,MinMin
domain5_worker9_r,8,bestfit,MinMin
domain5_worker10_r,8,bestfit,MinMin
domain5_worker11_r,8,bestfit,MinMin
domain5_worker12_r,8,bestfit,MinMin
domain5_worker13_r,8,bestfit,MinMin
domain5_worker14_r,8,bestfit,MinMin
