EventTime,EventType,ServiceID,DomainID,EventID,TotalUtil,UpTime
314,allocate,79,7,9284,64,10090.0
314,allocate,90,7,9270,200,10090.0
314,allocate,26,7,9285,145,10090.0
314,allocate,41,7,9286,180,10090.0
314,allocate,99,7,9287,480,10090.0
314,allocate,71,7,9281,395,10090.0
314,allocate,15,7,9280,104,10090.0
314,allocate,86,7,9279,128,10090.0
314,allocate,70,7,9278,72,10090.0
314,allocate,2,7,9277,68,10090.0
314,allocate,23,7,9276,36,10090.0
314,allocate,51,7,9275,87,10090.0
314,allocate,8,7,9274,14,10090.0
314,allocate,40,7,9273,185,10090.0
314,allocate,83,7,9272,46,10090.0
314,allocate,68,7,9271,216,10090.0
314,allocate,57,7,9283,141,10090.0
314,allocate,84,7,9282,180,10090.0
1093,allocate,90,0,1710,200,3019.0
1093,allocate,11,0,1699,222,3019.0
1093,allocate,2,0,1700,68,3019.0
1093,allocate,22,0,1701,60,3019.0
1093,allocate,77,0,1702,19,3019.0
1093,allocate,10,0,1703,62,3019.0
1093,allocate,20,0,1704,150,3019.0
1093,allocate,43,0,1705,9,3019.0
1093,allocate,7,0,1706,72,3019.0
1093,allocate,85,0,1711,378,3019.0
1093,allocate,95,0,1707,76,3019.0
1093,allocate,39,0,1698,52,3019.0
1093,allocate,32,0,1709,413,3019.0
1093,allocate,93,0,1708,180,3019.0
1093,allocate,55,0,1695,114,3019.0
1093,allocate,48,0,1696,260,3019.0
1093,allocate,89,0,1697,84,3019.0
1458,allocate,29,7,10761,21,9253.333333333334
1458,allocate,95,7,10771,76,9253.333333333334
1458,allocate,3,7,10770,105,9253.333333333334
1458,allocate,37,7,10769,86,9253.333333333334
1458,allocate,4,7,10768,99,9253.333333333334
1458,allocate,83,7,10767,46,9253.333333333334
1458,allocate,25,7,10766,8,9253.333333333334
1458,allocate,49,7,10765,180,9253.333333333334
1458,allocate,1,7,10764,128,9253.333333333334
1458,allocate,41,7,10763,180,9253.333333333334
1458,allocate,66,7,10762,68,9253.333333333334
1458,allocate,16,7,10760,270,9253.333333333334
1458,allocate,8,7,10759,14,9253.333333333334
1458,allocate,26,7,10758,145,9253.333333333334
1458,allocate,73,7,10757,33,9253.333333333334
2509,allocate,86,8,9114,128,26770.0
2509,allocate,39,8,9113,52,26770.0
2509,allocate,37,8,9112,86,26770.0
2509,allocate,99,8,9115,480,26770.0
2509,allocate,27,8,9116,17,26770.0
2509,allocate,33,8,9122,168,26770.0
2509,allocate,18,8,9118,32,26770.0
2509,allocate,87,8,9123,77,26770.0
2509,allocate,9,8,9120,110,26770.0
2509,allocate,34,8,9119,140,26770.0
2509,allocate,2,8,9124,68,26770.0
2509,allocate,79,8,9125,64,26770.0
2509,allocate,46,8,9126,40,26770.0
2509,allocate,48,8,9117,260,26770.0
2509,allocate,5,8,9128,49,26770.0
2509,allocate,6,8,9121,114,26770.0
2509,allocate,31,8,9129,100,26770.0
2509,allocate,10,8,9130,62,26770.0
2509,allocate,58,8,9127,102,26770.0
3447,allocate,2,9,5651,68,5880.0
3447,allocate,3,9,5652,105,5880.0
3447,allocate,83,9,5653,46,5880.0
3447,allocate,8,9,5654,14,5880.0
3447,allocate,42,9,5655,60,5880.0
3447,allocate,64,9,5656,105,5880.0
3447,allocate,86,9,5657,128,5880.0
3447,allocate,65,9,5659,130,5880.0
3447,allocate,76,9,5660,60,5880.0
3447,allocate,10,9,5661,62,5880.0
3447,allocate,6,9,5663,114,5880.0
3447,allocate,20,9,5664,150,5880.0
3447,allocate,66,9,5665,68,5880.0
3447,allocate,30,9,5666,318,5880.0
3447,allocate,25,9,5658,8,5880.0
3447,allocate,44,9,5662,69,5880.0
4112,allocate,11,9,1716,222,3019.0
4112,allocate,39,9,1715,52,3019.0
4112,deallocate,55,0,1695,114,0.0
4112,allocate,85,9,1728,378,3019.0
4112,allocate,90,9,1727,200,3019.0
4112,allocate,32,9,1726,413,3019.0
4112,allocate,93,9,1725,180,3019.0
4112,allocate,95,9,1724,76,3019.0
4112,allocate,7,9,1723,72,3019.0
4112,allocate,43,9,1722,9,3019.0
4112,allocate,20,9,1721,150,3019.0
4112,allocate,10,9,1720,62,3019.0
4112,allocate,77,9,1719,19,3019.0
4112,allocate,2,9,1717,68,3019.0
4112,allocate,89,9,1714,84,3019.0
4112,allocate,48,9,1713,260,3019.0
4112,allocate,55,9,1712,114,3019.0
4112,deallocate,85,0,1711,378,0.0
