EventTime,EventType,ServiceID,DomainID,EventID,TotalUtil,UpTime
3.8,allocate,2,2,1383,166.66666666666669,1.6666666666666667
3.8,allocate,5,2,1384,96.66666666666667,1.6666666666666667
3.8,allocate,0,2,1382,313.33333333333337,1.6666666666666667
3.8,allocate,9,2,1381,486.6666666666667,1.6666666666666667
3.8,allocate,3,2,1380,195.0,1.6666666666666667
3.8,allocate,6,2,1378,330.0,1.6666666666666667
3.8,allocate,1,2,1379,166.66666666666669,1.6666666666666667
4.0,allocate,8,8,551,860.0,10.0
4.0,allocate,6,8,547,1980.0,10.0
4.0,allocate,2,8,548,1000.0,10.0
4.0,allocate,1,8,549,1000.0,10.0
4.0,allocate,4,8,546,960.0,10.0
4.0,allocate,5,8,550,580.0,10.0
4.8,allocate,7,9,1170,133.33333333333334,3.3333333333333335
4.8,allocate,2,9,1169,333.33333333333337,3.3333333333333335
4.8,allocate,3,9,1168,390.0,3.3333333333333335
4.8,allocate,1,9,1167,333.33333333333337,3.3333333333333335
4.8,allocate,9,9,1166,973.3333333333334,3.3333333333333335
5.5,allocate,5,4,1391,96.66666666666667,1.6666666666666667
5.5,allocate,9,4,1388,486.6666666666667,1.6666666666666667
5.5,allocate,0,4,1389,313.33333333333337,1.6666666666666667
5.5,allocate,2,4,1390,166.66666666666669,1.6666666666666667
5.5,allocate,1,4,1386,166.66666666666669,1.6666666666666667
5.5,deallocate,6,2,1378,0.0,0.0
5.5,deallocate,1,2,1379,0.0,0.0
5.5,deallocate,3,2,1380,0.0,0.0
5.5,deallocate,9,2,1381,0.0,0.0
5.5,deallocate,0,2,1382,0.0,0.0
5.5,allocate,3,4,1387,195.0,1.6666666666666667
5.5,deallocate,2,2,1383,0.0,0.0
5.5,deallocate,5,2,1384,0.0,0.0
5.5,allocate,6,4,1385,330.0,1.6666666666666667
7.1,allocate,1,5,1393,166.66666666666669,1.6666666666666667
7.1,deallocate,2,4,1390,0.0,0.0
7.1,deallocate,6,4,1385,0.0,0.0
7.1,deallocate,1,4,1386,0.0,0.0
7.1,deallocate,3,4,1387,0.0,0.0
7.1,allocate,5,5,1398,96.66666666666667,1.6666666666666667
7.1,allocate,2,5,1397,166.66666666666669,1.6666666666666667
7.1,allocate,0,5,1396,313.33333333333337,1.6666666666666667
7.1,allocate,9,5,1395,486.6666666666667,1.6666666666666667
7.1,allocate,3,5,1394,195.0,1.6666666666666667
7.1,allocate,6,5,1392,330.0,1.6666666666666667
7.1,deallocate,5,4,1391,0.0,0.0
7.1,deallocate,9,4,1388,0.0,0.0
7.1,deallocate,0,4,1389,0.0,0.0
8.1,deallocate,7,9,1170,0.0,0.0
8.1,deallocate,2,9,1169,0.0,0.0
8.1,deallocate,1,9,1167,0.0,0.0
8.1,deallocate,3,9,1168,0.0,0.0
8.1,deallocate,9,9,1166,0.0,0.0
8.1,allocate,2,6,1174,333.33333333333337,3.3333333333333335
8.1,allocate,3,6,1173,390.0,3.3333333333333335
8.1,allocate,1,6,1172,333.33333333333337,3.3333333333333335
8.1,allocate,7,6,1175,133.33333333333334,3.3333333333333335
8.1,allocate,9,6,1171,973.3333333333334,3.3333333333333335
