EventTime,EventType,ServiceID,DomainID,EventID,TotalUtil,UpTime
2.1,allocate,3,1,5995,78.0,1.0
2.1,allocate,7,1,5996,11.0,1.0
2.1,allocate,6,1,5997,336.0,1.0
2.1,allocate,1,1,5998,54.0,1.0
2.1,allocate,2,1,5999,26.0,1.0
2.1,allocate,8,1,6000,84.0,1.0
2.1,allocate,0,1,6001,413.0,1.0
3.1,deallocate,0,1,6001,0.0,0.0
3.1,allocate,8,9,6007,84.0,1.0
3.1,allocate,2,9,6006,26.0,1.0
3.1,allocate,1,9,6005,54.0,1.0
3.1,allocate,6,9,6004,336.0,1.0
3.1,allocate,7,9,6003,11.0,1.0
3.1,allocate,3,9,6002,78.0,1.0
3.1,deallocate,8,1,6000,0.0,0.0
3.1,deallocate,2,1,5999,0.0,0.0
3.1,deallocate,1,1,5998,0.0,0.0
3.1,deallocate,6,1,5997,0.0,0.0
3.1,deallocate,7,1,5996,0.0,0.0
3.1,deallocate,3,1,5995,0.0,0.0
3.1,allocate,0,9,6008,413.0,1.0
3.4,allocate,8,4,316,840.0,10.0
3.4,allocate,7,4,315,110.0,10.0
3.4,allocate,2,4,314,260.0,10.0
3.4,allocate,1,4,313,540.0,10.0
3.4,allocate,4,4,312,1400.0,10.0
3.4,allocate,0,4,311,4130.0,10.0
3.4,allocate,3,4,310,780.0,10.0
3.4,allocate,5,4,309,1960.0,10.0
4.1,allocate,1,5,6012,54.0,1.0
4.1,allocate,2,5,6013,26.0,1.0
4.1,deallocate,1,9,6005,0.0,0.0
4.1,allocate,0,5,6015,413.0,1.0
4.1,allocate,6,5,6011,336.0,1.0
4.1,allocate,8,5,6014,84.0,1.0
4.1,allocate,7,5,6010,11.0,1.0
4.1,deallocate,0,9,6008,0.0,0.0
4.1,deallocate,8,9,6007,0.0,0.0
4.1,deallocate,2,9,6006,0.0,0.0
4.1,deallocate,6,9,6004,0.0,0.0
4.1,deallocate,7,9,6003,0.0,0.0
4.1,deallocate,3,9,6002,0.0,0.0
4.1,allocate,3,5,6009,78.0,1.0
5.1,allocate,1,4,6019,54.0,1.0
5.1,allocate,0,4,6022,413.0,1.0
5.1,allocate,8,4,6021,84.0,1.0
5.1,allocate,2,4,6020,26.0,1.0
5.1,allocate,6,4,6018,336.0,1.0
5.1,allocate,7,4,6017,11.0,1.0
5.1,allocate,3,4,6016,78.0,1.0
5.1,deallocate,0,5,6015,0.0,0.0
5.1,deallocate,8,5,6014,0.0,0.0
5.1,deallocate,2,5,6013,0.0,0.0
5.1,deallocate,1,5,6012,0.0,0.0
5.1,deallocate,6,5,6011,0.0,0.0
5.1,deallocate,7,5,6010,0.0,0.0
