EventTime,EventType,ServiceID,DomainID,EventID,TotalUtil,UpTime
354,allocate,6,1,5288,36,13653.333333333334
354,allocate,28,1,5271,12,13653.333333333334
354,allocate,81,1,5272,248,13653.333333333334
354,allocate,22,1,5273,168,13653.333333333334
354,allocate,55,1,5274,108,13653.333333333334
354,allocate,18,1,5275,196,13653.333333333334
354,allocate,64,1,5276,37,13653.333333333334
354,allocate,54,1,5277,5,13653.333333333334
354,allocate,14,1,5270,54,13653.333333333334
354,allocate,7,1,5278,70,13653.333333333334
354,allocate,84,1,5280,290,13653.333333333334
354,allocate,3,1,5281,20,13653.333333333334
354,allocate,52,1,5282,216,13653.333333333334
354,allocate,88,1,5283,124,13653.333333333334
354,allocate,21,1,5284,112,13653.333333333334
354,allocate,31,1,5285,168,13653.333333333334
354,allocate,61,1,5286,76,13653.333333333334
354,allocate,13,1,5279,84,13653.333333333334
354,allocate,72,1,5287,154,13653.333333333334
2157,allocate,82,4,0,553,10000.0
2157,allocate,75,4,14,90,10000.0
2157,allocate,48,4,1,252,10000.0
2157,allocate,20,4,2,145,10000.0
2157,allocate,73,4,3,72,10000.0
2157,allocate,10,4,4,38,10000.0
2157,allocate,33,4,5,34,10000.0
2157,allocate,47,4,6,144,10000.0
2157,allocate,95,4,7,147,10000.0
2157,allocate,25,4,8,84,10000.0
2157,allocate,23,4,9,371,10000.0
2157,allocate,17,4,10,120,10000.0
2157,allocate,32,4,11,142,10000.0
2157,allocate,77,4,12,74,10000.0
2157,allocate,44,4,16,21,10000.0
2157,allocate,98,4,15,240,10000.0
2157,allocate,12,4,13,66,10000.0
3544,allocate,20,0,1979,145,4066.6666666666665
3544,allocate,89,0,1982,58,4066.6666666666665
3544,allocate,58,0,1968,40,4066.6666666666665
3544,allocate,18,0,1969,196,4066.6666666666665
3544,allocate,90,0,1970,156,4066.6666666666665
3544,allocate,28,0,1971,12,4066.6666666666665
3544,allocate,82,0,1972,553,4066.6666666666665
3544,allocate,10,0,1973,38,4066.6666666666665
3544,allocate,96,0,1981,280,4066.6666666666665
3544,allocate,72,0,1975,154,4066.6666666666665
3544,allocate,73,0,1976,72,4066.6666666666665
3544,allocate,50,0,1977,280,4066.6666666666665
3544,allocate,88,0,1978,124,4066.6666666666665
3544,allocate,14,0,1980,54,4066.6666666666665
3544,allocate,25,0,1974,84,4066.6666666666665
3544,allocate,83,0,1967,88,4066.6666666666665
4510,allocate,75,5,4026,90,5265.0
4510,allocate,11,5,4042,64,5265.0
4510,allocate,1,5,4041,11,5265.0
