EventTime,EventType,ServiceID,DomainID,EventID,TotalUtil,UpTime
0,allocate,10,6,8451,392.8571428571429,7.142857142857143
0,allocate,43,6,8454,1542.857142857143,7.142857142857143
0,allocate,37,6,8453,1000.0,7.142857142857143
0,allocate,85,6,8452,471.42857142857144,7.142857142857143
0,allocate,98,3,8843,405.0,7.5
0,allocate,22,3,8844,1080.0,7.5
0,allocate,15,3,8845,420.0,7.5
0,allocate,79,8,12768,1116.6666666666667,16.666666666666668
0,allocate,26,3,8846,1035.0,7.5
0,allocate,48,3,8848,210.0,7.5
0,allocate,63,3,8849,1762.5,7.5
0,allocate,13,6,1373,3900.0,25.0
0,allocate,4,3,3077,576.0,12.0
0,allocate,91,8,12769,1700.0000000000002,16.666666666666668
0,allocate,64,3,3076,324.0,12.0
0,allocate,8,3,8847,3105.0,7.5
0,allocate,11,8,12767,500.00000000000006,16.666666666666668
0,allocate,21,6,8455,3000.0,7.142857142857143
0,allocate,49,3,3082,2412.0,12.0
0,allocate,19,3,3081,1488.0,12.0
0,allocate,73,3,3080,1680.0,12.0
0,allocate,95,3,3079,552.0,12.0
0,allocate,41,3,3078,84.0,12.0
0,allocate,52,3,3083,744.0,12.0
0,allocate,6,6,1372,1875.0,25.0
1,allocate,43,7,9617,15120.0,70.0
1,allocate,33,7,9616,1890.0,70.0
1,allocate,37,2,12403,466.66666666666663,3.333333333333333
1,allocate,73,2,12402,466.66666666666663,3.333333333333333
1,allocate,93,2,12400,580.0,3.333333333333333
1,allocate,43,2,12399,719.9999999999999,3.333333333333333
1,allocate,49,2,12401,669.9999999999999,3.333333333333333
2,allocate,46,8,3792,960.0,80.0
2,allocate,62,3,14324,10360.0,35.0
2,allocate,31,8,3790,33600.0,80.0
2,allocate,94,3,14325,6860.0,35.0
2,allocate,66,3,14329,3430.0,35.0
2,allocate,12,8,3791,14400.0,80.0
2,allocate,27,8,3789,9600.0,80.0
2,allocate,83,8,3784,17360.0,80.0
2,allocate,81,3,14328,2800.0,35.0
2,allocate,61,8,3786,2880.0,80.0
2,allocate,67,8,3785,5760.0,80.0
2,allocate,32,3,14323,840.0,35.0
2,allocate,43,8,3787,17280.0,80.0
2,allocate,51,3,14327,7350.0,35.0
2,allocate,77,8,3788,19600.0,80.0
2,allocate,26,3,14326,4830.0,35.0
2.1,allocate,72,0,81,50.0,10.0
2.1,allocate,81,0,82,800.0,10.0
2.1,allocate,82,0,83,200.0,10.0
2.1,allocate,1,0,84,3450.0,10.0
2.1,allocate,73,0,85,1400.0,10.0
3,allocate,24,3,14954,892.5,3.75
3,allocate,90,3,3682,240.0,3.75
3,allocate,24,3,3683,892.5,3.75
3,allocate,53,3,3681,540.0,3.75
3,allocate,67,3,3680,270.0,3.75
3,allocate,66,3,3679,367.5,3.75
3,allocate,48,3,3678,105.0,3.75
3,allocate,19,3,3677,465.0,3.75
3,allocate,6,6,10312,1875.0,25.0
