EventTime,EventType,ServiceID,DomainID,EventID,TotalUtil,UpTime
9.9,allocate,7,5,76,2080.0,20.0
9.9,allocate,6,5,75,300.0,20.0
9.9,allocate,1,5,74,3920.0,20.0
11.3,allocate,2,1,1185,82.5,7.5
11.3,allocate,9,1,1186,2062.5,7.5
11.5,allocate,6,6,1552,42.85714285714286,2.857142857142857
11.5,allocate,9,6,1546,785.7142857142858,2.857142857142857
11.5,allocate,8,6,1547,80.0,2.857142857142857
11.5,allocate,4,6,1548,500.0,2.857142857142857
11.5,allocate,1,6,1549,560.0,2.857142857142857
11.5,allocate,3,6,1551,282.8571428571429,2.857142857142857
11.5,allocate,5,6,1550,74.28571428571429,2.857142857142857
12.7,allocate,8,7,1244,62.22222222222223,2.2222222222222223
12.7,allocate,4,7,1245,388.8888888888889,2.2222222222222223
12.7,allocate,6,7,1241,33.333333333333336,2.2222222222222223
12.7,allocate,2,7,1247,24.444444444444446,2.2222222222222223
12.7,allocate,9,7,1242,611.1111111111111,2.2222222222222223
12.7,allocate,0,7,1246,126.66666666666669,2.2222222222222223
12.7,allocate,7,7,1243,231.11111111111111,2.2222222222222223
14.4,allocate,1,5,1556,560.0,2.857142857142857
14.4,allocate,9,5,1553,785.7142857142858,2.857142857142857
14.4,deallocate,1,6,1549,0.0,0.0
14.4,allocate,3,5,1558,282.8571428571429,2.857142857142857
14.4,allocate,5,5,1557,74.28571428571429,2.857142857142857
14.4,allocate,8,5,1554,80.0,2.857142857142857
14.4,allocate,4,5,1555,500.0,2.857142857142857
14.4,allocate,6,5,1559,42.85714285714286,2.857142857142857
14.4,deallocate,5,6,1550,0.0,0.0
14.4,deallocate,3,6,1551,0.0,0.0
14.4,deallocate,4,6,1548,0.0,0.0
14.4,deallocate,9,6,1546,0.0,0.0
14.4,deallocate,8,6,1547,0.0,0.0
14.4,deallocate,6,6,1552,0.0,0.0
14.8,allocate,3,3,1387,247.5,2.5
14.8,allocate,0,3,1386,142.5,2.5
14.9,deallocate,4,7,1245,0.0,0.0
14.9,allocate,2,8,1254,24.444444444444446,2.2222222222222223
14.9,allocate,0,8,1253,126.66666666666669,2.2222222222222223
14.9,allocate,4,8,1252,388.8888888888889,2.2222222222222223
14.9,allocate,8,8,1251,62.22222222222223,2.2222222222222223
14.9,allocate,7,8,1250,231.11111111111111,2.2222222222222223
14.9,allocate,9,8,1249,611.1111111111111,2.2222222222222223
14.9,deallocate,0,7,1246,0.0,0.0
14.9,allocate,6,8,1248,33.333333333333336,2.2222222222222223
14.9,deallocate,8,7,1244,0.0,0.0
14.9,deallocate,6,7,1241,0.0,0.0
14.9,deallocate,9,7,1242,0.0,0.0
14.9,deallocate,7,7,1243,0.0,0.0
14.9,deallocate,2,7,1247,0.0,0.0
17.1,deallocate,4,8,1252,0.0,0.0
17.1,deallocate,7,8,1250,0.0,0.0
17.1,deallocate,2,8,1254,0.0,0.0
17.1,deallocate,9,8,1249,0.0,0.0
17.1,deallocate,6,8,1248,0.0,0.0
17.1,deallocate,8,8,1251,0.0,0.0
17.1,deallocate,0,8,1253,0.0,0.0
17.1,allocate,6,9,1255,33.333333333333336,2.2222222222222223
17.1,allocate,9,9,1256,611.1111111111111,2.2222222222222223
17.1,allocate,7,9,1257,231.11111111111111,2.2222222222222223
17.1,allocate,8,9,1258,62.22222222222223,2.2222222222222223
17.1,allocate,4,9,1259,388.8888888888889,2.2222222222222223
17.1,allocate,0,9,1260,126.66666666666669,2.2222222222222223
17.1,allocate,2,9,1261,24.444444444444446,2.2222222222222223
17.2,deallocate,8,5,1554,0.0,0.0
17.2,deallocate,9,5,1553,0.0,0.0
17.2,deallocate,1,5,1556,0.0,0.0
17.2,deallocate,4,5,1555,0.0,0.0
17.2,allocate,1,1,1563,560.0,2.857142857142857
17.2,deallocate,5,5,1557,0.0,0.0
17.2,deallocate,3,5,1558,0.0,0.0
17.2,deallocate,6,5,1559,0.0,0.0
17.2,allocate,9,1,1560,785.7142857142858,2.857142857142857
17.2,allocate,8,1,1561,80.0,2.857142857142857
17.2,allocate,4,1,1562,500.0,2.857142857142857
17.2,allocate,5,1,1564,74.28571428571429,2.857142857142857
