EventTime,EventType,ServiceID,DomainID,EventID,TotalUtil,UpTime
720,allocate,4,0,4058,216,3010.0
720,allocate,3,0,4057,60,3010.0
722,allocate,0,0,4060,106,3010.0
722,allocate,66,0,4059,27,3010.0
724,allocate,11,0,4062,164,3010.0
724,allocate,84,0,4061,402,3010.0
726,allocate,33,0,4064,238,3010.0
726,allocate,78,0,4063,175,3010.0
728,allocate,27,0,4066,22,3010.0
728,allocate,54,0,4065,553,3010.0
730,allocate,18,0,4068,115,3010.0
730,allocate,80,0,4067,175,3010.0
732,allocate,57,0,4069,18,3010.0
1784,allocate,73,5,8375,42,15416.666666666666
1785,allocate,32,5,8376,80,15416.666666666666
1786,allocate,65,5,8377,35,15416.666666666666
1787,allocate,4,5,8378,216,15416.666666666666
1788,allocate,76,5,8379,26,15416.666666666666
1789,allocate,45,5,8380,30,15416.666666666666
1790,allocate,82,5,8381,20,15416.666666666666
1791,allocate,5,5,8382,132,15416.666666666666
1792,allocate,74,5,8383,48,15416.666666666666
1793,allocate,97,5,8384,152,15416.666666666666
1794,allocate,42,5,8385,469,15416.666666666666
1795,allocate,1,5,8386,60,15416.666666666666
1796,allocate,44,5,8387,126,15416.666666666666
1797,allocate,22,3,2463,19,2558.333333333333
1798,allocate,61,3,2464,355,2558.333333333333
1799,allocate,9,3,2465,438,2558.333333333333
1800,allocate,75,3,2466,288,2558.333333333333
1801,allocate,8,3,2467,132,2558.333333333333
1802,allocate,48,3,2468,252,2558.333333333333
1803,allocate,88,3,2469,42,2558.333333333333
1804,allocate,66,3,2470,27,2558.333333333333
1805,allocate,0,3,2471,106,2558.333333333333
1806,allocate,85,3,2472,96,2558.333333333333
1807,allocate,96,3,2473,96,2558.333333333333
1808,allocate,28,3,2474,56,2558.333333333333
3730,deallocate,3,0,4057,60,0.0
3730,deallocate,4,0,4058,216,0.0
3732,deallocate,66,0,4059,27,0.0
3732,deallocate,0,0,4060,106,0.0
3734,deallocate,84,0,4061,402,0.0
3734,deallocate,11,0,4062,164,0.0
3736,deallocate,78,0,4063,175,0.0
3736,deallocate,33,0,4064,238,0.0
3738,deallocate,27,0,4066,22,0.0
3738,deallocate,54,0,4065,553,0.0
3740,deallocate,18,0,4068,115,0.0
3740,deallocate,80,0,4067,175,0.0
3742,deallocate,57,0,4069,18,0.0
3744,allocate,4,3,4071,216,3010.0
3744,allocate,3,3,4070,60,3010.0
3746,allocate,0,3,4073,106,3010.0
3746,allocate,66,3,4072,27,3010.0
3748,allocate,84,3,4074,402,3010.0
3748,allocate,11,3,4075,164,3010.0
3750,allocate,33,3,4077,238,3010.0
3750,allocate,78,3,4076,175,3010.0
3752,allocate,54,3,4078,553,3010.0
3752,allocate,27,3,4079,22,3010.0
3754,allocate,80,3,4080,175,3010.0
3754,allocate,18,3,4081,115,3010.0
3756,allocate,57,3,4082,18,3010.0
4356,deallocate,22,3,2463,19,0.0
4357,deallocate,61,3,2464,355,0.0
4358,deallocate,9,3,2465,438,0.0
4359,deallocate,75,3,2466,288,0.0
4360,deallocate,8,3,2467,132,0.0
4361,deallocate,48,3,2468,252,0.0
4362,deallocate,88,3,2469,42,0.0
4363,deallocate,66,3,2470,27,0.0
4364,deallocate,0,3,2471,106,0.0
4365,deallocate,85,3,2472,96,0.0
4366,deallocate,96,3,2473,96,0.0
4367,deallocate,28,3,2474,56,0.0
4369,allocate,22,6,2475,19,2558.333333333333
4370,allocate,61,6,2476,355,2558.333333333333
4371,allocate,9,6,2477,438,2558.333333333333
4372,allocate,75,6,2478,288,2558.333333333333
4373,allocate,8,6,2479,132,2558.333333333333
4374,allocate,48,6,2480,252,2558.333333333333
4375,allocate,88,6,2481,42,2558.333333333333
4376,allocate,66,6,2482,27,2558.333333333333
4377,allocate,0,6,2483,106,2558.333333333333
4378,allocate,85,6,2484,96,2558.333333333333
4379,allocate,96,6,2485,96,2558.333333333333
4380,allocate,28,6,2486,56,2558.333333333333
4601,allocate,32,5,6116,80,1781.0
4602,allocate,76,5,6117,26,1781.0
4603,allocate,71,5,6118,63,1781.0
4604,allocate,85,5,6119,96,1781.0
4605,allocate,4,5,6120,216,1781.0
4606,allocate,99,5,6121,236,1781.0
4607,allocate,59,5,6122,27,1781.0
4608,allocate,30,5,6123,40,1781.0
4609,allocate,61,5,6124,355,1781.0
4610,allocate,79,5,6125,159,1781.0
4611,allocate,96,5,6126,96,1781.0
4612,allocate,33,5,6127,238,1781.0
4840,allocate,16,6,6609,378,16400.0
4840,allocate,96,6,6608,96,16400.0
4842,allocate,13,6,6611,70,16400.0
4842,allocate,91,6,6610,34,16400.0
4844,allocate,81,6,6613,69,16400.0
4844,allocate,40,6,6612,91,16400.0
4846,allocate,97,6,6614,152,16400.0
4846,allocate,45,6,6615,30,16400.0
4848,allocate,7,6,6616,365,16400.0
4848,allocate,30,6,6617,40,16400.0
4850,allocate,10,6,6619,210,16400.0
4850,allocate,92,6,6618,265,16400.0
4852,allocate,65,6,6620,35,16400.0
5287,allocate,92,5,7427,265,3634.0
5288,allocate,91,5,7428,34,3634.0
5289,allocate,61,5,7429,355,3634.0
5290,allocate,77,5,7430,295,3634.0
5291,allocate,21,5,7431,316,3634.0
5292,allocate,23,5,7432,100,3634.0
5293,allocate,54,5,7433,553,3634.0
5294,allocate,80,5,7434,175,3634.0
5295,allocate,74,5,7435,48,3634.0
5296,allocate,11,5,7436,164,3634.0
5297,allocate,96,5,7437,96,3634.0
5298,allocate,9,5,7438,438,3634.0
5299,allocate,81,5,7439,69,3634.0
5300,allocate,16,5,7440,378,3634.0
5442,allocate,28,1,752,56,15933.333333333334
5443,allocate,90,1,753,150,15933.333333333334
5444,allocate,58,1,754,108,15933.333333333334
5445,allocate,3,1,755,60,15933.333333333334
5446,allocate,73,1,756,42,15933.333333333334
5447,allocate,53,1,757,28,15933.333333333334
5448,allocate,32,1,758,80,15933.333333333334
5449,allocate,75,1,759,288,15933.333333333334
5450,allocate,72,1,760,64,15933.333333333334
5451,allocate,51,1,761,81,15933.333333333334
5452,allocate,14,1,762,112,15933.333333333334
5453,allocate,78,1,763,175,15933.333333333334
5454,allocate,29,1,764,112,15933.333333333334
5619,allocate,12,1,4890,20,1381.0
5620,allocate,39,1,4891,16,1381.0
5621,allocate,23,1,4892,100,1381.0
5622,allocate,53,1,4893,28,1381.0
5623,allocate,4,1,4894,216,1381.0
5624,allocate,82,1,4895,20,1381.0
5625,allocate,85,1,4896,96,1381.0
5626,allocate,77,1,4897,295,1381.0
5627,allocate,15,1,4898,20,1381.0
5628,allocate,27,1,4899,22,1381.0
5629,allocate,58,1,4900,108,1381.0
5792,allocate,39,4,4371,16,39300.0
5793,allocate,3,4,4372,60,39300.0
5794,allocate,59,4,4373,27,39300.0
5795,allocate,28,4,4374,56,39300.0
5796,allocate,41,4,4375,32,39300.0
5797,allocate,36,4,4376,22,39300.0
