EventTime,EventType,ServiceID,DomainID,EventID,TotalUtil,UpTime
0.0,allocate,73,9,585,51,2.0
0,allocate,74,1,3840,2480.0,80.0
0,allocate,82,1,3841,8960.0,80.0
0,allocate,21,3,3279,370.0,1.4285714285714286
0,allocate,33,1,3842,28320.0,80.0
0,allocate,60,1,3838,9200.0,80.0
0,allocate,21,1,3839,20720.0,80.0
0.0,allocate,67,9,586,217,2.0
0.0,allocate,36,9,584,18,2.0
0.0,allocate,11,9,587,234,2.0
0.7,allocate,34,6,0,385,10.0
0.7,allocate,9,6,1,378,10.0
1,allocate,3,1,3246,1170.0,5.0
1,allocate,58,1,3247,1050.0,5.0
1,allocate,52,1,3248,810.0,5.0
1.2,allocate,82,4,356,112,3.333333333333333
1.2,allocate,5,4,357,7,3.333333333333333
1.2,allocate,48,4,358,186,3.333333333333333
1.2,allocate,6,4,359,9,3.333333333333333
1.2,allocate,37,4,360,96,3.333333333333333
1.2,allocate,13,4,361,210,3.333333333333333
1.2,allocate,46,4,362,81,3.333333333333333
1.2,allocate,47,4,364,117,3.333333333333333
1.2,allocate,39,4,363,511,3.333333333333333
1.4,allocate,21,9,3280,370.0,1.4285714285714286
1.4,deallocate,21,3,3279,0,0
2.0,allocate,67,3,590,217,2.0
2.0,deallocate,11,9,587,234,0.0
2.0,deallocate,36,9,584,18,0.0
2.0,deallocate,73,9,585,51,0.0
2.0,allocate,36,3,588,18,2.0
2.0,allocate,73,3,589,51,2.0
2.0,allocate,11,3,591,234,2.0
2.0,deallocate,67,9,586,217,0.0
2.9,deallocate,21,9,3280,0,0
2.9,allocate,21,5,3281,370.0,1.4285714285714286
4.0,allocate,36,4,592,18,2.0
4.0,allocate,11,4,595,234,2.0
4.0,allocate,73,4,593,51,2.0
4.0,deallocate,11,3,591,234,0.0
4.0,deallocate,67,3,590,217,0.0
4.0,deallocate,73,3,589,51,0.0
4.0,deallocate,36,3,588,18,0.0
4.0,allocate,67,4,594,217,2.0
4.3,deallocate,21,5,3281,0,0
4.3,allocate,21,6,3282,370.0,1.4285714285714286
4.4,allocate,57,2,102,216,10.0
4.4,allocate,54,2,101,78,10.0
4.4,allocate,26,2,100,190,10.0
4.5,deallocate,48,4,358,186,0.0
4.5,allocate,37,6,369,96,3.333333333333333
4.5,allocate,39,6,372,511,3.333333333333333
4.5,allocate,48,6,367,186,3.333333333333333
4.5,allocate,5,6,366,7,3.333333333333333
4.5,allocate,82,6,365,112,3.333333333333333
4.5,deallocate,47,4,364,117,0.0
4.5,deallocate,39,4,363,511,0.0
4.5,deallocate,46,4,362,81,0.0
4.5,deallocate,13,4,361,210,0.0
4.5,deallocate,37,4,360,96,0.0
4.5,deallocate,6,4,359,9,0.0
4.5,deallocate,5,4,357,7,0.0
4.5,deallocate,82,4,356,112,0.0
4.5,allocate,13,6,370,210,3.333333333333333
4.5,allocate,46,6,371,81,3.333333333333333
4.5,allocate,47,6,373,117,3.333333333333333
4.5,allocate,6,6,368,9,3.333333333333333
5.7,allocate,21,8,3283,370.0,1.4285714285714286
5.7,deallocate,21,6,3282,0,0
5.9,allocate,88,0,523,112,10.0
5.9,allocate,40,0,524,184,10.0
5.9,allocate,37,0,525,96,10.0
6.0,allocate,58,3,3250,1050.0,5.0
6.0,deallocate,36,4,592,18,0.0
6.0,allocate,11,2,599,234,2.0
6.0,allocate,67,2,598,217,2.0
6.0,allocate,73,2,597,51,2.0
6.0,allocate,36,2,596,18,2.0
6.0,deallocate,11,4,595,234,0.0
6.0,deallocate,67,4,594,217,0.0
6.0,deallocate,73,4,593,51,0.0
6.0,allocate,52,3,3251,810.0,5.0
6.0,deallocate,52,1,3248,0,0
6.0,deallocate,58,1,3247,0,0
6.0,deallocate,3,1,3246,0,0
6.0,allocate,3,3,3249,1170.0,5.0
6.9,allocate,6,9,41,9,10.0
6.9,allocate,26,9,42,190,10.0
6.9,allocate,90,9,40,56,10.0
7,allocate,12,2,4214,266.66666666666663,3.333333333333333
7,allocate,24,2,4213,1016.6666666666666,3.333333333333333
7,allocate,18,8,2743,1260.0,20.0
7,allocate,78,2,4215,466.66666666666663,3.333333333333333
7,allocate,19,2,4217,306.66666666666663,3.333333333333333
7,allocate,27,2,5016,234.0,3.0
7,allocate,75,2,5015,360.0,3.0
7,allocate,58,8,2744,4200.0,20.0
7,allocate,36,2,5009,54.0,3.0
7,allocate,23,2,5013,288.0,3.0
7,allocate,81,2,4216,819.9999999999999,3.333333333333333
7,allocate,39,2,4212,1703.3333333333333,3.333333333333333
7,allocate,42,2,4209,649.9999999999999,3.333333333333333
7,allocate,67,2,4210,723.3333333333333,3.333333333333333
7,allocate,13,2,4211,699.9999999999999,3.333333333333333
7,allocate,51,2,5012,219.0,3.0
7,allocate,99,2,5011,744.0,3.0
7,allocate,74,2,5014,93.0,3.0
7,allocate,87,2,5010,444.0,3.0
7.1,deallocate,21,8,3283,0,0
7.1,allocate,21,2,3284,370.0,1.4285714285714286
7.9,allocate,6,0,377,9,3.333333333333333
7.9,allocate,39,0,381,511,3.333333333333333
7.9,allocate,48,0,376,186,3.333333333333333
7.9,allocate,47,0,382,117,3.333333333333333
7.9,allocate,37,0,378,96,3.333333333333333
7.9,allocate,13,0,379,210,3.333333333333333
7.9,allocate,46,0,380,81,3.333333333333333
7.9,deallocate,39,6,372,511,0.0
7.9,allocate,5,0,375,7,3.333333333333333
7.9,deallocate,47,6,373,117,0.0
7.9,deallocate,13,6,370,210,0.0
7.9,deallocate,37,6,369,96,0.0
7.9,deallocate,6,6,368,9,0.0
7.9,deallocate,48,6,367,186,0.0
7.9,deallocate,5,6,366,7,0.0
7.9,deallocate,82,6,365,112,0.0
7.9,deallocate,46,6,371,81,0.0
7.9,allocate,82,0,374,112,3.333333333333333
8,allocate,34,6,3029,3850.0,10.0
8,allocate,9,6,3030,3780.0,10.0
8.0,deallocate,11,2,599,234,0.0
8.0,allocate,67,6,602,217,2.0
8.0,allocate,11,6,603,234,2.0
8.0,deallocate,36,2,596,18,0.0
8.0,deallocate,73,2,597,51,0.0
8.0,deallocate,67,2,598,217,0.0
8.0,allocate,36,6,600,18,2.0
8.0,allocate,73,6,601,51,2.0
8.5,allocate,11,8,498,234,10.0
8.5,allocate,88,8,499,112,10.0
8.5,allocate,47,8,500,117,10.0
8.5,allocate,7,8,502,160,10.0
8.5,allocate,59,8,501,114,10.0
8.6,allocate,21,1,3285,370.0,1.4285714285714286
8.6,allocate,5,8,1088,7,3.333333333333333
8.6,allocate,79,8,1089,52,3.333333333333333
8.6,deallocate,21,2,3284,0,0
8.6,allocate,6,8,1087,9,3.333333333333333
8.9,allocate,90,0,744,56,5.0
8.9,allocate,13,0,743,210,5.0
8.9,allocate,59,0,742,114,5.0
8.9,allocate,62,0,745,94,5.0
8.9,allocate,4,0,746,91,5.0
8.9,allocate,15,0,741,23,5.0
9,allocate,66,0,3495,8505.0,45.0
9,allocate,69,0,3494,20475.0,45.0
9,allocate,90,0,3493,2520.0,45.0
9,allocate,54,0,3492,3510.0,45.0
9,allocate,55,0,3491,5265.0,45.0
9,allocate,91,0,3490,6300.0,45.0
9,allocate,38,0,3489,5040.0,45.0
10.0,deallocate,36,2,5009,0,0
10.0,allocate,27,8,5024,234.0,3.0
10.0,deallocate,21,1,3285,0,0
10.0,allocate,75,8,5023,360.0,3.0
10.0,allocate,99,8,5019,744.0,3.0
10.0,allocate,87,8,5018,444.0,3.0
10.0,allocate,36,8,5017,54.0,3.0
10.0,deallocate,27,2,5016,0,0
10.0,deallocate,75,2,5015,0,0
10.0,deallocate,74,2,5014,0,0
10.0,deallocate,23,2,5013,0,0
10.0,deallocate,51,2,5012,0,0
10.0,allocate,74,8,5022,93.0,3.0
10.0,deallocate,87,2,5010,0,0
10.0,deallocate,99,2,5011,0,0
10.0,allocate,23,8,5021,288.0,3.0
10.0,allocate,51,8,5020,219.0,3.0
10.0,deallocate,73,6,601,51,0.0
10.0,deallocate,11,6,603,234,0.0
10.0,deallocate,67,6,602,217,0.0
10.0,deallocate,36,6,600,18,0.0
10.3,deallocate,19,2,4217,0,0
10.3,deallocate,39,2,4212,0,0
10.3,deallocate,67,2,4210,0,0
10.3,allocate,78,9,4224,466.66666666666663,3.333333333333333
10.3,allocate,12,9,4223,266.66666666666663,3.333333333333333
10.3,allocate,39,9,4221,1703.3333333333333,3.333333333333333
10.3,allocate,13,9,4220,699.9999999999999,3.333333333333333
10.3,allocate,67,9,4219,723.3333333333333,3.333333333333333
10.3,allocate,42,9,4218,649.9999999999999,3.333333333333333
