EventTime,EventType,ServiceID,DomainID,EventID,TotalUtil,UpTime
0,allocate,86,8,16275,739.9999999999999,3.333333333333333
0,allocate,36,5,9700,7560.0,60.0
0,allocate,47,8,16273,93.33333333333333,3.333333333333333
0,allocate,14,5,9701,4200.0,60.0
0,allocate,23,8,19419,1260.0,9.0
0,allocate,4,8,19420,432.0,9.0
0,allocate,69,8,16274,640.0,3.333333333333333
0,allocate,19,8,16272,413.3333333333333,3.333333333333333
0,allocate,44,5,9699,6300.0,60.0
0,allocate,17,5,9698,4800.0,60.0
0,allocate,64,8,16276,89.99999999999999,3.333333333333333
0,allocate,31,8,16277,1399.9999999999998,3.333333333333333
0,allocate,33,8,19421,243.0,9.0
1,allocate,37,4,16404,2333.3333333333335,16.666666666666668
1,allocate,87,9,5980,180.0,4.0
1,allocate,90,4,16403,1066.6666666666667,16.666666666666668
1,allocate,22,4,16405,2400.0,16.666666666666668
1,allocate,4,8,6774,960.0,20.0
1,allocate,82,8,6773,400.0,20.0
1,allocate,89,4,16406,666.6666666666667,16.666666666666668
1,allocate,91,4,16407,1700.0000000000002,16.666666666666668
1,allocate,78,8,6775,2440.0,20.0
1,allocate,26,0,5459,276.0,2.0
1,allocate,84,0,5458,42.0,2.0
1,allocate,53,8,6772,2880.0,20.0
1,allocate,54,0,5457,266.0,2.0
1,allocate,78,0,5455,244.0,2.0
1,allocate,92,0,5454,216.0,2.0
1,allocate,53,0,5453,288.0,2.0
1,allocate,91,0,5452,204.0,2.0
1,allocate,39,4,16408,183.33333333333334,16.666666666666668
1,allocate,93,0,5456,348.0,2.0
2,allocate,51,5,15441,630.0,3.0
2,allocate,7,1,11680,2400.0,26.666666666666668
2,allocate,35,5,4147,192.0,3.0
2,allocate,58,5,15443,180.0,3.0
2,allocate,65,5,4146,297.0,3.0
2,allocate,31,5,4145,1260.0,3.0
2,allocate,49,1,11678,5360.0,26.666666666666668
2,allocate,78,5,4143,366.0,3.0
2,allocate,46,1,11677,320.0,26.666666666666668
2,allocate,53,1,11679,3840.0,26.666666666666668
2,allocate,8,5,15445,1242.0,3.0
2,allocate,91,5,4148,306.0,3.0
2,allocate,27,6,19628,1200.0,10.0
2,allocate,75,5,4144,108.0,3.0
2,allocate,51,6,19634,2100.0,10.0
2,allocate,86,2,9662,3108.0,14.0
2,allocate,76,6,19632,400.0,10.0
2,allocate,94,6,19631,1960.0,10.0
2,allocate,95,6,19630,460.0,10.0
2,allocate,33,2,9665,378.0,14.0
2,allocate,59,6,19629,690.0,10.0
2,allocate,88,6,19627,300.0,10.0
2,allocate,0,2,9658,588.0,14.0
2,allocate,61,6,19626,360.0,10.0
2,allocate,82,2,9664,280.0,14.0
2,allocate,45,2,9663,896.0,14.0
2,allocate,95,2,9661,644.0,14.0
2,allocate,50,2,9660,3276.0,14.0
2,allocate,59,2,9659,966.0,14.0
2,allocate,14,5,15444,210.0,3.0
2,allocate,67,6,19633,720.0,10.0
2,allocate,78,5,15442,366.0,3.0
2.1,allocate,72,0,81,50.0,10.0
2.1,allocate,73,0,85,1400.0,10.0
2.1,allocate,81,0,82,800.0,10.0
2.1,allocate,82,0,83,200.0,10.0
2.1,allocate,1,0,84,3450.0,10.0
3.0,allocate,91,9,5460,204.0,2.0
3,allocate,53,3,1846,540.0,3.75
3,allocate,90,3,1847,240.0,3.75
3,allocate,24,3,1848,892.5,3.75
3.0,allocate,54,9,5465,266.0,2.0
3.0,allocate,93,9,5464,348.0,2.0
3.0,allocate,53,9,5461,288.0,2.0
3,allocate,66,0,10766,196.0,2.0
3.0,deallocate,92,0,5454,0,0
3,allocate,67,3,1845,270.0,3.75
3.0,deallocate,78,0,5455,0,0
3.0,deallocate,93,0,5456,0,0
3.0,deallocate,54,0,5457,0,0
3.0,deallocate,26,0,5459,0,0
3,allocate,17,0,10765,160.0,2.0
3.0,deallocate,53,0,5453,0,0
3,allocate,66,3,1844,367.5,3.75
3,allocate,19,3,1842,465.0,3.75
3.0,deallocate,84,0,5458,0,0
3,allocate,48,3,1843,105.0,3.75
3.0,allocate,92,9,5462,216.0,2.0
3.0,allocate,78,9,5463,244.0,2.0
3,allocate,88,0,10767,60.0,2.0
3.0,allocate,84,9,5466,42.0,2.0
3.0,allocate,26,9,5467,276.0,2.0
3.0,deallocate,91,0,5452,0,0
3.3,allocate,86,4,16281,739.9999999999999,3.333333333333333
3.3,deallocate,31,8,16277,0,0
3.3,deallocate,64,8,16276,0,0
3.3,deallocate,47,8,16273,0,0
3.3,allocate,69,4,16280,640.0,3.333333333333333
3.3,allocate,19,4,16278,413.3333333333333,3.333333333333333
3.3,deallocate,19,8,16272,0,0
3.3,allocate,47,4,16279,93.33333333333333,3.333333333333333
3.3,allocate,31,4,16283,1399.9999999999998,3.333333333333333
3.3,allocate,64,4,16282,89.99999999999999,3.333333333333333
3.3,deallocate,69,8,16274,0,0
3.3,deallocate,86,8,16275,0,0
4,allocate,37,3,5286,933.3333333333334,6.666666666666667
4,allocate,76,3,5285,266.6666666666667,6.666666666666667
4,allocate,86,3,5282,1480.0,6.666666666666667
4,allocate,48,3,5287,186.66666666666669,6.666666666666667
4,allocate,7,3,5288,600.0,6.666666666666667
4,allocate,26,3,5289,920.0,6.666666666666667
4,allocate,0,0,17796,262.5,6.25
4,allocate,94,3,5283,1306.6666666666667,6.666666666666667
4,allocate,52,0,17797,387.5,6.25
4,allocate,82,3,5284,133.33333333333334,6.666666666666667
4,allocate,61,0,17794,225.0,6.25
4,allocate,72,8,2852,50.0,10.0
4,allocate,95,3,8654,414.0,9.0
4,allocate,69,8,2853,1920.0,10.0
4,allocate,81,0,17795,500.0,6.25
4,allocate,37,8,2851,1400.0,10.0
4,allocate,23,8,2850,1400.0,10.0
4,allocate,78,3,5281,813.3333333333334,6.666666666666667
5.0,deallocate,17,0,10765,0,0
5.0,deallocate,84,9,5466,0,0
5.0,allocate,14,0,15449,210.0,3.0
5.0,deallocate,26,9,5467,0,0
5.0,allocate,91,1,5468,204.0,2.0
5.0,allocate,53,1,5469,288.0,2.0
5.0,allocate,92,1,5470,216.0,2.0
5.0,allocate,78,1,5471,244.0,2.0
5.0,allocate,93,1,5472,348.0,2.0
5.0,deallocate,54,9,5465,0,0
5.0,allocate,54,1,5473,266.0,2.0
5.0,allocate,26,1,5475,276.0,2.0
5.0,deallocate,66,0,10766,0,0
5.0,deallocate,88,0,10767,0,0
5.0,allocate,8,0,15450,1242.0,3.0
5.0,deallocate,93,9,5464,0,0
5.0,allocate,88,7,10770,60.0,2.0
5.0,deallocate,87,9,5980,0,0
5.0,allocate,58,0,15448,180.0,3.0
5.0,allocate,87,2,5981,180.0,4.0
5,allocate,85,6,16606,471.42857142857144,7.142857142857143
5.0,allocate,78,0,15447,366.0,3.0
5.0,allocate,66,7,10769,196.0,2.0
5,allocate,10,6,16605,392.8571428571429,7.142857142857143
5,allocate,37,6,16607,1000.0,7.142857142857143
5,allocate,43,6,16608,1542.857142857143,7.142857142857143
5,allocate,21,6,16609,3000.0,7.142857142857143
5,allocate,68,4,12539,2660.0,10.0
5,allocate,40,4,12538,3950.0,10.0
5.0,allocate,17,7,10768,160.0,2.0
5.0,allocate,51,0,15446,630.0,3.0
5.0,allocate,84,1,5474,42.0,2.0
5.0,allocate,91,3,4154,306.0,3.0
5.0,deallocate,78,5,4143,0,0
5.0,deallocate,8,5,15445,0,0
5.0,deallocate,78,9,5463,0,0
5.0,deallocate,92,9,5462,0,0
5.0,deallocate,91,9,5460,0,0
5.0,deallocate,14,5,15444,0,0
5.0,deallocate,58,5,15443,0,0
5.0,deallocate,78,5,15442,0,0
5.0,deallocate,51,5,15441,0,0
5.0,deallocate,75,5,4144,0,0
5.0,deallocate,53,9,5461,0,0
5.0,deallocate,31,5,4145,0,0
5.0,allocate,65,3,4152,297.0,3.0
5.0,allocate,31,3,4151,1260.0,3.0
5.0,allocate,75,3,4150,108.0,3.0
5.0,allocate,78,3,4149,366.0,3.0
5.0,allocate,35,3,4153,192.0,3.0
5.0,deallocate,91,5,4148,0,0
5.0,deallocate,35,5,4147,0,0
5.0,deallocate,65,5,4146,0,0
6,allocate,62,9,19451,4440.0,15.0
6,allocate,10,9,19450,825.0,15.0
6,allocate,9,9,19453,2475.0,15.0
6,allocate,28,9,19454,540.0,15.0
6,allocate,75,9,19455,540.0,15.0
6,allocate,48,9,19456,420.0,15.0
6,allocate,99,4,9714,1140.0,10.0
6,allocate,34,1,17321,266.0,7.0
6,allocate,33,1,17322,189.0,7.0
6,allocate,12,1,17323,1260.0,7.0
6,allocate,49,1,17324,1407.0,7.0
6,allocate,43,1,17325,1512.0,7.0
6,allocate,13,1,17326,1092.0,7.0
6,allocate,64,9,19449,405.0,15.0
6,allocate,27,9,19452,1800.0,15.0
6.7,deallocate,19,4,16278,0,0
6.7,deallocate,47,4,16279,0,0
6.7,allocate,31,7,16289,1399.9999999999998,3.333333333333333
6.7,deallocate,69,4,16280,0,0
6.7,allocate,64,7,16288,89.99999999999999,3.333333333333333
6.7,deallocate,64,4,16282,0,0
6.7,allocate,69,7,16286,640.0,3.333333333333333
6.7,deallocate,86,4,16281,0,0
6.7,allocate,86,7,16287,739.9999999999999,3.333333333333333
6.7,deallocate,31,4,16283,0,0
6.7,allocate,47,7,16285,93.33333333333333,3.333333333333333
6.7,allocate,19,7,16284,413.3333333333333,3.333333333333333
6.8,allocate,90,1,1854,240.0,3.75
6.8,allocate,48,1,1850,105.0,3.75
6.8,deallocate,19,3,1842,0,0
6.8,deallocate,67,3,1845,0,0
6.8,deallocate,53,3,1846,0,0
6.8,deallocate,90,3,1847,0,0
6.8,deallocate,24,3,1848,0,0
6.8,allocate,19,1,1849,465.0,3.75
6.8,deallocate,66,3,1844,0,0
6.8,allocate,24,1,1855,892.5,3.75
6.8,deallocate,48,3,1843,0,0
6.8,allocate,66,1,1851,367.5,3.75
6.8,allocate,67,1,1852,270.0,3.75
6.8,allocate,53,1,1853,540.0,3.75
6.9,allocate,21,7,131,4200.0,10.0
6.9,allocate,35,7,132,640.0,10.0
6.9,allocate,23,7,133,1400.0,10.0
6.9,allocate,38,7,134,1080.0,10.0
7.0,allocate,17,4,10771,160.0,2.0
7.0,allocate,78,4,5479,244.0,2.0
7.0,deallocate,26,1,5475,0,0
7.0,allocate,66,4,10772,196.0,2.0
7.0,deallocate,91,1,5468,0,0
7.0,deallocate,78,1,5471,0,0
7,allocate,38,7,11247,1080.0,10.0
7,allocate,35,7,11245,640.0,10.0
7.0,allocate,93,4,5480,348.0,2.0
7.0,deallocate,53,1,5469,0,0
7.0,deallocate,92,1,5470,0,0
7.0,allocate,54,4,5481,266.0,2.0
7.0,allocate,88,4,10773,60.0,2.0
7,allocate,21,7,11244,4200.0,10.0
7,allocate,23,7,11246,1400.0,10.0
7.0,allocate,53,4,5477,288.0,2.0
7.0,allocate,91,4,5476,204.0,2.0
7.0,allocate,26,4,5483,276.0,2.0
7.0,allocate,92,4,5478,216.0,2.0
7.0,deallocate,84,1,5474,0,0
7.0,deallocate,54,1,5473,0,0
7.0,deallocate,93,1,5472,0,0
7.0,deallocate,17,7,10768,0,0
7.0,deallocate,88,7,10770,0,0
7.0,deallocate,66,7,10769,0,0
7.0,allocate,84,4,5482,42.0,2.0
8.0,allocate,91,8,4160,306.0,3.0
8.0,allocate,35,8,4159,192.0,3.0
8.0,allocate,65,8,4158,297.0,3.0
8.0,deallocate,65,3,4152,0,0
8.0,deallocate,91,3,4154,0,0
8,allocate,26,3,11623,345.0,2.5
8.0,deallocate,35,3,4153,0,0
8.0,allocate,78,8,4155,366.0,3.0
8.0,allocate,75,8,4156,108.0,3.0
8,allocate,22,3,11626,360.0,2.5
8.0,allocate,14,7,15454,210.0,3.0
8.0,allocate,58,7,15453,180.0,3.0
8,allocate,46,3,11627,30.0,2.5
8,allocate,5,3,11625,910.0,2.5
8,allocate,96,3,11628,32.5,2.5
8.0,allocate,31,8,4157,1260.0,3.0
8,allocate,19,3,11624,310.0,2.5
8,allocate,44,3,11622,262.5,2.5
8,allocate,15,1,13872,490.0,8.75
8.0,allocate,8,7,15455,1242.0,3.0
8,allocate,45,1,13874,560.0,8.75
8.0,deallocate,14,0,15449,0,0
8.0,deallocate,78,3,4149,0,0
8,allocate,18,1,13873,1750.0,8.75
8,allocate,69,1,13876,1680.0,8.75
8.0,deallocate,51,0,15446,0,0
8.0,deallocate,78,0,15447,0,0
8,allocate,41,0,8435,15.555555555555557,2.2222222222222223
8.0,deallocate,58,0,15448,0,0
8,allocate,74,1,13875,1505.0,8.75
8,allocate,8,0,8434,920.0,2.2222222222222223
8.0,deallocate,31,3,4151,0,0
8.0,deallocate,75,3,4150,0,0
8.0,allocate,78,7,15452,366.0,3.0
8.0,deallocate,8,0,15450,0,0
8.0,allocate,51,7,15451,630.0,3.0
8.9,allocate,94,8,304,653.3333333333334,3.333333333333333
8.9,allocate,41,8,303,23.333333333333336,3.333333333333333
8.9,allocate,81,8,302,266.6666666666667,3.333333333333333
8.9,allocate,54,8,300,443.33333333333337,3.333333333333333
8.9,allocate,76,8,301,133.33333333333334,3.333333333333333
8.9,allocate,64,8,299,90.0,3.333333333333333
9.0,deallocate,26,4,5483,0,0
9.0,allocate,54,2,5489,266.0,2.0
9.0,deallocate,93,4,5480,0,0
9.0,deallocate,54,4,5481,0,0
9.0,deallocate,84,4,5482,0,0
9,allocate,96,5,12587,86.66666666666667,6.666666666666667
9.0,allocate,87,7,5982,180.0,4.0
9.0,allocate,53,2,5485,288.0,2.0
9.0,deallocate,33,8,19421,0,0
9.0,allocate,23,2,19422,1260.0,9.0
