ID,time,domain,event_type
34.0,10.4,6.0,allocate
34.0,34.7,6.0,deallocate
34.0,40.9,9.0,allocate
34.0,68.1,9.0,deallocate
34.0,75.3,1.0,allocate
34.0,95.7,1.0,deallocate
39.0,5.7,6.0,allocate
39.0,21.4,6.0,deallocate
39.0,30.1,9.0,allocate
39.0,53.7,9.0,deallocate
39.0,57.4,1.0,allocate
39.0,72.6,1.0,deallocate
39.0,76.1,3.0,allocate
39.0,110.3,3.0,deallocate
39.0,111.7,8.0,allocate
39.0,129.3,8.0,deallocate
39.0,131.6,4.0,allocate
39.0,158.9,4.0,deallocate
39.0,159.1,7.0,allocate
40.0,8.6,6.0,allocate
40.0,24.5,6.0,deallocate
40.0,36.6,9.0,allocate
44.0,11.6,6.0,allocate
47.0,10.8,6.0,allocate
47.0,26.4,6.0,deallocate
47.0,39.1,9.0,allocate
47.0,64.4,9.0,deallocate
47.0,67.9,1.0,allocate
47.0,80.7,1.0,deallocate
47.0,83.6,3.0,allocate
47.0,117.1,3.0,deallocate
47.0,118.7,8.0,allocate
47.0,137.0,8.0,deallocate
47.0,139.4,4.0,allocate
60.0,8.0,6.0,allocate
60.0,27.1,6.0,deallocate
60.0,38.1,9.0,allocate
60.0,65.4,9.0,deallocate
74.0,18.9,6.0,allocate
75.0,10.2,6.0,allocate
75.0,18.0,6.0,deallocate
75.0,23.8,9.0,allocate
75.0,38.0,9.0,deallocate
75.0,40.8,1.0,allocate
75.0,53.6,1.0,deallocate
75.0,56.0,3.0,allocate
75.0,75.3,3.0,deallocate
75.0,77.5,8.0,allocate
75.0,98.8,8.0,deallocate
75.0,100.7,4.0,allocate
75.0,124.2,4.0,deallocate
75.0,124.4,7.0,allocate
75.0,143.5,7.0,deallocate
75.0,145.0,0.0,allocate
76.0,6.4,6.0,allocate
76.0,25.2,6.0,deallocate
76.0,25.2,9.0,allocate
76.0,25.2,9.0,deallocate
76.0,25.2,6.0,allocate
76.0,25.3,6.0,deallocate
76.0,25.3,9.0,allocate
76.0,25.3,9.0,deallocate
76.0,25.3,6.0,allocate
76.0,25.4,6.0,deallocate
76.0,25.4,9.0,allocate
76.0,25.4,9.0,deallocate
76.0,25.4,6.0,allocate
76.0,25.5,6.0,deallocate
76.0,25.5,9.0,allocate
76.0,25.5,9.0,deallocate
76.0,25.5,6.0,allocate
76.0,25.6,6.0,deallocate
76.0,25.6,9.0,allocate
76.0,25.6,9.0,deallocate
76.0,25.6,6.0,allocate
76.0,25.7,6.0,deallocate
76.0,25.7,9.0,allocate
76.0,25.7,9.0,deallocate
76.0,25.7,6.0,allocate
76.0,25.8,6.0,deallocate
76.0,25.8,9.0,allocate
76.0,25.8,9.0,deallocate
76.0,25.8,6.0,allocate
76.0,25.9,6.0,deallocate
76.0,25.9,9.0,allocate
76.0,25.9,9.0,deallocate
76.0,25.9,6.0,allocate
76.0,26.0,6.0,deallocate
76.0,26.0,9.0,allocate
76.0,26.0,9.0,deallocate
76.0,26.0,6.0,allocate
76.0,26.1,6.0,deallocate
76.0,26.1,9.0,allocate
76.0,26.1,9.0,deallocate
76.0,26.1,6.0,allocate
76.0,26.2,6.0,deallocate
76.0,26.2,9.0,allocate
76.0,26.2,9.0,deallocate
76.0,26.2,6.0,allocate
76.0,26.3,6.0,deallocate
76.0,26.3,9.0,allocate
76.0,26.3,9.0,deallocate
76.0,26.3,6.0,allocate
76.0,26.4,6.0,deallocate
76.0,26.4,9.0,allocate
76.0,26.4,9.0,deallocate
76.0,26.4,6.0,allocate
76.0,26.5,6.0,deallocate
76.0,26.5,9.0,allocate
76.0,26.5,9.0,deallocate
76.0,26.5,6.0,allocate
76.0,26.6,6.0,deallocate
76.0,26.6,9.0,allocate
76.0,26.6,9.0,deallocate
76.0,26.6,6.0,allocate
76.0,26.7,6.0,deallocate
