EventTime,EventType,ServiceID,DomainID,EventID,TotalUtil,UpTime
0,allocate,42,5,11923,205.71428571428572,8.571428571428571
0,allocate,72,8,11773,80.0,16.0
0,allocate,92,4,12869,1800.0000000000002,16.666666666666668
0,allocate,47,4,12868,466.6666666666667,16.666666666666668
0,allocate,50,4,12867,3900.0000000000005,16.666666666666668
0,allocate,27,8,11777,1920.0,16.0
0,allocate,27,5,11924,1028.5714285714284,8.571428571428571
0,allocate,12,3,13912,1800.0,10.0
0,allocate,41,5,11922,60.0,8.571428571428571
0,allocate,79,3,13917,670.0,10.0
0,allocate,4,8,11774,768.0,16.0
0,allocate,92,8,11775,1728.0,16.0
0,allocate,43,8,11776,3456.0,16.0
0,allocate,72,0,9455,62.5,12.5
0,allocate,69,8,11778,3072.0,16.0
0,allocate,35,4,12870,1066.6666666666667,16.666666666666668
0,allocate,87,5,11919,385.7142857142857,8.571428571428571
0,allocate,10,5,11918,471.4285714285714,8.571428571428571
0,allocate,36,3,13915,1260.0,10.0
0,allocate,78,3,13914,1220.0,10.0
0,allocate,85,3,13913,660.0,10.0
0,allocate,10,3,13911,550.0,10.0
0,allocate,32,3,13916,240.0,10.0
0,allocate,72,3,13910,50.0,10.0
0,allocate,62,3,13909,2960.0,10.0
0,allocate,51,5,11921,1800.0,8.571428571428571
0,allocate,28,5,11920,308.57142857142856,8.571428571428571
1,allocate,1,6,2859,4830.0,14.0
1,allocate,51,6,2865,2940.0,14.0
1,allocate,54,6,2862,1862.0,14.0
1,allocate,88,6,2861,420.0,14.0
1,allocate,80,6,2867,2268.0,14.0
1,allocate,35,6,2866,896.0,14.0
1,allocate,46,6,2864,168.0,14.0
1,allocate,93,6,2863,2436.0,14.0
1,allocate,24,6,2860,3332.0,14.0
2,allocate,13,4,6643,2730.0,17.5
2,allocate,27,4,6648,2100.0,17.5
2,allocate,92,4,6644,1890.0,17.5
2,allocate,55,4,6646,350.0,17.5
2,allocate,94,4,6642,3430.0,17.5
2,allocate,9,4,6647,2887.5,17.5
2,allocate,18,4,6645,3500.0,17.5
2.1,allocate,72,0,81,50.0,10.0
2.1,allocate,82,0,83,200.0,10.0
2.1,allocate,81,0,82,800.0,10.0
2.1,allocate,73,0,85,1400.0,10.0
2.1,allocate,1,0,84,3450.0,10.0
3,allocate,52,0,6135,387.5,6.25
3,allocate,0,0,6134,262.5,6.25
3,allocate,81,0,6133,500.0,6.25
3,allocate,61,0,6132,225.0,6.25
4,allocate,19,3,12884,1488.0,12.0
4,allocate,4,3,12880,576.0,12.0
4,allocate,16,6,3076,11040.0,80.0
4,allocate,8,6,3075,33120.0,80.0
4,allocate,39,4,9074,183.33333333333334,16.666666666666668
4,allocate,13,6,14120,12480.0,80.0
4,allocate,75,6,14118,2880.0,80.0
4,allocate,16,6,14117,11040.0,80.0
4,allocate,95,3,12882,552.0,12.0
4,allocate,76,6,14115,3200.0,80.0
4,allocate,93,6,14121,13920.0,80.0
4,allocate,49,3,12885,2412.0,12.0
4,allocate,90,4,9069,1066.6666666666667,16.666666666666668
4,allocate,37,4,9070,2333.3333333333335,16.666666666666668
4,allocate,22,4,9071,2400.0,16.666666666666668
4,allocate,89,4,9072,666.6666666666667,16.666666666666668
4,allocate,72,6,14119,400.0,80.0
4,allocate,52,3,12886,744.0,12.0
4,allocate,64,3,12879,324.0,12.0
4,allocate,16,7,14280,2300.0,16.666666666666668
4,allocate,8,6,14116,33120.0,80.0
4,allocate,99,7,14282,1900.0000000000002,16.666666666666668
4,allocate,58,7,14281,1000.0000000000001,16.666666666666668
4,allocate,21,6,9707,3360.0,8.0
4,allocate,13,6,3079,12480.0,80.0
4,allocate,93,6,3080,13920.0,80.0
4,allocate,73,3,12883,1680.0,12.0
4,allocate,75,6,3077,2880.0,80.0
4,allocate,41,3,12881,84.0,12.0
4,allocate,72,6,3078,400.0,80.0
4,allocate,91,4,9073,1700.0000000000002,16.666666666666668
4,allocate,96,7,3999,185.71428571428572,14.285714285714286
4,allocate,26,7,3998,1971.4285714285716,14.285714285714286
4,allocate,10,7,3997,785.7142857142858,14.285714285714286
4,allocate,21,7,14285,7000.000000000001,16.666666666666668
4,allocate,63,7,14284,3916.666666666667,16.666666666666668
4,allocate,50,7,14283,3900.0000000000005,16.666666666666668
4,allocate,76,6,3074,3200.0,80.0
5,allocate,9,9,13718,5775.0,35.0
5,allocate,94,8,12016,653.3333333333333,3.333333333333333
5,allocate,65,9,13716,3465.0,35.0
5,allocate,93,9,13715,6090.0,35.0
5,allocate,98,9,13714,1890.0,35.0
5,allocate,54,8,12012,443.3333333333333,3.333333333333333
5,allocate,64,8,12011,89.99999999999999,3.333333333333333
5,allocate,81,8,12014,266.66666666666663,3.333333333333333
5,allocate,22,9,13717,5040.0,35.0
5,allocate,41,8,12015,23.333333333333332,3.333333333333333
5,allocate,76,8,12013,133.33333333333331,3.333333333333333
6,allocate,16,6,13334,690.0,5.0
6,allocate,35,6,13337,320.0,5.0
6,allocate,62,6,13336,1480.0,5.0
6,allocate,97,6,13335,180.0,5.0
6,allocate,33,6,13333,135.0,5.0
6.9,allocate,38,7,134,1080.0,10.0
6.9,allocate,23,7,133,1400.0,10.0
6.9,allocate,35,7,132,640.0,10.0
6.9,allocate,21,7,131,4200.0,10.0
7,allocate,39,6,14647,123.75,11.25
7,allocate,43,8,7035,17280.0,80.0
7,allocate,2,6,14644,270.0,11.25
7,allocate,76,8,1759,133.33333333333331,3.333333333333333
7,allocate,81,8,1760,266.66666666666663,3.333333333333333
7,allocate,41,8,1761,23.333333333333332,3.333333333333333
7,allocate,94,8,1762,653.3333333333333,3.333333333333333
7,allocate,93,6,14646,1957.5,11.25
7,allocate,3,6,14645,5670.0,11.25
7,allocate,25,6,14643,337.5,11.25
7,allocate,77,8,7036,19600.0,80.0
7,allocate,12,8,7039,14400.0,80.0
7,allocate,31,8,7038,33600.0,80.0
7,allocate,27,8,7037,9600.0,80.0
7,allocate,50,4,11987,3900.0000000000005,16.666666666666668
7,allocate,83,8,7032,17360.0,80.0
7,allocate,67,8,7033,5760.0,80.0
7,allocate,61,8,7034,2880.0,80.0
7,allocate,64,8,1757,89.99999999999999,3.333333333333333
7,allocate,54,8,1758,443.3333333333333,3.333333333333333
7,allocate,47,4,11988,466.6666666666667,16.666666666666668
7,allocate,99,4,5197,1140.0,10.0
7,allocate,92,4,11989,1800.0000000000002,16.666666666666668
7,allocate,35,4,11990,1066.6666666666667,16.666666666666668
7,allocate,46,8,7040,960.0,80.0
8,allocate,90,0,5359,80.0,1.25
8,allocate,83,0,5358,271.25,1.25
8,allocate,6,6,4667,1875.0,25.0
8,allocate,13,6,4668,3900.0,25.0
8,allocate,95,3,4395,414.0,9.0
8,allocate,21,6,14061,3360.0,8.0
8,allocate,13,0,5357,195.0,1.25
8.3,deallocate,64,8,12011,0,0
8.3,allocate,54,7,12018,443.3333333333333,3.333333333333333
8.3,allocate,64,7,12017,89.99999999999999,3.333333333333333
8.3,deallocate,94,8,12016,0,0
8.3,allocate,41,7,12021,23.333333333333332,3.333333333333333
8.3,deallocate,81,8,12014,0,0
8.3,deallocate,76,8,12013,0,0
8.3,deallocate,54,8,12012,0,0
8.3,allocate,76,7,12019,133.33333333333331,3.333333333333333
8.3,allocate,81,7,12020,266.66666666666663,3.333333333333333
8.3,allocate,94,7,12022,653.3333333333333,3.333333333333333
8.3,deallocate,41,8,12015,0,0
8.6,deallocate,42,5,11923,0,0
8.6,allocate,41,7,11929,60.0,8.571428571428571
8.6,allocate,87,7,11926,385.7142857142857,8.571428571428571
8.6,allocate,10,7,11925,471.4285714285714,8.571428571428571
8.6,deallocate,27,5,11924,0,0
8.6,deallocate,41,5,11922,0,0
8.6,deallocate,51,5,11921,0,0
8.6,deallocate,28,5,11920,0,0
8.6,deallocate,87,5,11919,0,0
8.6,allocate,27,7,11931,1028.5714285714284,8.571428571428571
8.6,allocate,28,7,11927,308.57142857142856,8.571428571428571
8.6,allocate,51,7,11928,1800.0,8.571428571428571
8.6,allocate,42,7,11930,205.71428571428572,8.571428571428571
8.6,deallocate,10,5,11918,0,0
8.9,allocate,76,8,301,133.33333333333334,3.333333333333333
8.9,allocate,64,8,299,90.0,3.333333333333333
8.9,allocate,54,8,300,443.33333333333337,3.333333333333333
8.9,allocate,81,8,302,266.6666666666667,3.333333333333333
8.9,allocate,41,8,303,23.333333333333336,3.333333333333333
8.9,allocate,94,8,304,653.3333333333334,3.333333333333333
9,allocate,33,1,8418,216.0,8.0
9,allocate,91,1,8416,816.0,8.0
9,allocate,77,1,8415,1960.0,8.0
9,allocate,49,1,8414,1608.0,8.0
9,allocate,48,1,8413,224.0,8.0
9,allocate,24,1,8417,1904.0,8.0
9,allocate,6,1,8412,600.0,8.0
9,allocate,79,1,8411,536.0,8.0
9,allocate,43,1,8410,1728.0,8.0
9.2,deallocate,13,0,5357,0,0
9.2,allocate,81,4,6137,500.0,6.25
9.2,allocate,61,4,6136,225.0,6.25
9.2,deallocate,52,0,6135,0,0
9.2,allocate,90,9,5362,80.0,1.25
9.2,deallocate,0,0,6134,0,0
9.2,deallocate,83,0,5358,0,0
9.2,allocate,83,9,5361,271.25,1.25
9.2,allocate,13,9,5360,195.0,1.25
9.2,allocate,52,4,6139,387.5,6.25
9.2,deallocate,61,0,6132,0,0
9.2,deallocate,81,0,6133,0,0
9.2,allocate,0,4,6138,262.5,6.25
9.2,deallocate,90,0,5359,0,0
10.0,allocate,36,6,13924,1260.0,10.0
10.0,allocate,85,6,13922,660.0,10.0
10.0,allocate,78,6,13923,1220.0,10.0
10.0,allocate,32,6,13925,240.0,10.0
10.0,deallocate,36,3,13915,0,0
10.0,deallocate,62,3,13909,0,0
10.0,allocate,12,6,13921,1800.0,10.0
10.0,allocate,72,6,13919,50.0,10.0
10.0,allocate,62,6,13918,2960.0,10.0
10.0,allocate,79,6,13926,670.0,10.0
10.0,deallocate,79,3,13917,0,0
10.0,allocate,10,6,13920,550.0,10.0
10,allocate,88,6,7496,450.0,15.0
10.0,deallocate,72,3,13910,0,0
10,allocate,81,6,7498,1200.0,15.0
10,allocate,59,6,7499,1035.0,15.0
10.0,deallocate,32,3,13916,0,0
10.0,deallocate,85,3,13913,0,0
10.0,deallocate,78,3,13914,0,0
10,allocate,91,8,5888,1700.0000000000002,16.666666666666668
10,allocate,79,8,5887,1116.6666666666667,16.666666666666668
10,allocate,11,8,5886,500.00000000000006,16.666666666666668
10.0,deallocate,10,3,13911,0,0
10.0,deallocate,12,3,13912,0,0
10,allocate,98,6,7497,810.0,15.0
10.3,allocate,41,7,1767,23.333333333333332,3.333333333333333
10.3,deallocate,41,8,1761,0,0
10.3,deallocate,94,8,1762,0,0
10.3,allocate,54,7,1764,443.3333333333333,3.333333333333333
10.3,deallocate,81,8,1760,0,0
10.3,allocate,76,7,1765,133.33333333333331,3.333333333333333
10.3,allocate,81,7,1766,266.66666666666663,3.333333333333333
10.3,deallocate,76,8,1759,0,0
10.3,allocate,64,7,1763,89.99999999999999,3.333333333333333
10.3,deallocate,64,8,1757,0,0
10.3,deallocate,54,8,1758,0,0
10.3,allocate,94,7,1768,653.3333333333333,3.333333333333333
10.5,allocate,22,4,345,2400.0,16.666666666666668
10.5,allocate,39,4,348,183.33333333333331,16.666666666666668
10.5,allocate,91,4,347,1700.0000000000002,16.666666666666668
10.5,allocate,89,4,346,666.6666666666667,16.666666666666668
10.5,allocate,37,4,344,2333.333333333333,16.666666666666668
10.5,allocate,13,1,5363,195.0,1.25
10.5,deallocate,83,9,5361,0,0
10.5,deallocate,13,9,5360,0,0
10.5,deallocate,90,9,5362,0,0
10.5,allocate,90,1,5365,80.0,1.25
10.5,allocate,90,4,343,1066.6666666666667,16.666666666666668
10.5,allocate,83,1,5364,271.25,1.25
10.6,allocate,40,2,8,3950.0,10.0
10.6,allocate,91,2,6,1020.0,10.0
10.6,allocate,86,2,5,2220.0,10.0
10.6,allocate,98,2,1,540.0,10.0
10.6,allocate,99,2,2,1140.0,10.0
10.6,allocate,39,2,3,110.0,10.0
10.6,allocate,43,2,0,2160.0,10.0
10.6,allocate,4,2,7,480.0,10.0
10.6,allocate,41,2,4,70.0,10.0
11,allocate,88,6,12157,300.0,10.0
11.0,allocate,16,0,13339,690.0,5.0
11,allocate,85,6,10706,471.42857142857144,7.142857142857143
11.0,allocate,35,0,13342,320.0,5.0
11,allocate,10,6,10705,392.8571428571429,7.142857142857143
11,allocate,61,6,12156,360.0,10.0
11,allocate,37,6,10707,1000.0,7.142857142857143
11.0,allocate,62,0,13341,1480.0,5.0
11,allocate,76,6,12162,400.0,10.0
11.0,allocate,97,0,13340,180.0,5.0
11.0,deallocate,35,6,13337,0,0
11.0,allocate,33,0,13338,135.0,5.0
11,allocate,67,6,12163,720.0,10.0
11.0,deallocate,62,6,13336,0,0
11.0,deallocate,97,6,13335,0,0
11.0,deallocate,16,6,13334,0,0
11,allocate,21,6,10709,3000.0,7.142857142857143
11,allocate,51,6,12164,2100.0,10.0
11.0,deallocate,33,6,13333,0,0
11,allocate,94,6,12161,1960.0,10.0
11,allocate,95,6,12160,460.0,10.0
11,allocate,59,6,12159,690.0,10.0
11,allocate,27,6,12158,1200.0,10.0
11,allocate,11,4,8007,3000.0,100.0
11,allocate,36,4,8009,12600.0,100.0
11,allocate,59,4,8010,6900.0,100.0
11,allocate,70,4,8008,39600.0,100.0
11,allocate,0,4,8006,4200.0,100.0
11,allocate,43,6,10708,1542.857142857143,7.142857142857143
11.2,allocate,66,4,523,108.8888888888889,1.1111111111111112
11.2,allocate,64,4,520,30.0,1.1111111111111112
11.2,allocate,74,4,525,191.11111111111111,1.1111111111111112
11.2,allocate,43,4,524,240.0,1.1111111111111112
11.2,allocate,2,4,522,26.666666666666668,1.1111111111111112
11.2,allocate,60,4,521,521.1111111111111,1.1111111111111112
11.7,deallocate,41,7,12021,0,0
11.7,deallocate,81,7,12020,0,0
11.7,deallocate,76,7,12019,0,0
11.7,deallocate,54,7,12018,0,0
11.7,allocate,76,9,12025,133.33333333333331,3.333333333333333
11.7,allocate,64,9,12023,89.99999999999999,3.333333333333333
11.7,allocate,94,9,12028,653.3333333333333,3.333333333333333
