ServiceID,Importance,sBandwidth,sCores,rEBandwidth,rECores,rCBandwidth,rCCores,sTotalUtil
0,67,35,5,5,1,17.5,4,175
1,23,11,1,5,1,5.5,1,11
2,89,15,1,5,1,7.5,1,15
3,84,5,4,5,1,2.5,3,20
4,65,22,4,5,1,11.0,3,88
5,57,9,3,5,1,4.5,2,27
6,22,9,4,5,1,4.5,3,36
7,11,35,2,5,1,17.5,1,70
8,59,22,4,5,1,11.0,3,88
9,34,47,7,5,1,23.5,6,329
10,30,19,2,5,1,9.5,1,38
11,66,32,2,5,1,16.0,1,64
12,21,11,6,5,1,5.5,5,66
13,27,14,6,5,1,7.0,5,84
14,39,27,2,5,1,13.5,1,54
15,29,17,3,5,1,8.5,2,51
16,51,20,2,5,1,10.0,1,40
17,92,24,5,5,1,12.0,4,120
18,1,49,4,5,1,24.5,3,196
19,52,53,4,5,1,26.5,3,212
20,28,29,5,5,1,14.5,4,145
21,24,56,2,5,1,28.0,1,112
22,8,56,3,5,1,28.0,2,168
23,7,53,7,5,1,26.5,6,371
24,90,52,4,5,1,26.0,3,208
25,4,21,4,5,1,10.5,3,84
26,100,20,3,5,1,10.0,2,60
27,38,46,3,5,1,23.0,2,138
28,97,6,2,5,1,3.0,1,12
29,83,12,1,5,1,6.0,1,12
30,6,11,3,5,1,5.5,2,33
31,26,24,7,5,1,12.0,6,168
32,79,71,2,5,1,35.5,1,142
33,85,34,1,5,1,17.0,1,34
34,25,13,2,5,1,6.5,1,26
35,80,57,4,5,1,28.5,3,228
36,33,7,1,5,1,3.5,1,7
37,74,11,6,5,1,5.5,5,66
38,5,18,3,5,1,9.0,2,54
39,63,7,2,5,1,3.5,1,14
40,64,23,2,5,1,11.5,1,46
41,40,7,6,5,1,3.5,5,42
42,48,66,7,5,1,33.0,6,462
43,16,25,4,5,1,12.5,3,100
44,96,7,3,5,1,3.5,2,21
45,76,11,3,5,1,5.5,2,33
46,13,25,6,5,1,12.5,5,150
47,58,24,6,5,1,12.0,5,144
48,78,36,7,5,1,18.0,6,252
49,86,15,3,5,1,7.5,2,45
50,68,70,4,5,1,35.0,3,280
51,88,38,2,5,1,19.0,1,76
52,20,72,3,5,1,36.0,2,216
53,62,18,6,5,1,9.0,5,108
54,81,5,1,5,1,2.5,1,5
55,46,36,3,5,1,18.0,2,108
56,98,10,7,5,1,5.0,6,70
57,19,55,5,5,1,27.5,4,275
58,54,8,5,5,1,4.0,4,40
59,2,6,3,5,1,3.0,2,18
60,70,30,3,5,1,15.0,2,90
61,17,76,1,5,1,38.0,1,76
62,60,40,5,5,1,20.0,4,200
63,56,20,5,5,1,10.0,4,100
64,75,37,1,5,1,18.5,1,37
65,14,19,3,5,1,9.5,2,57
66,3,19,3,5,1,9.5,2,57
67,12,17,1,5,1,8.5,1,17
68,87,27,1,5,1,13.5,1,27
69,71,51,6,5,1,25.5,5,306
70,9,27,2,5,1,13.5,1,54
71,35,30,5,5,1,15.0,4,150
72,99,77,2,5,1,38.5,1,154
73,82,72,1,5,1,36.0,1,72
74,43,37,1,5,1,18.5,1,37
75,69,15,6,5,1,7.5,5,90
76,15,75,7,5,1,37.5,6,525
77,91,74,1,5,1,37.0,1,74
78,18,76,4,5,1,38.0,3,304
79,37,14,4,5,1,7.0,3,56
80,10,20,2,5,1,10.0,1,40
81,42,62,4,5,1,31.0,3,248
82,73,79,7,5,1,39.5,6,553
83,47,22,4,5,1,11.0,3,88
84,55,58,5,5,1,29.0,4,290
85,44,71,2,5,1,35.5,1,142
86,50,77,6,5,1,38.5,5,462
87,49,58,6,5,1,29.0,5,348
88,93,31,4,5,1,15.5,3,124
89,72,58,1,5,1,29.0,1,58
90,32,39,4,5,1,19.5,3,156
91,45,13,2,5,1,6.5,1,26
92,61,18,7,5,1,9.0,6,126
93,41,36,3,5,1,18.0,2,108
94,53,41,3,5,1,20.5,2,123
95,31,49,3,5,1,24.5,2,147
96,77,70,4,5,1,35.0,3,280
97,94,20,7,5,1,10.0,6,140
98,95,80,3,5,1,40.0,2,240
99,36,52,4,5,1,26.0,3,208
