ServiceID,Importance,sBandwidth,sCores,rEBandwidth,rECores,rCBandwidth,rCCores
0,307,35,6,17.5,3.0,17.5,3.0
1,380,25,10,12.5,5.0,12.5,5.0
2,459,15,2,7.5,1.0,7.5,1.0
3,412,20,10,10.0,5.0,10.0,5.0
4,116,20,10,10.0,5.0,10.0,5.0
5,436,5,10,2.5,5.0,2.5,5.0
6,283,25,8,12.5,4.0,12.5,4.0
7,452,25,4,12.5,2.0,12.5,2.0
8,320,10,6,5.0,3.0,5.0,3.0
9,280,50,10,25.0,5.0,25.0,5.0
10,130,80,6,40.0,3.0,40.0,3.0
11,235,15,6,7.5,3.0,7.5,3.0
12,134,20,8,10.0,4.0,10.0,4.0
13,208,5,10,2.5,5.0,2.5,5.0
14,151,20,8,10.0,4.0,10.0,4.0
15,279,50,2,25.0,1.0,25.0,1.0
16,2,20,8,10.0,4.0,10.0,4.0
17,50,20,4,10.0,2.0,10.0,2.0
18,169,30,4,15.0,2.0,15.0,2.0
19,286,70,6,35.0,3.0,35.0,3.0
20,183,30,4,15.0,2.0,15.0,2.0
21,317,45,2,22.5,1.0,22.5,1.0
22,475,60,6,30.0,3.0,30.0,3.0
23,395,60,10,30.0,5.0,30.0,5.0
24,357,60,10,30.0,5.0,30.0,5.0
25,229,35,2,17.5,1.0,17.5,1.0
26,29,20,8,10.0,4.0,10.0,4.0
27,411,15,4,7.5,2.0,7.5,2.0
28,148,25,8,12.5,4.0,12.5,4.0
29,456,70,2,35.0,1.0,35.0,1.0
30,409,30,6,15.0,3.0,15.0,3.0
31,161,30,8,15.0,4.0,15.0,4.0
32,36,20,8,10.0,4.0,10.0,4.0
33,324,15,6,7.5,3.0,7.5,3.0
34,224,65,4,32.5,2.0,32.5,2.0
35,437,80,6,40.0,3.0,40.0,3.0
36,356,30,10,15.0,5.0,15.0,5.0
37,55,60,8,30.0,4.0,30.0,4.0
38,15,45,4,22.5,2.0,22.5,2.0
39,287,20,2,10.0,1.0,10.0,1.0
40,368,80,6,40.0,3.0,40.0,3.0
41,485,35,4,17.5,2.0,17.5,2.0
42,487,30,10,15.0,5.0,15.0,5.0
43,488,40,8,20.0,4.0,20.0,4.0
44,196,20,6,10.0,3.0,10.0,3.0
45,80,20,4,10.0,2.0,10.0,2.0
46,117,10,6,5.0,3.0,5.0,3.0
47,342,15,8,7.5,4.0,7.5,4.0
48,92,35,6,17.5,3.0,17.5,3.0
49,256,10,10,5.0,5.0,5.0,5.0
50,435,75,6,37.5,3.0,37.5,3.0
51,255,10,4,5.0,2.0,5.0,2.0
52,237,30,10,15.0,5.0,15.0,5.0
53,270,5,4,2.5,2.0,2.5,2.0
54,26,5,2,2.5,1.0,2.5,1.0
55,297,60,4,30.0,2.0,30.0,2.0
56,100,55,10,27.5,5.0,27.5,5.0
57,88,10,6,5.0,3.0,5.0,3.0
58,384,15,10,7.5,5.0,7.5,5.0
59,358,45,8,22.5,4.0,22.5,4.0
60,9,50,2,25.0,1.0,25.0,1.0
61,424,20,6,10.0,3.0,10.0,3.0
62,288,30,2,15.0,1.0,15.0,1.0
63,392,25,10,12.5,5.0,12.5,5.0
64,261,75,10,37.5,5.0,37.5,5.0
65,274,75,4,37.5,2.0,37.5,2.0
66,349,25,10,12.5,5.0,12.5,5.0
67,56,30,4,15.0,2.0,15.0,2.0
68,188,10,6,5.0,3.0,5.0,3.0
69,162,35,8,17.5,4.0,17.5,4.0
70,10,40,4,20.0,2.0,20.0,2.0
71,367,55,8,27.5,4.0,27.5,4.0
72,193,5,6,2.5,3.0,2.5,3.0
73,234,70,10,35.0,5.0,35.0,5.0
74,275,75,6,37.5,3.0,37.5,3.0
75,232,20,4,10.0,2.0,10.0,2.0
76,385,5,10,2.5,5.0,2.5,5.0
77,94,15,2,7.5,1.0,7.5,1.0
78,350,65,6,32.5,3.0,32.5,3.0
79,455,35,6,17.5,3.0,17.5,3.0
80,97,75,4,37.5,2.0,37.5,2.0
81,440,75,2,37.5,1.0,37.5,1.0
82,109,30,2,15.0,1.0,15.0,1.0
83,462,15,10,7.5,5.0,7.5,5.0
84,443,35,6,17.5,3.0,17.5,3.0
85,500,80,4,40.0,2.0,40.0,2.0
86,434,30,10,15.0,5.0,15.0,5.0
87,414,35,8,17.5,4.0,17.5,4.0
88,460,35,4,17.5,2.0,17.5,2.0
89,241,40,2,20.0,1.0,20.0,1.0
90,143,45,6,22.5,3.0,22.5,3.0
91,141,35,6,17.5,3.0,17.5,3.0
92,49,10,2,5.0,1.0,5.0,1.0
93,64,30,2,15.0,1.0,15.0,1.0
94,146,10,2,5.0,1.0,5.0,1.0
95,99,80,8,40.0,4.0,40.0,4.0
96,264,50,10,25.0,5.0,25.0,5.0
97,489,55,2,27.5,1.0,27.5,1.0
98,95,5,2,2.5,1.0,2.5,1.0
99,177,20,10,10.0,5.0,10.0,5.0
100,12,55,4,27.5,2.0,27.5,2.0
101,247,30,2,15.0,1.0,15.0,1.0
102,494,30,8,15.0,4.0,15.0,4.0
103,170,5,6,2.5,3.0,2.5,3.0
104,327,70,2,35.0,1.0,35.0,1.0
105,386,30,2,15.0,1.0,15.0,1.0
106,106,5,4,2.5,2.0,2.5,2.0
107,82,10,10,5.0,5.0,5.0,5.0
108,214,35,4,17.5,2.0,17.5,2.0
109,210,5,4,2.5,2.0,2.5,2.0
110,340,15,6,7.5,3.0,7.5,3.0
111,175,25,6,12.5,3.0,12.5,3.0
112,96,60,6,30.0,3.0,30.0,3.0
113,205,30,10,15.0,5.0,15.0,5.0
114,473,65,8,32.5,4.0,32.5,4.0
115,293,15,10,7.5,5.0,7.5,5.0
116,150,30,2,15.0,1.0,15.0,1.0
117,445,5,10,2.5,5.0,2.5,5.0
118,426,20,10,10.0,5.0,10.0,5.0
119,316,50,10,25.0,5.0,25.0,5.0
120,144,20,2,10.0,1.0,10.0,1.0
121,433,35,8,17.5,4.0,17.5,4.0
122,201,55,10,27.5,5.0,27.5,5.0
123,35,25,2,12.5,1.0,12.5,1.0
124,135,65,8,32.5,4.0,32.5,4.0
125,28,5,6,2.5,3.0,2.5,3.0
126,419,30,10,15.0,5.0,15.0,5.0
127,465,60,4,30.0,2.0,30.0,2.0
128,91,30,2,15.0,1.0,15.0,1.0
129,429,15,8,7.5,4.0,7.5,4.0
130,178,60,8,30.0,4.0,30.0,4.0
131,468,5,10,2.5,5.0,2.5,5.0
132,353,15,8,7.5,4.0,7.5,4.0
133,72,25,2,12.5,1.0,12.5,1.0
134,364,5,8,2.5,4.0,2.5,4.0
135,480,65,4,32.5,2.0,32.5,2.0
136,310,15,4,7.5,2.0,7.5,2.0
137,22,30,8,15.0,4.0,15.0,4.0
138,267,80,8,40.0,4.0,40.0,4.0
139,133,70,10,35.0,5.0,35.0,5.0
