NodeName,NumCores,PartitioningHeuristic
worker0,8,worstfit
worker1,8,worstfit
worker2,8,worstfit
worker3,8,worstfit
worker4,8,worstfit
worker5,8,worstfit
worker6,8,worstfit
worker7,8,worstfit
worker8,8,worstfit
worker9,8,worstfit
worker10,8,worstfit
worker11,8,worstfit
worker12,8,worstfit
worker13,8,worstfit
worker14,8,worstfit
worker15,8,worstfit
worker16,8,worstfit
worker17,8,worstfit
worker18,8,worstfit
worker19,8,worstfit
worker20,8,worstfit
worker21,8,worstfit
worker22,8,worstfit
worker23,8,worstfit
worker24,8,worstfit
worker25,8,worstfit
worker26,8,worstfit
worker27,8,worstfit
worker28,8,worstfit
worker29,8,worstfit
worker30,8,worstfit
worker31,8,worstfit
worker32,8,worstfit
worker33,8,worstfit
worker34,8,worstfit
worker35,8,worstfit
worker36,8,worstfit
worker37,8,worstfit
worker38,8,worstfit
worker39,8,worstfit
worker40,8,worstfit
worker41,8,worstfit
worker42,8,worstfit
worker43,8,worstfit
worker44,8,worstfit
worker45,8,worstfit
worker46,8,worstfit
worker47,8,worstfit
worker48,8,worstfit
worker49,8,worstfit
