NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain3_worker0_r,16,bestfit,MaxMax
domain3_worker1_r,16,bestfit,MaxMax
domain3_worker2_r,16,bestfit,MaxMax
domain3_worker3_r,16,bestfit,MaxMax
domain3_worker4_r,16,bestfit,MaxMax
domain3_worker5_r,16,bestfit,MaxMax
domain3_worker6_r,16,bestfit,MaxMax
domain3_worker7_r,16,bestfit,MaxMax
domain3_worker8_r,16,bestfit,MaxMax
domain3_worker9_r,16,bestfit,MaxMax
domain3_worker10_r,16,bestfit,MaxMax
domain3_worker11_r,16,bestfit,MaxMax
domain3_worker12_r,16,bestfit,MaxMax
domain3_worker13_r,16,bestfit,MaxMax
domain3_worker14_r,16,bestfit,MaxMax
domain3_worker15_r,16,bestfit,MaxMax
domain3_worker16_r,16,bestfit,MaxMax
domain3_worker17_r,16,bestfit,MaxMax
domain3_worker18_r,16,bestfit,MaxMax
domain3_worker19_r,16,bestfit,MaxMax
domain3_worker20_r,16,bestfit,MaxMax
domain3_worker21_r,16,bestfit,MaxMax
domain3_worker22_r,16,bestfit,MaxMax
domain3_worker23_r,16,bestfit,MaxMax
domain3_worker24_r,16,bestfit,MaxMax
domain3_worker25_r,16,bestfit,MaxMax
domain3_worker26_r,16,bestfit,MaxMax
domain3_worker27_r,16,bestfit,MaxMax
domain3_worker28_r,16,bestfit,MaxMax
domain3_worker29_r,16,bestfit,MaxMax
domain3_worker30_r,16,bestfit,MaxMax
domain3_worker31_r,16,bestfit,MaxMax
domain3_worker32_r,16,bestfit,MaxMax
domain3_worker33_r,16,bestfit,MaxMax
domain3_worker34_r,16,bestfit,MaxMax
domain3_worker35_r,16,bestfit,MaxMax
domain3_worker36_r,16,bestfit,MaxMax
domain3_worker37_r,16,bestfit,MaxMax
domain3_worker38_r,16,bestfit,MaxMax
domain3_worker39_r,16,bestfit,MaxMax
domain3_worker40_r,16,bestfit,MaxMax
domain3_worker41_r,16,bestfit,MaxMax
domain3_worker42_r,16,bestfit,MaxMax
domain3_worker43_r,16,bestfit,MaxMax
domain3_worker44_r,16,bestfit,MaxMax
domain3_worker45_r,16,bestfit,MaxMax
domain3_worker46_r,16,bestfit,MaxMax
domain3_worker47_r,16,bestfit,MaxMax
domain3_worker48_r,16,bestfit,MaxMax
domain3_worker49_r,16,bestfit,MaxMax
domain3_worker50_r,16,bestfit,MaxMax
