NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain5_worker0_r,8,bestfit,MaxMax
domain5_worker1_r,8,bestfit,MaxMax
domain5_worker2_r,8,bestfit,MaxMax
domain5_worker3_r,8,bestfit,MaxMax
domain5_worker4_r,8,bestfit,MaxMax
domain5_worker5_r,8,bestfit,MaxMax
domain5_worker6_r,8,bestfit,MaxMax
domain5_worker7_r,8,bestfit,MaxMax
domain5_worker8_r,8,bestfit,MaxMax
domain5_worker9_r,8,bestfit,MaxMax
domain5_worker10_r,8,bestfit,MaxMax
domain5_worker11_r,8,bestfit,MaxMax
domain5_worker12_r,8,bestfit,MaxMax
domain5_worker13_r,8,bestfit,MaxMax
domain5_worker14_r,8,bestfit,MaxMax
domain5_worker15_r,8,bestfit,MaxMax
domain5_worker16_r,8,bestfit,MaxMax
domain5_worker17_r,8,bestfit,MaxMax
domain5_worker18_r,8,bestfit,MaxMax
domain5_worker19_r,8,bestfit,MaxMax
domain5_worker20_r,8,bestfit,MaxMax
domain5_worker21_r,8,bestfit,MaxMax
domain5_worker22_r,8,bestfit,MaxMax
domain5_worker23_r,8,bestfit,MaxMax
domain5_worker24_r,8,bestfit,MaxMax
domain5_worker25_r,8,bestfit,MaxMax
domain5_worker26_r,8,bestfit,MaxMax
domain5_worker27_r,8,bestfit,MaxMax
domain5_worker28_r,8,bestfit,MaxMax
domain5_worker29_r,8,bestfit,MaxMax
domain5_worker30_r,8,bestfit,MaxMax
domain5_worker31_r,8,bestfit,MaxMax
domain5_worker32_r,8,bestfit,MaxMax
domain5_worker33_r,8,bestfit,MaxMax
domain5_worker34_r,8,bestfit,MaxMax
domain5_worker35_r,8,bestfit,MaxMax
domain5_worker36_r,8,bestfit,MaxMax
domain5_worker37_r,8,bestfit,MaxMax
domain5_worker38_r,8,bestfit,MaxMax
domain5_worker39_r,8,bestfit,MaxMax
domain5_worker40_r,8,bestfit,MaxMax
domain5_worker41_r,8,bestfit,MaxMax
domain5_worker42_r,8,bestfit,MaxMax
domain5_worker43_r,8,bestfit,MaxMax
domain5_worker44_r,8,bestfit,MaxMax
domain5_worker45_r,8,bestfit,MaxMax
domain5_worker46_r,8,bestfit,MaxMax
domain5_worker47_r,8,bestfit,MaxMax
domain5_worker48_r,8,bestfit,MaxMax
domain5_worker49_r,8,bestfit,MaxMax
domain5_worker50_r,8,bestfit,MaxMax
domain5_worker51_r,8,bestfit,MaxMax
domain5_worker52_r,8,bestfit,MaxMax
domain5_worker53_r,8,bestfit,MaxMax
domain5_worker54_r,8,bestfit,MaxMax
domain5_worker55_r,8,bestfit,MaxMax
domain5_worker56_r,8,bestfit,MaxMax
domain5_worker57_r,8,bestfit,MaxMax
domain5_worker58_r,8,bestfit,MaxMax
domain5_worker59_r,8,bestfit,MaxMax
domain5_worker60_r,8,bestfit,MaxMax
domain5_worker61_r,8,bestfit,MaxMax
domain5_worker62_r,8,bestfit,MaxMax
domain5_worker63_r,8,bestfit,MaxMax
domain5_worker64_r,8,bestfit,MaxMax
domain5_worker65_r,8,bestfit,MaxMax
domain5_worker66_r,8,bestfit,MaxMax
domain5_worker67_r,8,bestfit,MaxMax
domain5_worker68_r,8,bestfit,MaxMax
domain5_worker69_r,8,bestfit,MaxMax
domain5_worker70_r,8,bestfit,MaxMax
domain5_worker71_r,8,bestfit,MaxMax
domain5_worker72_r,8,bestfit,MaxMax
domain5_worker73_r,8,bestfit,MaxMax
domain5_worker74_r,8,bestfit,MaxMax
domain5_worker75_r,8,bestfit,MaxMax
domain5_worker76_r,8,bestfit,MaxMax
domain5_worker77_r,8,bestfit,MaxMax
domain5_worker78_r,8,bestfit,MaxMax
domain5_worker79_r,8,bestfit,MaxMax
domain5_worker80_r,8,bestfit,MaxMax
domain5_worker81_r,8,bestfit,MaxMax
domain5_worker82_r,8,bestfit,MaxMax
domain5_worker83_r,8,bestfit,MaxMax
domain5_worker84_r,8,bestfit,MaxMax
domain5_worker85_r,8,bestfit,MaxMax
domain5_worker86_r,8,bestfit,MaxMax
domain5_worker87_r,8,bestfit,MaxMax
domain5_worker88_r,8,bestfit,MaxMax
domain5_worker89_r,8,bestfit,MaxMax
domain5_worker90_r,8,bestfit,MaxMax
domain5_worker91_r,8,bestfit,MaxMax
domain5_worker92_r,8,bestfit,MaxMax
domain5_worker93_r,8,bestfit,MaxMax
domain5_worker94_r,8,bestfit,MaxMax
