EventTime,EventType,ServiceID,DomainID,EventID,TotalUtil,UpTime
9.9,allocate,62,7,457,46,5.714285714285714
9.9,allocate,41,7,460,230,5.714285714285714
9.9,allocate,29,7,459,330,5.714285714285714
9.9,allocate,57,7,458,245,5.714285714285714
9.9,allocate,24,7,456,108,5.714285714285714
9.9,allocate,11,7,455,42,5.714285714285714
9.9,allocate,5,7,454,96,5.714285714285714
9.9,allocate,81,7,461,360,5.714285714285714
10.1,allocate,50,1,926,30,26.666666666666668
10.1,allocate,76,1,925,380,26.666666666666668
10.1,allocate,45,1,924,123,26.666666666666668
10.1,allocate,68,1,923,360,26.666666666666668
10.1,allocate,34,1,927,240,26.666666666666668
15.6,deallocate,5,7,454,96,0.0
15.6,deallocate,81,7,461,360,0.0
15.6,deallocate,24,7,456,108,0.0
15.6,deallocate,11,7,455,42,0.0
15.6,deallocate,41,7,460,230,0.0
15.6,deallocate,29,7,459,330,0.0
15.6,deallocate,57,7,458,245,0.0
15.6,deallocate,62,7,457,46,0.0
15.7,allocate,5,0,462,96,5.714285714285714
15.7,allocate,81,0,469,360,5.714285714285714
15.7,allocate,24,0,464,108,5.714285714285714
15.7,allocate,11,0,463,42,5.714285714285714
15.7,allocate,29,0,467,330,5.714285714285714
15.7,allocate,57,0,466,245,5.714285714285714
15.7,allocate,62,0,465,46,5.714285714285714
15.7,allocate,41,0,468,230,5.714285714285714
21.4,deallocate,81,0,469,360,0.0
21.4,deallocate,41,0,468,230,0.0
21.4,deallocate,57,0,466,245,0.0
21.4,deallocate,62,0,465,46,0.0
21.4,deallocate,24,0,464,108,0.0
21.4,deallocate,29,0,467,330,0.0
21.4,deallocate,5,0,462,96,0.0
21.4,deallocate,11,0,463,42,0.0
21.5,allocate,57,8,474,245,5.714285714285714
21.5,allocate,41,8,476,230,5.714285714285714
21.5,allocate,29,8,475,330,5.714285714285714
21.5,allocate,62,8,473,46,5.714285714285714
21.5,allocate,11,8,471,42,5.714285714285714
21.5,allocate,5,8,470,96,5.714285714285714
21.5,allocate,81,8,477,360,5.714285714285714
21.5,allocate,24,8,472,108,5.714285714285714
27.2,deallocate,62,8,473,46,0.0
27.2,deallocate,81,8,477,360,0.0
27.2,deallocate,29,8,475,330,0.0
27.2,deallocate,57,8,474,245,0.0
27.2,deallocate,24,8,472,108,0.0
27.2,deallocate,41,8,476,230,0.0
27.2,deallocate,5,8,470,96,0.0
27.2,deallocate,11,8,471,42,0.0
27.3,allocate,41,2,484,230,5.714285714285714
27.3,allocate,57,2,482,245,5.714285714285714
27.3,allocate,62,2,481,46,5.714285714285714
27.3,allocate,29,2,483,330,5.714285714285714
27.3,allocate,11,2,479,42,5.714285714285714
27.3,allocate,5,2,478,96,5.714285714285714
27.3,allocate,81,2,485,360,5.714285714285714
27.3,allocate,24,2,480,108,5.714285714285714
33.1,deallocate,11,2,479,42,0.0
33.1,deallocate,5,2,478,96,0.0
33.1,deallocate,24,2,480,108,0.0
33.1,deallocate,81,2,485,360,0.0
33.1,deallocate,62,2,481,46,0.0
33.1,deallocate,29,2,483,330,0.0
33.1,deallocate,57,2,482,245,0.0
33.1,deallocate,41,2,484,230,0.0
33.2,allocate,5,6,486,96,5.714285714285714
33.2,allocate,81,6,493,360,5.714285714285714
33.2,allocate,41,6,492,230,5.714285714285714
33.2,allocate,29,6,491,330,5.714285714285714
33.2,allocate,62,6,489,46,5.714285714285714
33.2,allocate,24,6,488,108,5.714285714285714
33.2,allocate,57,6,490,245,5.714285714285714
33.2,allocate,11,6,487,42,5.714285714285714
36.8,deallocate,68,1,923,360,0.0
36.8,deallocate,45,1,924,123,0.0
36.8,deallocate,34,1,927,240,0.0
36.8,deallocate,50,1,926,30,0.0
