EventTime,EventType,ServiceID,DomainID,EventID,TotalUtil,UpTime
0.0,allocate,73,9,585,51,2.0
0.0,allocate,11,9,587,234,2.0
0.0,allocate,67,9,586,217,2.0
0.0,allocate,36,9,584,18,2.0
0.7,allocate,34,6,0,385,10.0
0.7,allocate,9,6,1,378,10.0
1.2,allocate,47,4,364,117,3.333333333333333
1.2,allocate,46,4,362,81,3.333333333333333
1.2,allocate,13,4,361,210,3.333333333333333
1.2,allocate,37,4,360,96,3.333333333333333
1.2,allocate,39,4,363,511,3.333333333333333
1.2,allocate,48,4,358,186,3.333333333333333
1.2,allocate,5,4,357,7,3.333333333333333
1.2,allocate,82,4,356,112,3.333333333333333
1.2,allocate,6,4,359,9,3.333333333333333
2.0,deallocate,36,9,584,18,0.0
2.0,allocate,11,3,591,234,2.0
2.0,allocate,67,3,590,217,2.0
2.0,allocate,73,3,589,51,2.0
2.0,allocate,36,3,588,18,2.0
2.0,deallocate,73,9,585,51,0.0
2.0,deallocate,67,9,586,217,0.0
2.0,deallocate,11,9,587,234,0.0
4.0,allocate,36,4,592,18,2.0
4.0,allocate,11,4,595,234,2.0
4.0,allocate,73,4,593,51,2.0
4.0,deallocate,11,3,591,234,0.0
4.0,deallocate,67,3,590,217,0.0
4.0,deallocate,73,3,589,51,0.0
4.0,deallocate,36,3,588,18,0.0
4.0,allocate,67,4,594,217,2.0
4.4,allocate,54,2,101,78,10.0
4.4,allocate,57,2,102,216,10.0
4.4,allocate,26,2,100,190,10.0
4.5,allocate,47,6,373,117,3.333333333333333
4.5,allocate,39,6,372,511,3.333333333333333
4.5,allocate,46,6,371,81,3.333333333333333
4.5,allocate,13,6,370,210,3.333333333333333
4.5,allocate,37,6,369,96,3.333333333333333
4.5,deallocate,82,4,356,112,0.0
4.5,deallocate,5,4,357,7,0.0
4.5,deallocate,6,4,359,9,0.0
4.5,deallocate,13,4,361,210,0.0
4.5,deallocate,37,4,360,96,0.0
4.5,deallocate,48,4,358,186,0.0
4.5,deallocate,46,4,362,81,0.0
4.5,deallocate,39,4,363,511,0.0
4.5,deallocate,47,4,364,117,0.0
4.5,allocate,82,6,365,112,3.333333333333333
4.5,allocate,5,6,366,7,3.333333333333333
4.5,allocate,48,6,367,186,3.333333333333333
4.5,allocate,6,6,368,9,3.333333333333333
5.9,allocate,40,0,524,184,10.0
5.9,allocate,37,0,525,96,10.0
5.9,allocate,88,0,523,112,10.0
6.0,deallocate,36,4,592,18,0.0
6.0,allocate,11,2,599,234,2.0
6.0,allocate,67,2,598,217,2.0
6.0,allocate,73,2,597,51,2.0
6.0,allocate,36,2,596,18,2.0
6.0,deallocate,11,4,595,234,0.0
6.0,deallocate,67,4,594,217,0.0
6.0,deallocate,73,4,593,51,0.0
6.9,allocate,26,9,42,190,10.0
6.9,allocate,6,9,41,9,10.0
6.9,allocate,90,9,40,56,10.0
7.9,allocate,37,0,378,96,3.333333333333333
7.9,allocate,47,0,382,117,3.333333333333333
7.9,allocate,5,0,375,7,3.333333333333333
7.9,allocate,82,0,374,112,3.333333333333333
7.9,deallocate,39,6,372,511,0.0
7.9,allocate,13,0,379,210,3.333333333333333
7.9,allocate,6,0,377,9,3.333333333333333
7.9,allocate,46,0,380,81,3.333333333333333
7.9,allocate,48,0,376,186,3.333333333333333
7.9,deallocate,47,6,373,117,0.0
7.9,deallocate,46,6,371,81,0.0
7.9,deallocate,13,6,370,210,0.0
7.9,deallocate,37,6,369,96,0.0
7.9,deallocate,6,6,368,9,0.0
7.9,deallocate,48,6,367,186,0.0
7.9,deallocate,5,6,366,7,0.0
7.9,deallocate,82,6,365,112,0.0
7.9,allocate,39,0,381,511,3.333333333333333
8.0,allocate,67,6,602,217,2.0
8.0,allocate,36,6,600,18,2.0
8.0,deallocate,11,2,599,234,0.0
8.0,allocate,73,6,601,51,2.0
8.0,deallocate,73,2,597,51,0.0
8.0,deallocate,36,2,596,18,0.0
8.0,allocate,11,6,603,234,2.0
8.0,deallocate,67,2,598,217,0.0
8.5,allocate,88,8,499,112,10.0
8.5,allocate,47,8,500,117,10.0
8.5,allocate,11,8,498,234,10.0
8.5,allocate,59,8,501,114,10.0
8.5,allocate,7,8,502,160,10.0
8.6,allocate,79,8,1089,52,3.333333333333333
8.6,allocate,5,8,1088,7,3.333333333333333
8.6,allocate,6,8,1087,9,3.333333333333333
8.9,allocate,13,0,743,210,5.0
8.9,allocate,15,0,741,23,5.0
8.9,allocate,4,0,746,91,5.0
8.9,allocate,62,0,745,94,5.0
8.9,allocate,59,0,742,114,5.0
8.9,allocate,90,0,744,56,5.0
9,allocate,10,3,2893,7290.0,45.0
9,allocate,3,3,2891,10530.0,45.0
9,allocate,74,3,2892,1395.0,45.0
9,allocate,41,3,2890,5940.0,45.0
10.0,deallocate,36,6,600,18,0.0
10,allocate,36,5,3889,202.5,11.25
10.0,deallocate,67,6,602,217,0.0
10,allocate,75,5,3888,1350.0,11.25
10,allocate,23,5,3887,1080.0,11.25
10,allocate,48,5,3886,2092.5,11.25
10,allocate,61,5,3885,720.0,11.25
10,allocate,37,5,3884,1080.0,11.25
10,allocate,76,5,3883,3543.75,11.25
10.0,deallocate,11,6,603,234,0.0
10.0,deallocate,73,6,601,51,0.0
10.7,deallocate,9,6,1,378,0.0
10.7,allocate,9,0,3,378,10.0
10.7,allocate,34,0,2,385,10.0
10.7,deallocate,34,6,0,385,0.0
11,allocate,71,2,2881,18480.0,60.0
11,allocate,54,2,2883,4680.0,60.0
11,allocate,28,2,2882,660.0,60.0
11.2,deallocate,47,0,382,117,0.0
11.2,deallocate,5,0,375,7,0.0
11.2,deallocate,39,0,381,511,0.0
11.2,deallocate,37,0,378,96,0.0
11.2,deallocate,6,0,377,9,0.0
11.2,deallocate,48,0,376,186,0.0
11.2,deallocate,13,0,379,210,0.0
11.2,deallocate,82,0,374,112,0.0
11.2,deallocate,46,0,380,81,0.0
11.9,allocate,6,0,1090,9,3.333333333333333
11.9,allocate,5,0,1091,7,3.333333333333333
11.9,allocate,79,0,1092,52,3.333333333333333
11.9,deallocate,79,8,1089,52,0.0
11.9,deallocate,6,8,1087,9,0.0
11.9,deallocate,5,8,1088,7,0.0
12.8,allocate,29,7,777,66,2.5
12.8,allocate,84,7,779,217,2.5
