EventTime,EventType,ServiceID,DomainID,EventID,TotalUtil,UpTime
0.0,allocate,73,9,585,51,2.0
0.0,allocate,11,9,587,234,2.0
0.0,allocate,67,9,586,217,2.0
0.0,allocate,36,9,584,18,2.0
0.7,allocate,34,6,0,385,10.0
0.7,allocate,9,6,1,378,10.0
1,allocate,11,7,2562,390.0,1.6666666666666667
1,allocate,84,7,2563,361.6666666666667,1.6666666666666667
1,allocate,5,7,2564,11.666666666666668,1.6666666666666667
1,allocate,98,7,2566,30.0,1.6666666666666667
1,allocate,81,7,2567,410.0,1.6666666666666667
1,allocate,63,7,2568,133.33333333333334,1.6666666666666667
1,allocate,18,7,2561,105.0,1.6666666666666667
1,allocate,40,7,2565,306.6666666666667,1.6666666666666667
1.2,allocate,47,4,364,117,3.333333333333333
1.2,allocate,48,4,358,186,3.333333333333333
1.2,allocate,6,4,359,9,3.333333333333333
1.2,allocate,37,4,360,96,3.333333333333333
1.2,allocate,13,4,361,210,3.333333333333333
1.2,allocate,5,4,357,7,3.333333333333333
1.2,allocate,39,4,363,511,3.333333333333333
1.2,allocate,46,4,362,81,3.333333333333333
1.2,allocate,82,4,356,112,3.333333333333333
2.0,deallocate,36,9,584,18,0.0
2.0,allocate,11,3,591,234,2.0
2.0,allocate,67,3,590,217,2.0
2.0,allocate,73,3,589,51,2.0
2.0,deallocate,67,9,586,217,0.0
2.0,allocate,36,3,588,18,2.0
2.0,deallocate,73,9,585,51,0.0
2.0,deallocate,11,9,587,234,0.0
2.7,deallocate,81,7,2567,0,0
2.7,deallocate,40,7,2565,0,0
2.7,allocate,18,4,2569,105.0,1.6666666666666667
2.7,allocate,11,4,2570,390.0,1.6666666666666667
2.7,allocate,84,4,2571,361.6666666666667,1.6666666666666667
2.7,allocate,98,4,2574,30.0,1.6666666666666667
2.7,allocate,40,4,2573,306.6666666666667,1.6666666666666667
2.7,allocate,81,4,2575,410.0,1.6666666666666667
2.7,allocate,5,4,2572,11.666666666666668,1.6666666666666667
2.7,deallocate,63,7,2568,0,0
2.7,deallocate,98,7,2566,0,0
2.7,deallocate,18,7,2561,0,0
2.7,deallocate,11,7,2562,0,0
2.7,deallocate,84,7,2563,0,0
2.7,deallocate,5,7,2564,0,0
2.7,allocate,63,4,2576,133.33333333333334,1.6666666666666667
4.0,allocate,36,4,592,18,2.0
4.0,allocate,11,4,595,234,2.0
4.0,deallocate,67,3,590,217,0.0
4.0,deallocate,11,3,591,234,0.0
4.0,deallocate,73,3,589,51,0.0
4.0,deallocate,36,3,588,18,0.0
4.0,allocate,73,4,593,51,2.0
4.0,allocate,67,4,594,217,2.0
4.3,deallocate,5,4,2572,0,0
4.3,deallocate,98,4,2574,0,0
4.3,deallocate,18,4,2569,0,0
4.3,deallocate,11,4,2570,0,0
4.3,deallocate,84,4,2571,0,0
4.3,deallocate,40,4,2573,0,0
4.3,deallocate,63,4,2576,0,0
4.3,allocate,98,0,2582,30.0,1.6666666666666667
4.3,allocate,5,0,2580,11.666666666666668,1.6666666666666667
4.3,allocate,81,0,2583,410.0,1.6666666666666667
4.3,allocate,63,0,2584,133.33333333333334,1.6666666666666667
4.3,allocate,84,0,2579,361.6666666666667,1.6666666666666667
4.3,allocate,11,0,2578,390.0,1.6666666666666667
4.3,allocate,18,0,2577,105.0,1.6666666666666667
4.3,deallocate,81,4,2575,0,0
4.3,allocate,40,0,2581,306.6666666666667,1.6666666666666667
4.4,allocate,54,2,101,78,10.0
4.4,allocate,26,2,100,190,10.0
4.4,allocate,57,2,102,216,10.0
4.5,allocate,47,6,373,117,3.333333333333333
4.5,allocate,39,6,372,511,3.333333333333333
4.5,allocate,46,6,371,81,3.333333333333333
4.5,allocate,13,6,370,210,3.333333333333333
4.5,allocate,37,6,369,96,3.333333333333333
4.5,deallocate,82,4,356,112,0.0
4.5,deallocate,5,4,357,7,0.0
4.5,deallocate,6,4,359,9,0.0
4.5,allocate,6,6,368,9,3.333333333333333
4.5,deallocate,37,4,360,96,0.0
4.5,deallocate,13,4,361,210,0.0
4.5,deallocate,39,4,363,511,0.0
4.5,deallocate,47,4,364,117,0.0
4.5,allocate,48,6,367,186,3.333333333333333
4.5,allocate,5,6,366,7,3.333333333333333
4.5,allocate,82,6,365,112,3.333333333333333
4.5,deallocate,48,4,358,186,0.0
4.5,deallocate,46,4,362,81,0.0
5,allocate,26,9,2997,1900.0,10.0
5,allocate,90,9,2995,560.0,10.0
5,allocate,6,9,2996,90.0,10.0
5.9,allocate,88,0,523,112,10.0
5.9,allocate,40,0,524,184,10.0
5.9,allocate,37,0,525,96,10.0
6.0,deallocate,18,0,2577,0,0
6.0,deallocate,40,0,2581,0,0
6.0,deallocate,98,0,2582,0,0
6.0,deallocate,81,0,2583,0,0
6.0,deallocate,11,0,2578,0,0
6.0,deallocate,63,0,2584,0,0
6.0,allocate,84,1,2587,361.6666666666667,1.6666666666666667
6.0,allocate,5,1,2588,11.666666666666668,1.6666666666666667
6.0,allocate,40,1,2589,306.6666666666667,1.6666666666666667
6.0,allocate,98,1,2590,30.0,1.6666666666666667
6.0,allocate,81,1,2591,410.0,1.6666666666666667
6.0,allocate,11,1,2586,390.0,1.6666666666666667
6.0,allocate,63,1,2592,133.33333333333334,1.6666666666666667
6.0,deallocate,84,0,2579,0,0
6.0,allocate,18,1,2585,105.0,1.6666666666666667
6.0,deallocate,36,4,592,18,0.0
6.0,deallocate,5,0,2580,0,0
6.0,allocate,11,2,599,234,2.0
6.0,allocate,67,2,598,217,2.0
6.0,allocate,73,2,597,51,2.0
6.0,allocate,36,2,596,18,2.0
6.0,deallocate,11,4,595,234,0.0
6.0,deallocate,67,4,594,217,0.0
6.0,deallocate,73,4,593,51,0.0
6.9,allocate,26,9,42,190,10.0
6.9,allocate,6,9,41,9,10.0
6.9,allocate,90,9,40,56,10.0
7.7,deallocate,81,1,2591,0,0
7.7,deallocate,98,1,2590,0,0
7.7,deallocate,40,1,2589,0,0
7.7,deallocate,5,1,2588,0,0
7.7,deallocate,84,1,2587,0,0
7.7,deallocate,11,1,2586,0,0
7.7,deallocate,18,1,2585,0,0
7.7,deallocate,63,1,2592,0,0
7.7,allocate,11,2,2594,390.0,1.6666666666666667
7.7,allocate,84,2,2595,361.6666666666667,1.6666666666666667
