ServiceID,Importance,sBandwidth,sCores,rEBandwidth,rECores,rCBandwidth,rCCores,sTotalUtil
0,89,9,7,4.5,1,4.5,6,63
1,39,10,7,5.0,1,5.0,6,70
2,68,38,4,19.0,1,19.0,3,152
3,96,9,4,4.5,1,4.5,3,36
4,22,23,3,11.5,1,11.5,2,69
5,62,22,6,11.0,1,11.0,5,132
6,27,20,5,10.0,1,10.0,4,100
7,25,34,3,17.0,1,17.0,2,102
8,10,17,3,8.5,1,8.5,2,51
9,61,70,1,35.0,1,35.0,1,70
10,77,13,5,6.5,1,6.5,4,65
11,48,28,5,14.0,1,14.0,4,140
12,15,14,4,7.0,1,7.0,3,56
13,56,31,6,15.5,1,15.5,5,186
14,99,26,2,13.0,1,13.0,1,52
15,100,10,4,5.0,1,5.0,3,40
16,80,6,6,3.0,1,3.0,5,36
17,43,6,5,3.0,1,3.0,4,30
18,63,39,1,19.5,1,19.5,1,39
19,65,27,1,13.5,1,13.5,1,27
20,79,16,3,8.0,1,8.0,2,48
21,36,22,4,11.0,1,11.0,3,88
22,38,14,6,7.0,1,7.0,5,84
23,11,57,3,28.5,1,28.5,2,171
24,98,21,2,10.5,1,10.5,1,42
25,37,27,6,13.5,1,13.5,5,162
26,6,34,6,17.0,1,17.0,5,204
27,51,18,1,9.0,1,9.0,1,18
28,50,29,3,14.5,1,14.5,2,87
29,14,13,7,6.5,1,6.5,6,91
30,4,34,6,17.0,1,17.0,5,204
31,44,10,5,5.0,1,5.0,4,50
32,3,19,7,9.5,1,9.5,6,133
33,88,11,4,5.5,1,5.5,3,44
34,34,32,7,16.0,1,16.0,6,224
35,33,37,2,18.5,1,18.5,1,74
36,17,38,3,19.0,1,19.0,2,114
37,82,63,2,31.5,1,31.5,1,126
38,49,24,5,12.0,1,12.0,4,120
39,9,20,2,10.0,1,10.0,1,40
40,70,55,5,27.5,1,27.5,4,275
41,95,38,3,19.0,1,19.0,2,114
42,18,19,6,9.5,1,9.5,5,114
43,24,28,6,14.0,1,14.0,5,168
44,71,7,1,3.5,1,3.5,1,7
45,92,57,4,28.5,1,28.5,3,228
46,85,10,6,5.0,1,5.0,5,60
47,28,27,6,13.5,1,13.5,5,162
48,81,46,4,23.0,1,23.0,3,184
49,47,26,3,13.0,1,13.0,2,78
50,72,16,3,8.0,1,8.0,2,48
51,1,30,3,15.0,1,15.0,2,90
52,75,60,2,30.0,1,30.0,1,120
53,78,35,6,17.5,1,17.5,5,210
54,54,23,5,11.5,1,11.5,4,115
55,8,63,2,31.5,1,31.5,1,126
56,31,11,7,5.5,1,5.5,6,77
57,20,16,7,8.0,1,8.0,6,112
58,2,32,7,16.0,1,16.0,6,224
59,58,63,2,31.5,1,31.5,1,126
60,40,38,3,19.0,1,19.0,2,114
61,46,8,7,4.0,1,4.0,6,56
62,19,38,6,19.0,1,19.0,5,228
63,60,33,6,16.5,1,16.5,5,198
64,59,34,7,17.0,1,17.0,6,238
65,42,7,3,3.5,1,3.5,2,21
66,97,34,6,17.0,1,17.0,5,204
67,67,12,2,6.0,1,6.0,1,24
68,13,11,3,5.5,1,5.5,2,33
69,32,26,5,13.0,1,13.0,4,130
70,90,36,3,18.0,1,18.0,2,108
71,91,31,7,15.5,1,15.5,6,217
72,52,7,7,3.5,1,3.5,6,49
73,21,11,1,5.5,1,5.5,1,11
74,12,5,2,2.5,1,2.5,1,10
75,87,23,7,11.5,1,11.5,6,161
76,45,30,1,15.0,1,15.0,1,30
77,94,52,7,26.0,1,26.0,6,364
78,26,8,3,4.0,1,4.0,2,24
79,23,70,5,35.0,1,35.0,4,350
80,64,11,6,5.5,1,5.5,5,66
81,76,38,5,19.0,1,19.0,4,190
82,93,30,7,15.0,1,15.0,6,210
83,69,9,1,4.5,1,4.5,1,9
84,74,15,1,7.5,1,7.5,1,15
85,84,9,1,4.5,1,4.5,1,9
86,86,52,3,26.0,1,26.0,2,156
87,53,9,5,4.5,1,4.5,4,45
88,55,14,2,7.0,1,7.0,1,28
89,7,26,5,13.0,1,13.0,4,130
90,83,28,3,14.0,1,14.0,2,84
91,66,48,6,24.0,1,24.0,5,288
92,5,22,4,11.0,1,11.0,3,88
93,73,11,4,5.5,1,5.5,3,44
94,16,57,2,28.5,1,28.5,1,114
95,29,8,7,4.0,1,4.0,6,56
96,35,24,1,12.0,1,12.0,1,24
97,41,13,1,6.5,1,6.5,1,13
98,57,8,1,4.0,1,4.0,1,8
99,30,6,7,3.0,1,3.0,6,42
