NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain8_worker0_r,8,bestfit,MaxMax
domain8_worker1_r,8,bestfit,MaxMax
domain8_worker2_r,8,bestfit,MaxMax
domain8_worker3_r,8,bestfit,MaxMax
domain8_worker4_r,8,bestfit,MaxMax
domain8_worker5_r,8,bestfit,MaxMax
domain8_worker6_r,8,bestfit,MaxMax
domain8_worker7_r,8,bestfit,MaxMax
domain8_worker8_r,8,bestfit,MaxMax
domain8_worker9_r,8,bestfit,MaxMax
domain8_worker10_r,8,bestfit,MaxMax
domain8_worker11_r,8,bestfit,MaxMax
domain8_worker12_r,8,bestfit,MaxMax
domain8_worker13_r,8,bestfit,MaxMax
domain8_worker14_r,8,bestfit,MaxMax
domain8_worker15_r,8,bestfit,MaxMax
domain8_worker16_r,8,bestfit,MaxMax
