NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain2_worker0_r,8,worstfit,MaxMax
domain2_worker1_r,8,worstfit,MaxMax
domain2_worker2_r,8,worstfit,MaxMax
domain2_worker3_r,8,worstfit,MaxMax
domain2_worker4_r,8,worstfit,MaxMax
domain2_worker5_r,8,worstfit,MaxMax
domain2_worker6_r,8,worstfit,MaxMax
domain2_worker7_r,8,worstfit,MaxMax
domain2_worker8_r,8,worstfit,MaxMax
domain2_worker9_r,8,worstfit,MaxMax
domain2_worker10_r,8,worstfit,MaxMax
domain2_worker11_r,8,worstfit,MaxMax
domain2_worker12_r,8,worstfit,MaxMax
domain2_worker13_r,8,worstfit,MaxMax
domain2_worker14_r,8,worstfit,MaxMax
domain2_worker15_r,8,worstfit,MaxMax
domain2_worker16_r,8,worstfit,MaxMax
domain2_worker17_r,8,worstfit,MaxMax
domain2_worker18_r,8,worstfit,MaxMax
domain2_worker19_r,8,worstfit,MaxMax
