EventTime,EventType,ServiceID,DomainID,EventID,TotalUtil,UpTime
219.8,allocate,35,4,570,195,1770.0
219.8,allocate,90,4,569,268,1770.0
219.8,allocate,22,4,568,168,1770.0
219.8,allocate,23,4,567,186,1770.0
219.8,allocate,86,4,566,60,1770.0
224.1,allocate,70,4,4526,156,16830.0
224.1,allocate,14,4,4524,45,16830.0
224.1,allocate,50,4,4523,20,16830.0
224.1,allocate,63,4,4522,78,16830.0
224.1,allocate,5,4,4525,135,16830.0
224.1,allocate,91,4,4521,56,16830.0
224.1,allocate,30,4,4519,300,16830.0
224.1,allocate,61,4,4520,476,16830.0
373.8,allocate,47,8,421,72,5000.0
373.8,allocate,19,8,420,95,5000.0
373.8,allocate,77,8,425,60,5000.0
373.8,allocate,75,8,423,160,5000.0
373.8,allocate,37,8,422,21,5000.0
373.8,allocate,44,8,424,34,5000.0
568.3,allocate,0,0,0,9,5000.0
568.3,allocate,80,0,1,318,5000.0
568.3,allocate,93,0,2,111,5000.0
568.3,allocate,79,0,5,266,5000.0
568.3,allocate,63,0,3,78,5000.0
568.3,allocate,5,0,6,135,5000.0
568.3,allocate,77,0,4,60,5000.0
1770.5,allocate,25,3,2491,129,1776.0
1809.8,allocate,80,5,705,318,715.0
1809.8,allocate,2,5,702,182,715.0
1809.8,allocate,82,5,703,204,715.0
1809.8,allocate,91,5,704,56,715.0
1841.9,allocate,3,9,647,161,1330.0
1841.9,allocate,5,9,648,135,1330.0
1841.9,allocate,88,9,649,10,1330.0
1841.9,allocate,47,9,646,72,1330.0
1989.8,deallocate,86,4,566,60,0.0
1989.8,allocate,90,6,574,268,1770.0
1989.8,allocate,86,6,571,60,1770.0
1989.8,deallocate,23,4,567,186,0.0
1989.8,deallocate,90,4,569,268,0.0
1989.8,deallocate,22,4,568,168,0.0
1989.8,allocate,22,6,573,168,1770.0
1989.8,allocate,35,6,575,195,1770.0
1989.8,deallocate,35,4,570,195,0.0
1989.8,allocate,23,6,572,186,1770.0
2304.6,allocate,50,8,2784,20,1507.5
2304.6,allocate,14,8,2783,45,1507.5
2304.6,allocate,74,8,2782,16,1507.5
2304.6,allocate,24,8,2781,70,1507.5
2517.1,allocate,70,2,1763,156,3554.0
2517.1,allocate,28,2,1764,154,3554.0
2524.8,allocate,82,6,707,204,715.0
2524.8,allocate,2,6,706,182,715.0
2524.8,deallocate,80,5,705,318,0.0
2524.8,deallocate,91,5,704,56,0.0
2524.8,deallocate,82,5,703,204,0.0
2524.8,deallocate,2,5,702,182,0.0
2524.8,allocate,80,6,709,318,715.0
2524.8,allocate,91,6,708,56,715.0
2611.6,allocate,7,1,2849,152,5526.666666666667
2611.6,allocate,82,1,2850,204,5526.666666666667
2611.6,allocate,95,1,2848,155,5526.666666666667
2611.6,allocate,68,1,2847,136,5526.666666666667
2611.6,allocate,26,1,2846,273,5526.666666666667
2611.6,allocate,75,1,2845,160,5526.666666666667
2968.1,allocate,3,1,3877,161,5970.0
2968.1,allocate,54,1,3873,280,5970.0
2968.1,allocate,41,1,3871,44,5970.0
2968.1,allocate,21,1,3874,87,5970.0
2968.1,allocate,27,1,3875,54,5970.0
2968.1,allocate,70,1,3872,156,5970.0
2968.1,allocate,49,1,3879,175,5970.0
2968.1,allocate,12,1,3876,225,5970.0
2968.1,allocate,91,1,3878,56,5970.0
3171.9,allocate,88,4,653,10,1330.0
3171.9,deallocate,3,9,647,161,0.0
3171.9,deallocate,5,9,648,135,0.0
3171.9,allocate,3,4,651,161,1330.0
3171.9,allocate,47,4,650,72,1330.0
