UserID,UpTime,Services,Domains,UpTimePerDomain,Mobility,MinArrivalTime,MaxArrivalTime,TotalUtil
0,0,"[11, 93, 0, 23, 83, 35, 45, 20, 36]","[6, 4, 8, 5, 1]",5000,50.0,25000,25000,1235
1,15040,"[17, 38, 91, 86, 56, 82, 89, 49]","[4, 8, 0, 6]",3760.0,40.0,51377.7,144476.2,1037
2,16500,"[55, 70, 82]","[5, 9]",8250.0,20.0,61487.7,166014.9,359
3,12210,"[94, 40, 64, 21]","[9, 2, 4]",4070.0,30.0,20633.8,44973.9,553
4,16490,"[53, 5, 38, 74, 59, 77]","[1, 3]",8245.0,20.0,46168.2,110670.9,626
5,13100,"[39, 6, 2, 36, 86, 94, 92]","[3, 2, 7]",4366.666666666667,30.0,58637.3,166241.4,1228
6,14920,"[32, 89, 48]","[0, 8, 5, 9, 1, 2, 6, 3, 4]",1657.7777777777778,90.0,41357.5,87102.2,558
7,16000,"[49, 81, 15, 17, 79, 34, 64, 26]","[4, 8, 1, 0, 3]",3200.0,50.0,43001.3,87896.1,965
8,5060,"[74, 13, 21, 95, 97, 42, 65]","[1, 3, 2]",1686.6666666666667,30.0,8464.7,21677.6,704
9,9970,"[2, 7, 46, 83, 13, 60, 73]","[6, 3, 7, 1, 9, 5]",1661.6666666666667,60.0,30148.3,71541.6,926
10,8560,"[45, 91, 41, 48, 77, 15, 70, 19]","[4, 3, 1, 7, 0]",1712.0,50.0,15623.4,36808.5,666
11,16620,"[27, 54, 42, 72, 45]","[8, 2]",8310.0,20.0,78863.9,207529.5,360
12,10940,"[2, 99]","[9, 6, 2, 8, 3, 7, 0, 4, 1, 5]",1094.0,100.0,16549.9,36120.8,330
13,19410,"[58, 33, 9, 65, 77, 91]","[3, 4, 9, 1, 6]",3882.0,50.0,34430.0,92250.5,464
14,18330,"[62, 61, 39, 45, 23, 74, 98, 12]","[5, 3]",9165.0,20.0,55330.6,154530.6,1056
15,12210,"[66, 76, 58, 32]","[7, 9, 4, 0, 3, 1, 2, 8, 6]",1356.6666666666667,90.0,51945.6,107601.1,411
16,8180,[97],"[1, 2]",4090.0,20.0,25527.8,73535.0,260
