NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain2_worker0_r,8,bestfit,MaxMax
domain2_worker1_r,8,bestfit,MaxMax
domain2_worker2_r,8,bestfit,MaxMax
domain2_worker3_r,8,bestfit,MaxMax
domain2_worker4_r,8,bestfit,MaxMax
domain2_worker5_r,8,bestfit,MaxMax
domain2_worker6_r,8,bestfit,MaxMax
domain2_worker7_r,8,bestfit,MaxMax
domain2_worker8_r,8,bestfit,MaxMax
domain2_worker9_r,8,bestfit,MaxMax
domain2_worker10_r,8,bestfit,MaxMax
domain2_worker11_r,8,bestfit,MaxMax
domain2_worker12_r,8,bestfit,MaxMax
domain2_worker13_r,8,bestfit,MaxMax
domain2_worker14_r,8,bestfit,MaxMax
domain2_worker15_r,8,bestfit,MaxMax
domain2_worker16_r,8,bestfit,MaxMax
domain2_worker17_r,8,bestfit,MaxMax
domain2_worker18_r,8,bestfit,MaxMax
domain2_worker19_r,8,bestfit,MaxMax
domain2_worker20_r,8,bestfit,MaxMax
domain2_worker21_r,8,bestfit,MaxMax
domain2_worker22_r,8,bestfit,MaxMax
domain2_worker23_r,8,bestfit,MaxMax
domain2_worker24_r,8,bestfit,MaxMax
domain2_worker25_r,8,bestfit,MaxMax
domain2_worker26_r,8,bestfit,MaxMax
domain2_worker27_r,8,bestfit,MaxMax
domain2_worker28_r,8,bestfit,MaxMax
domain2_worker29_r,8,bestfit,MaxMax
domain2_worker30_r,8,bestfit,MaxMax
domain2_worker31_r,8,bestfit,MaxMax
domain2_worker32_r,8,bestfit,MaxMax
domain2_worker33_r,8,bestfit,MaxMax
domain2_worker34_r,8,bestfit,MaxMax
domain2_worker35_r,8,bestfit,MaxMax
domain2_worker36_r,8,bestfit,MaxMax
domain2_worker37_r,8,bestfit,MaxMax
domain2_worker38_r,8,bestfit,MaxMax
domain2_worker39_r,8,bestfit,MaxMax
domain2_worker40_r,8,bestfit,MaxMax
domain2_worker41_r,8,bestfit,MaxMax
domain2_worker42_r,8,bestfit,MaxMax
domain2_worker43_r,8,bestfit,MaxMax
domain2_worker44_r,8,bestfit,MaxMax
domain2_worker45_r,8,bestfit,MaxMax
domain2_worker46_r,8,bestfit,MaxMax
domain2_worker47_r,8,bestfit,MaxMax
domain2_worker48_r,8,bestfit,MaxMax
domain2_worker49_r,8,bestfit,MaxMax
domain2_worker50_r,8,bestfit,MaxMax
domain2_worker51_r,8,bestfit,MaxMax
domain2_worker52_r,8,bestfit,MaxMax
domain2_worker53_r,8,bestfit,MaxMax
domain2_worker54_r,8,bestfit,MaxMax
domain2_worker55_r,8,bestfit,MaxMax
domain2_worker56_r,8,bestfit,MaxMax
domain2_worker57_r,8,bestfit,MaxMax
domain2_worker58_r,8,bestfit,MaxMax
domain2_worker59_r,8,bestfit,MaxMax
domain2_worker60_r,8,bestfit,MaxMax
domain2_worker61_r,8,bestfit,MaxMax
domain2_worker62_r,8,bestfit,MaxMax
domain2_worker63_r,8,bestfit,MaxMax
domain2_worker64_r,8,bestfit,MaxMax
domain2_worker65_r,8,bestfit,MaxMax
domain2_worker66_r,8,bestfit,MaxMax
domain2_worker67_r,8,bestfit,MaxMax
domain2_worker68_r,8,bestfit,MaxMax
domain2_worker69_r,8,bestfit,MaxMax
domain2_worker70_r,8,bestfit,MaxMax
domain2_worker71_r,8,bestfit,MaxMax
domain2_worker72_r,8,bestfit,MaxMax
domain2_worker73_r,8,bestfit,MaxMax
domain2_worker74_r,8,bestfit,MaxMax
domain2_worker75_r,8,bestfit,MaxMax
domain2_worker76_r,8,bestfit,MaxMax
domain2_worker77_r,8,bestfit,MaxMax
domain2_worker78_r,8,bestfit,MaxMax
domain2_worker79_r,8,bestfit,MaxMax
domain2_worker80_r,8,bestfit,MaxMax
domain2_worker81_r,8,bestfit,MaxMax
domain2_worker82_r,8,bestfit,MaxMax
domain2_worker83_r,8,bestfit,MaxMax
domain2_worker84_r,8,bestfit,MaxMax
domain2_worker85_r,8,bestfit,MaxMax
domain2_worker86_r,8,bestfit,MaxMax
domain2_worker87_r,8,bestfit,MaxMax
domain2_worker88_r,8,bestfit,MaxMax
domain2_worker89_r,8,bestfit,MaxMax
domain2_worker90_r,8,bestfit,MaxMax
domain2_worker91_r,8,bestfit,MaxMax
domain2_worker92_r,8,bestfit,MaxMax
domain2_worker93_r,8,bestfit,MaxMax
domain2_worker94_r,8,bestfit,MaxMax
domain2_worker95_r,8,bestfit,MaxMax
domain2_worker96_r,8,bestfit,MaxMax
domain2_worker97_r,8,bestfit,MaxMax
domain2_worker98_r,8,bestfit,MaxMax
domain2_worker99_r,8,bestfit,MaxMax
