EventTime,EventType,ServiceID,DomainID,EventID,TotalUtil,ID
1201959419000.0,allocate,21,0,1,88,12
1202145196000.0,deallocate,21,0,1,0,12
1201959419000.0,allocate,64,0,2,238,12
1202145196000.0,deallocate,64,0,2,0,12
1201959419000.0,allocate,43,0,3,168,12
1202145196000.0,deallocate,43,0,3,0,12
1201959419000.0,allocate,6,0,4,100,12
1202145196000.0,deallocate,6,0,4,0,12
1201959419000.0,allocate,72,0,5,49,12
1202145196000.0,deallocate,72,0,5,0,12
1201959419000.0,allocate,2,0,6,152,12
1202145196000.0,deallocate,2,0,6,0,12
1201959419000.0,allocate,29,0,7,91,12
1202145196000.0,deallocate,29,0,7,0,12
1201959419000.0,allocate,12,0,8,56,12
1202145196000.0,deallocate,12,0,8,0,12
1201959419000.0,allocate,11,0,9,140,12
1202145196000.0,deallocate,11,0,9,0,12
1201959419000.0,allocate,79,0,10,350,12
1202145196000.0,deallocate,79,0,10,0,12
1202145196000.0,allocate,21,9,11,88,12
1202145497000.0,deallocate,21,9,11,0,12
1202145196000.0,allocate,64,9,12,238,12
1202145497000.0,deallocate,64,9,12,0,12
1202145196000.0,allocate,43,9,13,168,12
1202145497000.0,deallocate,43,9,13,0,12
1202145196000.0,allocate,6,9,14,100,12
1202145497000.0,deallocate,6,9,14,0,12
1202145196000.0,allocate,72,9,15,49,12
1202145497000.0,deallocate,72,9,15,0,12
1202145196000.0,allocate,2,9,16,152,12
1202145497000.0,deallocate,2,9,16,0,12
1202145196000.0,allocate,29,9,17,91,12
1202145497000.0,deallocate,29,9,17,0,12
1202145196000.0,allocate,12,9,18,56,12
1202145497000.0,deallocate,12,9,18,0,12
1202145196000.0,allocate,11,9,19,140,12
1202145497000.0,deallocate,11,9,19,0,12
1202145196000.0,allocate,79,9,20,350,12
1202145497000.0,deallocate,79,9,20,0,12
1201959267000.0,allocate,80,0,21,66,102
1202140869000.0,deallocate,80,0,21,0,102
1201959267000.0,allocate,88,0,22,28,102
1202140869000.0,deallocate,88,0,22,0,102
1201959267000.0,allocate,61,0,23,56,102
1202140869000.0,deallocate,61,0,23,0,102
1201959267000.0,allocate,70,0,24,108,102
1202140869000.0,deallocate,70,0,24,0,102
1201959267000.0,allocate,8,0,25,51,102
1202140869000.0,deallocate,8,0,25,0,102
1201959267000.0,allocate,49,0,26,78,102
1202140869000.0,deallocate,49,0,26,0,102
1201959267000.0,allocate,39,0,27,40,102
1202140869000.0,deallocate,39,0,27,0,102
1201959267000.0,allocate,53,0,28,210,102
1202140869000.0,deallocate,53,0,28,0,102
1201959267000.0,allocate,97,0,29,13,102
1202140869000.0,deallocate,97,0,29,0,102
1201959267000.0,allocate,17,0,30,30,102
1202140869000.0,deallocate,17,0,30,0,102
1201959267000.0,allocate,3,0,31,36,102
1202140869000.0,deallocate,3,0,31,0,102
1201959267000.0,allocate,47,0,32,162,102
1202140869000.0,deallocate,47,0,32,0,102
1201959267000.0,allocate,21,0,33,88,102
1202140869000.0,deallocate,21,0,33,0,102
1201959267000.0,allocate,48,0,34,184,102
1202140869000.0,deallocate,48,0,34,0,102
1201959267000.0,allocate,40,0,35,275,102
1202140869000.0,deallocate,40,0,35,0,102
1201959267000.0,allocate,54,0,36,115,102
1202140869000.0,deallocate,54,0,36,0,102
1201959267000.0,allocate,79,0,37,350,102
1202140869000.0,deallocate,79,0,37,0,102
1201959267000.0,allocate,7,0,38,102,102
1202140869000.0,deallocate,7,0,38,0,102
1202140869000.0,allocate,80,5,39,66,102
1202486583000.0,deallocate,80,5,39,0,102
1202140869000.0,allocate,88,5,40,28,102
1202486583000.0,deallocate,88,5,40,0,102
1202140869000.0,allocate,61,5,41,56,102
1202486583000.0,deallocate,61,5,41,0,102
1202140869000.0,allocate,70,5,42,108,102
1202486583000.0,deallocate,70,5,42,0,102
1202140869000.0,allocate,8,5,43,51,102
1202486583000.0,deallocate,8,5,43,0,102
1202140869000.0,allocate,49,5,44,78,102
1202486583000.0,deallocate,49,5,44,0,102
1202140869000.0,allocate,39,5,45,40,102
1202486583000.0,deallocate,39,5,45,0,102
1202140869000.0,allocate,53,5,46,210,102
1202486583000.0,deallocate,53,5,46,0,102
1202140869000.0,allocate,97,5,47,13,102
1202486583000.0,deallocate,97,5,47,0,102
1202140869000.0,allocate,17,5,48,30,102
1202486583000.0,deallocate,17,5,48,0,102
1202140869000.0,allocate,3,5,49,36,102
1202486583000.0,deallocate,3,5,49,0,102
1202140869000.0,allocate,47,5,50,162,102
1202486583000.0,deallocate,47,5,50,0,102
1202140869000.0,allocate,21,5,51,88,102
1202486583000.0,deallocate,21,5,51,0,102
1202140869000.0,allocate,48,5,52,184,102
1202486583000.0,deallocate,48,5,52,0,102
1202140869000.0,allocate,40,5,53,275,102
1202486583000.0,deallocate,40,5,53,0,102
1202140869000.0,allocate,54,5,54,115,102
1202486583000.0,deallocate,54,5,54,0,102
1202140869000.0,allocate,79,5,55,350,102
1202486583000.0,deallocate,79,5,55,0,102
1202140869000.0,allocate,7,5,56,102,102
1202486583000.0,deallocate,7,5,56,0,102
1201959730000.0,allocate,82,0,57,210,105
1202308688000.0,deallocate,82,0,57,0,105
1201959730000.0,allocate,21,0,58,88,105
1202308688000.0,deallocate,21,0,58,0,105
1201959730000.0,allocate,55,0,59,126,105
1202308688000.0,deallocate,55,0,59,0,105
1201959730000.0,allocate,90,0,60,84,105
1202308688000.0,deallocate,90,0,60,0,105
1201959730000.0,allocate,57,0,61,112,105
1202308688000.0,deallocate,57,0,61,0,105
1201959730000.0,allocate,33,0,62,44,105
1202308688000.0,deallocate,33,0,62,0,105
1201959730000.0,allocate,32,0,63,133,105
1202308688000.0,deallocate,32,0,63,0,105
1201959730000.0,allocate,74,0,64,10,105
1202308688000.0,deallocate,74,0,64,0,105
1201959730000.0,allocate,1,0,65,70,105
1202308688000.0,deallocate,1,0,65,0,105
1201959730000.0,allocate,40,0,66,275,105
1202308688000.0,deallocate,40,0,66,0,105
1201959730000.0,allocate,11,0,67,140,105
1202308688000.0,deallocate,11,0,67,0,105
1201959730000.0,allocate,92,0,68,88,105
1202308688000.0,deallocate,92,0,68,0,105
1201959730000.0,allocate,4,0,69,69,105
1202308688000.0,deallocate,4,0,69,0,105
1201959730000.0,allocate,30,0,70,204,105
1202308688000.0,deallocate,30,0,70,0,105
1201959730000.0,allocate,12,0,71,56,105
1202308688000.0,deallocate,12,0,71,0,105
1201959730000.0,allocate,7,0,72,102,105
1202308688000.0,deallocate,7,0,72,0,105
1201959730000.0,allocate,10,0,73,65,105
1202308688000.0,deallocate,10,0,73,0,105
1201959730000.0,allocate,68,0,74,33,105
