EventTime,EventType,ServiceID,DomainID,EventID,TotalUtil,UpTime
2.3,allocate,94,0,2283,196,90.0
2.8,allocate,71,6,0,57,10.0
2.8,allocate,89,6,1,40,10.0
2.8,allocate,55,6,2,20,10.0
2.8,allocate,7,6,3,90,10.0
2.8,allocate,47,6,4,28,10.0
2.8,allocate,0,6,5,42,10.0
2.8,allocate,2,6,6,24,10.0
7.0,allocate,41,4,810,7,3.3333333333333335
7.0,allocate,75,4,809,36,3.3333333333333335
7.7,allocate,98,4,1202,54,5.0
9.4,allocate,18,3,1937,200,2.0
9.4,allocate,15,3,1938,56,2.0
9.4,allocate,37,3,1939,140,2.0
9.4,allocate,78,3,1940,122,2.0
10.3,allocate,75,3,811,36,3.3333333333333335
10.3,deallocate,75,4,809,36,0.0
10.3,deallocate,41,4,810,7,0.0
10.3,allocate,41,3,812,7,3.3333333333333335
11.4,allocate,78,7,1944,122,2.0
11.4,allocate,37,7,1943,140,2.0
11.4,allocate,15,7,1942,56,2.0
11.4,deallocate,78,3,1940,122,0.0
11.4,deallocate,37,3,1939,140,0.0
11.4,deallocate,15,3,1938,56,0.0
11.4,deallocate,18,3,1937,200,0.0
11.4,allocate,18,7,1941,200,2.0
12.7,allocate,98,7,1203,54,5.0
12.7,deallocate,98,4,1202,54,0.0
12.8,deallocate,55,6,2,20,0.0
12.8,deallocate,71,6,0,57,0.0
12.8,deallocate,89,6,1,40,0.0
12.8,deallocate,7,6,3,90,0.0
12.8,deallocate,2,6,6,24,0.0
12.8,allocate,55,7,9,20,10.0
12.8,allocate,7,7,10,90,10.0
12.8,allocate,47,7,11,28,10.0
12.8,allocate,0,7,12,42,10.0
12.8,allocate,2,7,13,24,10.0
12.8,allocate,89,7,8,40,10.0
12.8,deallocate,0,6,5,42,0.0
12.8,deallocate,47,6,4,28,0.0
12.8,allocate,71,7,7,57,10.0
13.2,allocate,4,1,1159,48,4.0
13.2,allocate,20,1,1157,126,4.0
13.2,allocate,63,8,213,235,10.0
13.2,allocate,45,1,1158,64,4.0
13.2,allocate,85,8,211,66,10.0
13.2,allocate,71,8,212,57,10.0
13.2,allocate,43,8,214,216,10.0
13.2,allocate,18,8,210,200,10.0
13.4,allocate,78,2,1948,122,2.0
13.4,allocate,15,2,1946,56,2.0
13.4,deallocate,18,7,1941,200,0.0
13.4,deallocate,15,7,1942,56,0.0
13.4,deallocate,37,7,1943,140,0.0
13.4,deallocate,78,7,1944,122,0.0
13.4,allocate,37,2,1947,140,2.0
13.4,allocate,18,2,1945,200,2.0
