UserID,UpTime,Services,Domains,UpTimePerDomain,Mobility,MinArrivalTime,MaxArrivalTime,TotalUtil
0,0,"[83, 81, 32, 29, 80, 75, 62, 44, 23, 14, 58, 92, 87, 79, 67, 54, 53, 91]","[7, 4, 9, 2]",10000,40.0,40000,40000,2452
1,0,"[35, 42, 52, 0, 50, 34, 68, 2, 5, 76, 80]","[9, 7, 8, 1, 2, 5, 3, 6, 0]",10000,90.0,90000,90000,1056
2,0,"[34, 77, 40, 58, 43, 25, 41, 36, 12, 27, 13, 63, 22, 70, 30, 26, 42, 61, 75]","[9, 8, 0, 2, 3, 4, 5, 1, 6]",10000,90.0,90000,90000,3034
3,13580,"[36, 16, 86, 11, 53, 0, 22, 94, 35, 43, 8, 18, 29, 27, 44, 42, 39]","[3, 6, 8, 1, 0, 9, 5, 4, 2]",1508.888888888889,90.0,23657.5,62562.45,1519
4,18280,"[42, 61, 65, 20, 30, 10, 13, 85, 9, 29, 78, 73, 14, 72, 3, 24]","[0, 3, 2, 8, 1]",3656.0,50.0,56240.3,187107.75,1078
5,16800,"[96, 59, 71, 42, 73, 38, 52, 11, 15, 92, 85, 36, 30, 83, 47, 65, 78, 31, 82]","[6, 9]",8400.0,20.0,33461.5,87394.63,1803
6,14840,"[63, 47, 29, 46, 6, 19, 98, 37, 51, 42, 76]","[2, 4, 8, 6, 0, 1, 3]",2120.0,70.0,39551.6,104437.41,1006
7,17820,"[26, 31, 16, 45, 47, 3, 54, 56, 51, 59, 53, 20, 67, 27]","[1, 7, 3, 4, 9, 6, 0, 8, 5]",1980.0,90.0,39174.6,111216.21,1424
8,11490,"[57, 6, 61, 85, 45, 52, 26, 13, 69, 63, 75]","[5, 1, 3, 2, 0, 6]",1915.0,60.0,19576.9,66847.91,1504
9,15590,"[34, 21, 31, 24, 77, 99, 81, 9, 18, 83, 33, 4, 76, 67, 95, 27, 78]","[0, 2, 9, 3, 8, 5, 1]",2227.1428571428573,70.0,31249.8,66208.41,1383
10,11180,"[29, 69, 21, 67, 92, 24, 79, 89, 31, 41, 83, 26, 47, 22, 10, 28, 98]","[1, 2, 7, 4]",2795.0,40.0,17008.9,52525.44,1726
11,14860,"[59, 84, 99, 70, 8, 24, 40, 72, 78, 53]","[7, 3, 8]",4953.333333333333,30.0,44762.5,125884.13,942
12,17270,"[51, 26, 25, 78, 6, 35, 24, 42, 57, 66, 93, 86, 53, 95, 62, 98, 79, 91, 33]","[0, 5, 1, 6]",4317.5,40.0,61245.1,168215.3,2510
13,19060,"[15, 17, 87, 10, 56, 62, 33, 74, 94, 4, 70, 46, 22, 8, 1, 5, 83, 44]","[3, 4, 5, 1, 6, 0, 9]",2722.8571428571427,70.0,65980.5,235188.3,1243
14,14940,"[42, 87, 78, 57, 37, 7, 98, 63, 71, 93, 97]","[3, 1]",7470.0,20.0,32400.2,69414.77,1003
15,15190,"[57, 75, 29, 94, 26, 19, 46, 7, 27, 9, 34, 99, 60, 12, 59, 14, 76, 42, 23]","[8, 1, 3, 5]",3797.5,40.0,36770.9,102992.8,1888
16,15580,"[18, 76, 2, 96, 7, 49, 40, 95, 86, 23, 99, 44, 47, 89, 53, 33, 77, 93, 92]","[5, 4, 7, 6, 3, 0, 9, 1, 2, 8]",1558.0,100.0,23668.5,79062.02,2174
17,17330,"[67, 92, 43, 26, 46, 74, 76, 10, 23, 38, 25, 63, 33]","[1, 4, 9]",5776.666666666667,30.0,60988.7,176302.85,1344
18,14820,"[1, 9, 5, 37, 67, 98, 8, 10, 72, 74, 97, 19, 54, 46, 61, 56, 68, 96]","[3, 8]",7410.0,20.0,55397.2,167837.36,1010
19,11730,"[30, 84, 78, 7, 54, 15, 8, 14, 0, 10, 39, 67, 22]","[5, 2, 3, 8]",2932.5,40.0,28487.6,90916.38,879
20,15180,"[56, 89, 21, 61, 22, 95, 45, 60, 97, 29, 49, 75, 1, 10]","[0, 7, 9, 6, 8, 4, 1]",2168.5714285714284,70.0,26161.9,87467.88,1311
21,17340,"[59, 93, 46, 31, 98, 19, 56, 88, 87, 97, 20]","[5, 4, 7, 6, 9, 0, 3]",2477.1428571428573,70.0,61493.0,220436.46,526
22,19720,"[76, 46, 47, 65, 11, 67, 73, 81, 52, 35, 25, 9, 49, 95, 88, 38]","[1, 6, 2, 9, 3, 5, 7, 4, 0]",2191.1111111111113,90.0,69400.5,168754.26,1346
23,12600,"[14, 18, 59, 21, 33, 38, 63, 6, 25, 47, 10, 92, 76]","[1, 5, 7, 6, 3, 0]",2100.0,60.0,32025.4,91637.07,1274
24,15650,"[98, 37, 95, 0, 25, 14, 3, 12, 24, 64, 77, 17]","[1, 9, 7, 2, 3, 5, 4]",2235.714285714286,70.0,33432.6,104155.27,1233
