NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain3_worker0_r,12,bestfit,MaxMax
domain3_worker1_r,12,bestfit,MaxMax
domain3_worker2_r,12,bestfit,MaxMax
domain3_worker3_r,12,bestfit,MaxMax
domain3_worker4_r,12,bestfit,MaxMax
domain3_worker5_r,12,bestfit,MaxMax
domain3_worker6_r,12,bestfit,MaxMax
domain3_worker7_r,12,bestfit,MaxMax
domain3_worker8_r,12,bestfit,MaxMax
domain3_worker9_r,12,bestfit,MaxMax
domain3_worker10_r,12,bestfit,MaxMax
domain3_worker11_r,12,bestfit,MaxMax
domain3_worker12_r,12,bestfit,MaxMax
domain3_worker13_r,12,bestfit,MaxMax
domain3_worker14_r,12,bestfit,MaxMax
domain3_worker15_r,12,bestfit,MaxMax
domain3_worker16_r,12,bestfit,MaxMax
domain3_worker17_r,12,bestfit,MaxMax
domain3_worker18_r,12,bestfit,MaxMax
domain3_worker19_r,12,bestfit,MaxMax
domain3_worker20_r,12,bestfit,MaxMax
domain3_worker21_r,12,bestfit,MaxMax
domain3_worker22_r,12,bestfit,MaxMax
domain3_worker23_r,12,bestfit,MaxMax
domain3_worker24_r,12,bestfit,MaxMax
domain3_worker25_r,12,bestfit,MaxMax
domain3_worker26_r,12,bestfit,MaxMax
domain3_worker27_r,12,bestfit,MaxMax
